,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,EBpv.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
26,26,0.0,197073.95357210902,29.828456589286848,-0.004898605666111111,9445.682996815018,139.35954599853002,0.004898605666111111,-0.004898605666111111,0.004898605666111111,0.0,0.0,109.53108940924315,2753.005541052323,0.0,0.0,0.0,0.0,0.0,109.53108940924315,2753.005541052323,0.0,0.0,0.0,0.0,109.53108940924315,29.828456589286844,139.35954599853002,109.53108940924315,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004898605666111111,0.0,0.0,0.0
27,27,0.0,197073.95357210902,29.828456589286848,-0.005808921101666666,9424.77088084902,139.34989425269953,0.005808921101666666,-0.005808921101666666,0.005808921101666666,0.0,0.0,109.52143766341267,2752.8842426370556,0.0,0.0,0.0,0.0,0.0,109.52143766341268,2752.884242637056,0.0,0.0,0.0,0.0,109.52143766341267,29.828456589286844,139.34989425269953,109.5214376634127,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005808921101666666,0.0,0.0,0.0
28,28,0.0,197073.95357210902,29.82845658928685,-0.006556711727222222,9401.16671863102,139.33900002398357,0.006556711727222222,-0.006556711727222222,0.006556711727222222,0.0,0.0,109.51054343469671,2752.747322883974,0.0,0.0,0.0,0.0,0.0,109.51054343469669,2752.7473228839735,0.0,0.0,0.0,0.0,109.51054343469671,29.82845658928685,139.33900002398357,109.51054343469671,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006556711727222222,0.0,0.0,0.0
29,29,0.0,197073.953572109,29.82845658928685,-0.007012048015,9375.92334577702,139.32734923651248,0.007012048015,-0.007012048015,0.007012048015,0.0,0.0,109.49889264722563,2752.600887088463,0.0,0.0,0.0,0.0,0.0,109.49889264722563,2752.6008870884625,0.0,0.0,0.0,0.0,109.49889264722563,29.82845658928685,139.32734923651248,109.49889264722563,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007012048015,0.0,0.0,0.0
30,30,0.0,197073.95357210902,29.82845658928685,-0.006066417089444444,9354.084244255022,139.3172696511946,0.006066417089444444,-0.006066417089444444,0.006066417089444444,0.0,0.0,109.4888130619078,2752.4741930491764,0.0,0.0,0.0,0.0,0.0,109.4888130619078,2752.474193049176,0.0,0.0,0.0,0.0,109.4888130619078,29.82845658928685,139.3172696511946,109.48881306190779,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006066417089444444,0.0,0.0,0.0
31,31,0.0,197073.95357210902,29.828456589286848,-0.005193655942222221,9335.387082863022,139.30864019209065,0.005193655942222221,-0.005193655942222221,0.005193655942222221,0.0,0.0,109.48018360280376,2752.3657215494222,0.0,0.0,0.0,0.0,0.0,109.48018360280375,2752.3657215494222,0.0,0.0,0.0,0.0,109.48018360280376,29.828456589286848,139.30864019209065,109.48018360280378,1.0,0.07477177315670108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005193655942222221,0.0,0.0,0.0
32,32,-0.027799999999999655,196973.873572109,29.82828978928685,0.02561662678855513,9427.60693930182,139.35120320275468,0.002183373211444444,-0.002183373211444444,0.002183373211444444,0.0,0.0,109.52292887026786,2752.902983743674,0.0,0.0,0.0,-0.027799999999999655,0.027799999999999655,109.52292887026789,2752.902986657521,29868.874115641353,37336.09264455169,1.0,0.027799999999999665,109.52292887026786,29.828289789286842,139.35120320275468,109.52291341346786,1.0,0.2358591708815945,-37336.09264455169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027799999999999655,0.027799999999999655,37336.09264455169,0.027799999999999665,-0.002183373211444444,0.0,-37336.09264455169,0.0
33,33,-0.057965730418133785,196765.19694260374,29.827941994904343,0.03902506495646711,9568.0971731451,139.4160448491439,0.018940665461666666,-0.018940665461666666,0.018940665461666666,0.0,0.0,109.5881700547576,2753.7227934155003,0.0,0.0,0.0,-0.057965730418133785,0.057965730418133785,109.58817005475764,2753.7228060800703,62316.63514284878,77895.79392856098,1.0,0.05796573041813379,109.5881700547576,29.82794199490434,139.4160448491439,109.58810285423954,1.0,0.3846877203897489,-77895.79392856099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.057965730418133785,0.057965730418133785,77895.79392856098,0.05796573041813379,-0.018940665461666666,0.0,-77895.79392856099,0.0
34,34,0.0,196765.19694260374,29.827941994904343,-0.016547995719992395,9508.524388553129,139.38854971779375,0.01654799571833333,-0.01654799571833333,0.01654799571833333,0.0,0.0,109.56060772288943,2753.3764796009345,0.0,0.0,0.0,0.0,0.0,109.56060772288943,2753.3764796009345,1.1254575619849514e-11,1.4068219524811892e-11,0.0,0.0,109.56060772288943,29.82794199490434,139.38854971779375,109.56060772288944,0.0,0.5137134929205837,-1.4068219524811892e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4068219524811892e-11,0.0,-0.01654799571833333,0.0,-1.4068219524811892e-11,0.0
35,35,-0.06998493724106167,196513.2511685359,29.827522085280894,0.044307998778283876,9668.033184154949,139.46216916191767,0.025676938462777774,-0.025676938462777774,0.025676938462777774,0.0,0.0,109.63474503446392,2754.3078612727763,0.0,0.0,0.0,-0.06998493724106167,0.06998493724106167,109.63474503446389,2754.3078797318863,75269.98628227628,94087.48285284532,1.0,0.06998493724106165,109.63474503446392,29.82752208528089,139.46216916191767,109.6346470766368,1.0,0.6112149495870927,-94087.48285284534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06998493724106165,0.06998493724106167,94087.48285284532,0.06998493724106165,-0.025676938462777774,0.0,-94087.48285284534,0.0
36,36,0.0,196513.2511685359,29.827522085280894,-0.016328428666666665,9609.25084095495,139.43503884967149,0.016328428666666665,-0.016328428666666665,0.016328428666666665,0.0,0.0,109.60751676439064,2753.9657796187817,0.0,0.0,0.0,0.0,0.0,109.60751676439062,2753.9657796187817,0.0,0.0,0.0,0.0,109.60751676439064,29.82752208528089,139.43503884967149,109.60751676439062,0.0,0.6484390389437005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016328428666666665,0.0,0.0,0.0
37,37,0.0,196513.25116853596,29.827522085280897,-0.00857302222,9578.38796096295,139.42079444352134,0.00857302222,-0.00857302222,0.00857302222,0.0,0.0,109.59327235824044,2753.7866961622576,0.0,0.0,0.0,0.0,0.0,109.59327235824045,2753.7866961622226,0.0,0.0,0.0,0.0,109.59327235824044,29.827522085280894,139.42079444352134,109.59327235824045,0.0,0.6048769083203855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00857302222,0.0,0.0,0.0
38,38,0.0,196513.2511685359,29.827522085280894,-0.006549460917213007,9554.809901660983,139.40991226230506,0.006549460917222222,-0.006549460917222222,0.006549460917222222,0.0,0.0,109.58239017702417,2753.650099938423,0.0,0.0,0.0,0.0,0.0,109.58239017702415,2753.6500999384234,0.0,0.0,0.0,0.0,109.58239017702417,29.82752208528089,139.40991226230506,109.58239017702417,0.0,0.49767636182026426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006549460917222222,0.0,0.0,0.0
