hour,value
0,0.09406671712017994
1,0.09503007381200133
2,0.09631259596153147
3,0.09858256604950373
4,0.1013641057186239
5,0.09889551566973788
6,0.0851231234793103
7,0.06133131244545155
8,0.0489880551443649
9,0.045516846500724246
10,0.04393997962683049
11,0.04289879903037937
12,0.043314976557343836
13,0.0438347288626691
14,0.04562470348153244
15,0.047619359507537554
16,0.05565887872537638
17,0.07179162048268714
18,0.0904276137153329
19,0.103685425428983
20,0.10527414891345988
21,0.10289426266426951
22,0.09815338408936732
23,0.0974576026225011
