hour,value
0,0.08303924989824474
1,0.08580681451938127
2,0.08721311854495278
3,0.08729767934402202
4,0.08838358702513541
5,0.08835093792708489
6,0.08501572545268114
7,0.0813427139078161
8,0.07785163145928714
9,0.06826882054046604
10,0.06540099069075093
11,0.06429757229832676
12,0.0640401573969567
13,0.0649037089341137
14,0.06905861122916342
15,0.07898919494928135
16,0.09120487782702805
17,0.09250073760320711
18,0.09142000166146518
19,0.08924352553664598
20,0.08807085565867526
21,0.08611865000858461
22,0.08500774198571795
23,0.08131599127132283
