hour,value
0,0.06533216869398062
1,0.06793475691378995
2,0.0694839824764666
3,0.0700660009704517
4,0.06973358227076747
5,0.06880673813672003
6,0.06628440607201844
7,0.0635565663298796
8,0.059571026957492876
9,0.05297693805002726
10,0.04974338574675042
11,0.049756152332159624
12,0.0497684585491796
13,0.04973139403626034
14,0.051271046656164596
15,0.05652196521541024
16,0.0668424088257244
17,0.07130015625398484
18,0.0685632346123191
19,0.06472580054159432
20,0.06302406153028325
21,0.06171735574661005
22,0.06055270195347134
23,0.06106427220638598
