hour,value
0,0.07051451197877612
1,0.07274737918500411
2,0.07289242724751312
3,0.07336213593608942
4,0.07280741684491722
5,0.0715608022751219
6,0.06720701600323199
7,0.05563606967481552
8,0.048480142933887145
9,0.04704478312850654
10,0.047650007640446246
11,0.047711368320772
12,0.04776082051276378
13,0.04903154612834442
14,0.05008022883243191
15,0.05027477442471104
16,0.05310530626323371
17,0.062333735158599274
18,0.07198266460633589
19,0.07198710078162708
20,0.07263274194567884
21,0.07052655233062616
22,0.06665543840071923
23,0.06712609869278809
