hour,value
0,0.06159642186432283
1,0.06298540154975338
2,0.06375343140584787
3,0.06590897884766958
4,0.06759203701298226
5,0.06754345937192663
6,0.06606444630159111
7,0.05743715944966263
8,0.04685929176691109
9,0.045295999016067325
10,0.04512652156732695
11,0.043634710370781565
12,0.04365782428343763
13,0.04432697685944853
14,0.04472844188790555
15,0.045108565352342124
16,0.05181517446274868
17,0.0656759129484371
18,0.0722222438687243
19,0.0686667539257125
20,0.06696686093990185
21,0.06520365384488189
22,0.06015099442951109
23,0.05999213909494668
