hour,value
0,0.07799696553600066
1,0.07923281188564382
2,0.07907559238029778
3,0.08063718849879302
4,0.08370600217494391
5,0.08431745451819
6,0.08530574077535975
7,0.07989050629472919
8,0.06848804352079396
9,0.059029804304552035
10,0.05467495274999701
11,0.054123930389537125
12,0.05398783225572277
13,0.05604768075071177
14,0.06093797869001696
15,0.07173987595500872
16,0.09027822378560095
17,0.10221279062283638
18,0.09776055712501967
19,0.0924853261305456
20,0.09030945289290696
21,0.08621305746141118
22,0.07924679991502702
23,0.07666646469566937
