hour,value
0,0.12194278428799826
1,0.12280973546391558
2,0.12509250911502762
3,0.12472381507563947
4,0.12482591559275293
5,0.12553776950306553
6,0.12272163620257351
7,0.11904624003488502
8,0.11118187026211074
9,0.09072183934331714
10,0.0839923502734787
11,0.08424284189536754
12,0.08413251544257568
13,0.08617286196931705
14,0.09140348012657126
15,0.1076754307004769
16,0.12830233706607463
17,0.1278082440661364
18,0.12529478113656664
19,0.12453092936918174
20,0.1268016168215621
21,0.131356698003845
22,0.1293198024381607
23,0.12470756295964104
