,t,ReservoirEbrew.Q,ReservoirEbrew.W,ReservoirEbrew.z,Reservoir1w.Q,Reservoir1w.W,Reservoir1w.z,Irrigation1w.Qin,Irrigation1w.Qout,Pump1w.Qin,Pump1w.Qout,Pump1w.H,Pump1w.Ph,Pump1w.Pe,Pump1w.PumpOn,Pump1w.npu2,Pump2w.Qin,Pump2w.Qout,Pump2w.H,Pump2w.Ph,Pump2w.Pe,Pump2w.PumpOn,Pump2w.npu2,Pipe1w.Q,Pipe1w.H,Pipe1w.zlow,Pipe1w.zhigh,Pipe1w.Qp,Pipe1w.Qn,PVw.forecast,PVw.P,Gridw.P,Gridw.Psell,Gridw.Pbuy,EBgw.P_bal,Batw.E,Batw.P,Batw.Pch,Batw.Pdc,ReservoirEbres.Q,ReservoirEbres.W,ReservoirEbres.z,Reservoir1s.Q,Reservoir1s.W,Reservoir1s.z,Irrigation1s.Qin,Irrigation1s.Qout,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.PumpOn,Pump1s.npu2,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.PumpOn,Pump2s.npu2,Pipe1s.Q,Pipe1s.H,Pipe1s.zlow,Pipe1s.zhigh,Pipe1s.Qp,Pipe1s.Qn,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBgs.P_bal,Bats.E,Bats.P,Bats.Pch,Bats.Pdc,p1r0w_expanded.Q,p1c1_Qw_expanded.Q,p1ebw_expanded.P,p2r0w_expanded.Q,p2c1_Qw_expanded.Q,p2ebw_expanded.P,c1r1_Qw_expanded.Q,r1i1w_expanded.Q,gridebw_expanded.P,pvebw_expanded.P,batebw_expanded.P,p1r0s_expanded.Q,p1c1_Qs_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2c1_Qs_expanded.Q,p2ebs_expanded.P,c1r1_Qs_expanded.Q,r1i1s_expanded.Q,gridebs_expanded.P,pvebs_expanded.P,batebs_expanded.P
10,10,0.0,199999.99999999948,29.833333333333332,-0.016547995718333333,9699.767759051138,139.47681588879283,-0.01654799571833333,0.01654799571833333,0.0,0.0,109.6434825554595,0.0,0.0,0.0,0.9021185005385839,0.0,0.0,109.6434825554595,0.0,0.0,0.0,0.9021185005385839,0.0,109.6434825554595,29.833333333333336,139.47681588879283,0.0,0.0,0.5137134929205837,-108380.39594082437,108380.39594082437,108380.39594082435,0.0,0,0.0,0.0,0.0,0.0,-0.1036006723235782,198910.784168256,29.831517973613757,0.05734941140135597,9331.00564171398,139.30661798848337,-0.04625126092222222,0.04625126092222222,-0.054374514773856075,0.05437451477385609,110.11346182916243,58736.06086303587,73420.07607879482,1.0,1.0,-0.04922615754972211,0.04922615754972211,110.11346182916243,53174.69004689674,67309.73423657815,1.0,0.9830401127216561,0.1036006723235782,110.11346182916243,29.831517973613757,139.30661798848337,0.10360067232357817,0.0,0.8271725442451721,-174512.2312185986,33782.42090322568,33782.42090322567,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01654799571833333,108380.39594082437,-108380.39594082437,0.0,-0.054374514773856075,0.05437451477385609,73420.07607879482,-0.04922615754972212,0.04922615754972211,67309.73423657815,0.1036006723235782,-0.04625126092222222,33782.42090322568,-174512.2312185986,0.0
11,11,0.0,199999.9999999995,29.833333333333332,-0.02567693846277778,9607.33078058514,139.4341526679624,-0.025676938462777774,0.025676938462777774,0.0,0.0,109.60081933462907,0.0,0.0,0.0,0.9017674784813975,0.0,0.0,109.60081933462907,0.0,0.0,0.0,0.9017674784813975,0.0,109.60081933462907,29.833333333333336,139.4341526679624,0.0,0.0,0.6112149495870927,-128950.70726016712,128950.70726016712,128950.70726016714,0.0,0,0.0,0.0,0.0,0.0,-0.10803935760810605,198521.84248086682,29.83086973746811,0.055414475935882446,9530.497755083155,139.39869127157684,-0.05262488167222223,0.05262488167222223,-0.054019678804052305,0.054019678804052305,110.26205467322545,58431.44888214167,73039.31110267706,1.0,1.0,-0.0540196788040523,0.054019678804052305,110.26205467322545,58431.44888214166,73963.85934448312,1.0,1.0,0.10803935760810468,110.26205467322545,29.83086973746811,139.39869127157684,0.10803935760810467,0.0,0.9073690875066988,-191431.64881527328,44428.4783681131,44428.4783681131,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025676938462777774,128950.70726016712,-128950.70726016712,0.0,-0.054019678804052305,0.054019678804052305,73039.31110267706,-0.05401967880405376,0.054019678804052305,73963.85934448312,0.10803935760810468,-0.05262488167222223,44428.4783681131,-191431.64881527328,0.0
12,12,0.0,199999.99999999953,29.833333333333332,-0.01632842866666667,9548.548437385141,139.4070223557162,-0.016328428666666665,0.016328428666666665,0.0,0.0,109.57368902238288,0.0,0.0,0.0,0.9015442572188817,0.0,0.0,109.57368902238288,0.0,0.0,0.0,0.9015442572188817,0.0,109.57368902238288,29.833333333333336,139.4070223557162,0.0,0.0,0.6484390389437005,-136804.03717772386,136804.03717772386,136804.03717772383,0.0,0,0.0,0.0,0.0,0.0,-0.10765179967412401,198134.29600203998,29.830223826670064,0.051197000496354776,9714.806956870034,139.48375705701693,-0.05645479917777778,0.05645479917777778,-0.053825899837066184,0.053825899837066184,110.34279523673672,58264.47011423538,72830.58764279421,1.0,1.0,-0.05382589983706619,0.0538258998370662,110.34279523673672,58264.47011423539,73752.49381548782,1.0,1.0,0.10765179967413234,110.34279523673672,29.830223826670068,139.48375705701693,0.10765179967413234,0.0,0.9075888237412905,-191478.0075355245,44894.92607724246,44894.92607724245,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016328428666666665,136804.03717772386,-136804.03717772386,0.0,-0.053825899837066184,0.053825899837066184,72830.58764279421,-0.05382589983705781,0.0538258998370662,73752.49381548782,0.10765179967413234,-0.05645479917777778,44894.92607724246,-191478.0075355245,0.0
13,13,0.0,199999.99999999956,29.833333333333332,-0.00857302222,9517.68555739314,139.39277794956604,-0.00857302222,0.00857302222,0.0,0.0,109.55944461623271,0.0,0.0,0.0,0.9014270578923209,0.0,0.0,109.55944461623271,0.0,0.0,0.0,0.9014270578923209,0.0,109.55944461623271,29.833333333333336,139.39277794956604,0.0,0.0,0.6048769083203855,-127613.54280674834,127613.54280674833,127613.54280674833,0.0,0,0.0,0.0,0.0,0.0,-0.10724103712687062,197748.22826838325,29.829580380447307,0.05410220794908428,9909.574905486737,139.5736499563785,-0.05313882917777778,0.05313882917777778,-0.05362051856343091,0.05362051856343091,110.42808164014114,58087.005181682485,72608.75647710309,1.0,1.0,-0.05362051856343086,0.05362051856343086,110.42808164014114,58087.00518168243,73527.8546603575,1.0,1.0,0.10724103712686195,110.42808164014114,29.829580380447304,139.5736499563785,0.10724103712686196,0.0,0.8371170424435377,-176610.26575929992,30473.654621839345,30473.65462183934,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00857302222,127613.54280674833,-127613.54280674834,0.0,-0.05362051856343091,0.05362051856343091,72608.75647710309,-0.053620518563439704,0.05362051856343086,73527.8546603575,0.10724103712686195,-0.05313882917777778,30473.654621839345,-176610.26575929992,0.0
14,14,-0.06949999999997516,199749.79999999967,29.832916333333326,0.06295053908275294,9744.307498091051,139.49737269142665,-0.006549460917222222,0.006549460917222222,-0.034749999999999996,0.034749999999999996,109.9517403070933,37482.27339133734,46852.841739171665,1.0,0.9430535449818437,-0.03474999999997517,0.03474999999997516,109.9517403070933,37482.27339133733,47445.91568523712,1.0,0.9430535449818447,0.06949999999997515,109.9517403070933,29.83291633333333,139.49737269142665,0.06949999999997515,0.0,0.49767636182026426,-104996.97182921316,10698.214404804372,10698.214404804374,0.0,0,0.0,0.0,0.0,0.0,-0.10681953106169371,197363.67795656115,29.828939463260934,0.05531235615057511,10108.699387628807,139.66555356352097,-0.051507174911111106,0.051507174911111106,-0.05340976553084277,0.053409765530842784,110.51525977378758,57904.4479226976,72380.55990337199,1.0,1.0,-0.05340976553084277,0.05340976553084278,110.51525977378758,57904.447922697575,73296.76952240198,1.0,1.0,0.10681953106168562,110.51525977378758,29.828939463260934,139.66555356352097,0.10681953106168561,0.0,0.7025998704330214,-148230.58610468442,2553.2566789104476,2553.2566789104476,0.0,0,0.0,0.0,0.0,0.0,-0.034749999999999996,0.034749999999999996,46852.841739171665,-0.03474999999997516,0.03474999999997516,47445.91568523712,0.06949999999997515,-0.006549460917222222,10698.214404804372,-104996.97182921316,0.0,-0.05340976553084277,0.053409765530842784,72380.55990337199,-0.05340976553085093,0.05340976553084278,73296.76952240198,0.10681953106168562,-0.051507174911111106,2553.2566789104476,-148230.58610468442,0.0
15,15,0.0,199749.7999999996,29.832916333333326,-0.006416507906666674,9721.208069627053,139.48671141675095,-0.006416507906666667,0.006416507906666667,0.0,0.0,109.65379508341765,0.0,0.0,0.0,0.9022033493781276,0.0,0.0,109.65379508341765,0.0,0.0,0.0,0.9022033493781276,0.0,109.65379508341765,29.83291633333333,139.48671141675095,0.0,0.0,0.32599011824461455,-68775.5696025866,68775.5696025866,68775.56960258659,0.0,0,0.0,0.0,0.0,0.0,-0.08047899568034948,197073.95357211187,29.82845658928685,0.028223749435905176,10210.304885598065,139.71244840873757,-0.05225524624444444,0.05225524624444444,-0.04572899568034947,0.04572899568034948,110.26921006473731,49466.84366125621,61833.55457657026,1.0,0.9737621520697406,-0.034749999999999996,0.034749999999999996,110.26921006473731,37590.49803804378,47582.90890891619,1.0,0.9456655824746184,0.08047899568034948,110.26921006473731,29.828456589286855,139.71244840873757,0.08047899568034948,0.0,0.5186243614651183,-109416.46348548644,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006416507906666667,68775.5696025866,-68775.5696025866,0.0,-0.04572899568034947,0.04572899568034948,61833.55457657026,-0.034749999999999996,0.034749999999999996,47582.90890891619,0.08047899568034948,-0.05225524624444444,0.0,-109416.46348548644,0.0
16,16,0.0,199749.79999999958,29.832916333333326,-0.005731692862777749,9700.57397532105,139.47718798860976,-0.005731692862777777,0.005731692862777777,0.0,0.0,109.64427165527641,0.0,0.0,0.0,0.9021249930498306,0.0,0.0,109.64427165527641,0.0,0.0,0.0,0.9021249930498306,0.0,109.64427165527641,29.83291633333333,139.47718798860976,0.0,0.0,0.11821470325038548,-24940.276089428127,24940.276089428127,24940.27608942813,0.0,0,0.0,0.0,0.0,0.0,0.0,197073.9535721118,29.82845658928685,-0.055339081738888886,10011.084191338065,139.62050039600217,-0.055339081738888886,0.055339081738888886,0.0,0.0,109.79204380671534,0.0,0.0,0.0,0.9033408244751961,0.0,0.0,109.79204380671534,0.0,0.0,0.0,0.9033408244751961,0.0,109.79204380671534,29.828456589286855,139.62050039600217,0.000304352519531693,0.000304352519531693,0.32243077805000214,-68024.63994063236,68024.63994063236,68024.63994063238,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005731692862777777,24940.276089428127,-24940.276089428127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055339081738888886,68024.63994063236,-68024.63994063236,0.0
17,17,0.0,199749.79999999955,29.832916333333326,-0.008467836731666609,9670.089763087048,139.46311835219402,-0.008467836731666666,0.008467836731666666,0.0,0.0,109.63020201886069,0.0,0.0,0.0,0.9020092316838956,0.0,0.0,109.63020201886069,0.0,0.0,0.0,0.9020092316838956,0.0,109.63020201886069,29.83291633333333,139.46311835219402,0.0,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,197073.95357211176,29.82845658928685,-0.060539685772222226,9793.141322558064,139.51991137964217,-0.060539685772222226,0.060539685772222226,0.0,0.0,109.69145479035532,0.0,0.0,0.0,0.902513203804141,0.0,0.0,109.69145479035532,0.0,0.0,0.0,0.902513203804141,0.0,109.69145479035532,29.828456589286855,139.51991137964217,0.00030414542777869156,0.0003041454277785193,0.11917990763987955,-25143.909506379005,25143.909506379005,25143.909506379,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008467836731666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.060539685772222226,25143.909506379005,-25143.909506379005,0.0
18,18,0.0,199749.79999999952,29.832916333333326,-0.00970108156888888,9635.165869439046,139.4469996320488,-0.00970108156888889,0.00970108156888889,0.0,0.0,109.61408329871547,0.0,0.0,0.0,0.9018766109816968,0.0,0.0,109.61408329871547,0.0,0.0,0.0,0.9018766109816968,0.0,109.61408329871547,29.83291633333333,139.4469996320488,0.0,1.9081958235744878e-17,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,197073.95357211173,29.82845658928685,-0.006790106403888889,9768.696939504063,139.50862935669417,-0.006790106403888889,0.006790106403888889,0.0,0.0,109.68017276740733,0.0,0.0,0.0,0.9024203782080575,0.0,0.0,109.68017276740733,0.0,0.0,0.0,0.9024203782080575,0.0,109.68017276740733,29.828456589286855,139.50862935669417,0.0,0.0,0.006622110122458065,-1397.0957098195167,1397.0957098195167,1397.0957098195165,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00970108156888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006790106403888889,1397.0957098195167,-1397.0957098195167,0.0
19,19,0.0,199749.7999999995,29.832916333333326,-0.008636273278888884,9604.075285635045,139.43265013183156,-0.008636273278888888,0.008636273278888888,0.0,0.0,109.59973379849825,0.0,0.0,0.0,0.9017585469680618,0.0,0.0,109.59973379849825,0.0,0.0,0.0,0.9017585469680618,0.0,109.59973379849825,29.83291633333333,139.43265013183156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,197073.9535721117,29.82845658928685,-0.022238088677777823,9688.639820264063,139.47167991704495,-0.022238088677777778,0.022238088677777778,0.0,0.0,109.64322332775811,0.0,0.0,0.0,0.9021163676794314,0.0,0.0,109.64322332775811,0.0,0.0,0.0,0.9021163676794314,0.0,109.64322332775811,29.828456589286855,139.47167991704495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008636273278888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022238088677777778,0.0,0.0,0.0
20,20,0.0,199749.79999999946,29.832916333333326,-0.007996979514999891,9575.286159381045,139.41936284279126,-0.007996979514999999,0.007996979514999999,0.0,0.0,109.58644650945794,0.0,0.0,0.0,0.9016492225560139,0.0,0.0,109.58644650945794,0.0,0.0,0.0,0.9016492225560139,0.0,109.58644650945794,29.83291633333333,139.41936284279126,0.0,1.1449174941446927e-16,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,197073.95357211167,29.82845658928685,-0.024667756384444448,9599.835897280063,139.43069349105232,-0.024667756384444444,0.024667756384444444,0.0,0.0,109.60223690176548,0.0,0.0,0.0,0.9017791418608315,0.0,0.0,109.60223690176548,0.0,0.0,0.0,0.9017791418608315,0.0,109.60223690176548,29.828456589286855,139.43069349105232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007996979514999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024667756384444444,0.0,0.0,0.0
21,21,0.0,199749.79999999944,29.832916333333326,-0.0071946549694443815,9549.385401491043,139.40740864684201,-0.007194654969444444,0.007194654969444444,0.0,0.0,109.57449231350869,0.0,0.0,0.0,0.9015508664925842,0.0,0.0,109.57449231350869,0.0,0.0,0.0,0.9015508664925842,0.0,109.57449231350869,29.83291633333333,139.40740864684201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,197073.95357211164,29.82845658928685,-0.01427362919111111,9548.450832192066,139.40697730716556,-0.014273629191111109,0.014273629191111109,0.0,0.0,109.57852071787873,0.0,0.0,0.0,0.9015840111722784,0.0,0.0,109.57852071787873,0.0,0.0,0.0,0.9015840111722784,0.0,109.57852071787873,29.828456589286855,139.40697730716556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007194654969444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014273629191111109,0.0,0.0,0.0
22,22,0.0,199749.79999999938,29.832916333333326,-0.007309976037777778,9523.069487755043,139.3952628405023,-0.007309976037777778,0.007309976037777778,0.0,0.0,109.56234650716898,0.0,0.0,0.0,0.901450933907923,0.0,0.0,109.56234650716898,0.0,0.0,0.0,0.901450933907923,0.0,109.56234650716898,29.83291633333333,139.3952628405023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,197073.9535721116,29.82845658928685,0.0,9548.450832192068,139.40697730716556,-0.0,0.0,0.0,0.0,109.57852071787873,0.0,0.0,0.0,0.9015840111722784,0.0,0.0,109.57852071787873,0.0,0.0,0.0,0.9015840111722784,0.0,109.57852071787873,29.828456589286855,139.40697730716556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007309976037777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,0.0,199749.79999999935,29.832916333333326,-0.003888888888888886,9509.069487755043,139.38880130204078,-0.0038888888888888888,0.0038888888888888888,0.0,0.0,109.55588496870746,0.0,0.0,0.0,0.9013977700239217,0.0,0.0,109.55588496870746,0.0,0.0,0.0,0.9013977700239217,0.0,109.55588496870746,29.83291633333333,139.38880130204078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,197073.95357211155,29.82845658928685,-0.013458564497777778,9500.000000000067,139.38461538461542,-0.013458564497777777,0.013458564497777777,0.0,0.0,109.55615879532857,0.0,0.0,0.0,0.9014000229992477,0.0,0.0,109.55615879532857,0.0,0.0,0.0,0.9014000229992477,0.0,109.55615879532857,29.828456589286855,139.38461538461542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013458564497777777,0.0,0.0,0.0
