,t,Reservoir0s.Q,Reservoir0s.W,Reservoir0s.z,Reservoir1s.Q,Reservoir1s.W,Reservoir1s.z,Reservoir2s.Q,Reservoir2s.W,Reservoir2s.z,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.N_on,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.N_on,Turb1s.Qin,Turb1s.Qout,Turb1s.H,Turb1s.Ph,Turb1s.Pe,Pipe01s.Q,Pipe01s.H,Pipe01s.zlow,Pipe01s.zhigh,Pipe01s.Qp,Pipe01s.Qn,Pipe02s.Q,Pipe02s.H,Pipe02s.zlow,Pipe02s.zhigh,Pipe02s.Qp,Pipe02s.Qn,VarSources.Qin,VarSources.Qout,Pipe01Ts.Q,Pipe01Ts.H,Pipe01Ts.zlow,Pipe01Ts.zhigh,Pipe01Ts.Qp,Pipe01Ts.Qn,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBs.P_bal,Bats.E,Bats.P,Bats.Pch,Bats.Pdc,BatsDim.E,BatsDim.P,BatsDim.Pch,BatsDim.Pdc,Loads.P,Loads.Pin,Loads.Pout,p1r0s_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2ebs_expanded.P,t1r0s_expanded.Q,t1ebs_expanded.P,c01tr1s_expanded.Q,c01r1_Qs_expanded.Q,c02r2_Qs_expanded.Q,c21r2_Qs_expanded.Q,c21r1_Qs_expanded.Q,pvebs_expanded.P,gridebs_expanded.P,batebs_expanded.P,loadebs_expanded.P,batebsdim_expanded.P
10,10,0.0,2432.7065261067773,3.9192478313281334,0.0,67.29347389322156,67.08972463185762,0.0,0.0,77.0,0.0,0.0,63.17045751027997,0.0,0.0,0.0,0.0,0.0,73.08075216867185,0.0,0.0,0.0,0.0,0.0,63.1704768005295,0.0,0.0,0.0,0.0,3.9192478313281334,0.0,2.8528924789451706e-08,2.8528924789451706e-08,0.0,0.0,3.9192478313281334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9192478313281334,0.0,0.0,0.0,0.2743739669421487,-17746.50818181818,0.0,0.0,0.0,0,45892888.95867768,8748.0247107438,9720.027456382,0.0,0.0,0.0,0.0,0.0,-8998.48347107438,0.0,-8998.48347107438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8998.48347107438,0.0
11,11,-0.028850005932365277,2328.8465047502623,3.794615805700315,0.028850005932365284,171.15349524973658,67.22820466033298,0.0,0.0,77.0,-0.02885000593236528,0.0,63.60006960215014,18000.0,22500.0,3.0,0.0,0.0,73.20538419429968,0.0,0.0,0.0,0.0,0.0,63.43358885463266,0.0,0.0,0.028850005932365284,0.0,3.7946158057003156,0.0,0.02885000593236528,0.0,0.0,0.0,3.7946158057003156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7946158057003156,0.0,0.0,0.0,0.3891363636363636,-25169.339999999997,0.0,0.0,0.0,0,28303501.388429735,-4885.940991735539,0.0,4397.346892561985,0.0,0.0,0.0,0.0,-7555.280991735537,0.0,-7555.280991735537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7555.280991735537,0.0
12,12,-0.009625773970322507,2294.1937184571016,3.7530324621485227,0.009625773970322505,205.80628154289758,67.27440837539052,0.0,0.0,77.0,-0.009625773970322507,0.0,63.53990827051813,6000.0,7500.0,1.0,0.0,0.0,73.24696753785148,0.0,0.0,0.0,0.0,0.0,63.521375913242004,0.0,0.0,0.00962577397032251,0.0,3.7530324621485223,0.0,0.009625773970322509,0.0,0.0,0.0,3.753032462148523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.753032462148523,0.0,0.0,0.0,0.45316322314049584,-29310.59727272727,0.0,0.0,0.0,0,83267974.71074376,15267.909256198342,16964.343617998158,0.0,0.0,0.0,0.0,0.0,-6542.688016528926,0.0,-6542.688016528926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6542.688016528926,0.0
13,13,-0.0381310153160548,2156.922063319304,3.588306475983165,0.03813101531605483,343.077936680695,67.4574372489076,0.0,0.0,77.0,-0.0381310153160548,0.0,64.15992755835963,24000.0,30000.0,4.0,0.0,0.0,73.41169352401683,0.0,0.0,0.0,0.0,0.0,63.86913077292443,0.0,0.0,0.03813101531605483,0.0,3.5883064759831655,0.0,0.03813101531605484,0.0,0.0,0.0,3.5883064759831655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5883064759831655,0.0,0.0,0.0,0.46292561983471076,-29942.02909090909,0.0,0.0,0.0,0,59420481.917355336,-6624.303553719006,0.0,5961.873198347107,0.0,0.0,0.0,0.0,-6566.332644628099,0.0,-6566.332644628099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6566.332644628099,0.0
14,14,-0.019078594483307336,2088.2391231793977,3.5058869478152777,0.019078594483307332,411.7608768206014,67.54901450242747,0.0,0.0,77.0,-0.019078594483307336,0.0,64.1159175160586,12000.0,15000.0,2.0,0.0,0.0,73.49411305218472,0.0,0.0,0.0,0.0,0.0,64.04312755461218,0.0,0.0,0.019078594483307332,0.0,3.5058869478152777,0.0,0.019078594483307388,0.0,0.0,0.0,3.5058869478152777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5058869478152777,0.0,0.0,0.0,0.43194214876033055,-27938.01818181818,0.0,0.0,0.0,0,81513253.98347104,6136.881129476582,6818.756810529537,0.0,0.0,0.0,0.0,0.0,-6801.137052341598,0.0,-6801.137052341598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6801.137052341598,0.0
15,15,-0.009528797320835738,2053.9354528243894,3.4647225433892674,0.009528797320835742,446.0645471756101,67.59475272956747,0.0,0.0,77.0,-0.009534497563540235,0.0,64.1482086848621,6000.0,7500.0,1.0,0.0,0.0,73.53527745661073,0.0,0.0,0.0,0.0,5.700242704493331e-06,64.13003740939074,-3.585864559199869,-2.8686916473598956,0.009534497563540233,0.0,3.464722543389267,0.0,0.009534497563540231,0.0,0.0,0.0,3.464722543389267,0.0,0.0,0.0,0.0,0.0,-5.7002427044933314e-06,0.0,3.464722543389267,0.0,0.0,5.700242704493331e-06,0.34693801652892564,-22439.950909090912,0.0,0.0,0.0,0,110628286.36431065,8087.508994677668,8986.12110519741,0.0,0.0,0.0,0.0,0.0,-6855.310606060606,0.0,-6855.310606060606,0.0,0.0,0.0,0.0,5.700242704493331e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6855.310606060606,0.0
16,16,9.783699113542097e-06,2053.970674141198,3.464764808969438,-9.783699113509752e-06,446.0293258588015,67.59470576781173,0.0,0.0,77.0,0.0,0.0,64.12992593725042,0.0,0.0,0.0,0.0,0.0,73.53523519103057,0.0,0.0,0.0,0.0,9.783699113509755e-06,64.12994817945241,-6.155069861968052,-4.924055889574442,0.0,0.0,3.464764808969438,0.0,0.0,0.0,0.0,0.0,3.464764808969438,0.0,0.0,0.0,0.0,0.0,-9.783699113509752e-06,0.0,3.464764808969438,0.0,0.0,9.783699113509752e-06,0.23656611570247935,-15301.096363636363,6305.992527151253,6305.992527151253,0.0,0,115200000.0,1269.9204543581586,1411.0227270646212,0.0,0.0,0.0,0.0,0.0,-7730.107438016529,0.0,-7730.107438016529,0.0,0.0,0.0,0.0,9.783699113542098e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7730.107438016529,0.0
17,17,0.0038006304984007136,2067.6529439354404,3.481183532722529,-0.003800630498400702,432.3470560645589,67.5764627414194,0.0,0.0,77.0,0.0,0.0,64.0952792730969,0.0,0.0,0.0,0.0,0.0,73.51881646727746,0.0,0.0,0.0,0.0,0.003800630498400701,64.0923974616673,-2389.633462183916,-1911.7067697471332,0.0,0.0,3.4811835327225293,0.0,0.0,0.0,0.0,0.0,3.4811835327225293,0.0,0.0,0.0,0.0,0.0,-0.0038006304984007015,0.0,3.4811835327225293,0.0,0.0,0.0038006304984007024,0.11436776859504133,-7397.307272727273,337.21445569754883,337.2144556975488,0.0,0,115200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8971.799586776859,0.0,-8971.799586776859,0.0,0.0,0.0,0.0,0.003800630498400714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8971.799586776859,0.0
18,18,0.05239200861704571,2256.264174956805,3.7075170099481665,-0.05239200861704563,243.73582504319472,67.3249811000576,0.0,0.0,77.00000000000001,0.0,0.0,63.61744881037601,0.0,0.0,0.0,0.0,0.0,73.29248299005185,0.0,0.0,0.0,0.0,0.05239200861704563,63.068491615969755,-32415.03689640427,-25932.029517123417,0.0,0.0,3.7075170099481665,0.0,0.0,0.0,0.0,0.0,3.7075170099481665,0.0,0.0,0.0,0.0,0.0,-0.052392008617045634,0.0,3.7075170099481665,0.0,0.0,0.052392008617045634,0.033196280991735536,-2147.135454545454,46315.365384892015,46315.36538489202,0.0,0,14400000.000000002,-28000.000000000004,0.0,25200.000000000007,0.0,0.0,0.0,0.0,-9763.799586776859,0.0,-9763.799586776859,0.0,0.0,0.0,0.0,0.052392008617045634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9763.799586776859,0.0
19,19,0.020605798119165533,2330.4450481858007,3.7965340578229614,-0.02060579811916553,169.5549518141988,67.22607326908559,0.0,0.0,77.0,0.0,0.0,63.42952416010088,0.0,0.0,0.0,0.0,0.0,73.20346594217702,0.0,0.0,0.0,0.0,0.02060579811916553,63.34461942835422,-12804.663775183933,-10243.731020147146,0.0,0.0,3.796534057822961,0.0,0.0,0.0,0.0,0.0,3.796534057822961,0.0,0.0,0.0,0.0,0.0,-0.02060579811916553,0.0,3.796534057822961,0.0,0.0,0.02060579811916553,0.006446280991735537,-416.94545454545454,0.0,0.0,0.0,0,15637064.234513197,343.6289540314431,381.8099489238257,0.0,0.0,0.0,0.0,0.0,-10317.047520661157,0.0,-10317.047520661157,0.0,0.0,0.0,0.0,0.02060579811916553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10317.047520661157,0.0
20,20,0.020804483349018407,2405.3411882422674,3.8864094258907214,-0.0208044833490185,94.6588117577322,67.12621174901031,0.0,0.0,77.0,0.0,0.0,63.2398023231196,0.0,0.0,0.0,0.0,0.0,73.11359057410927,0.0,0.0,0.0,0.0,0.020804483349018504,63.153244228477384,-12889.07083225408,-10311.256665803268,0.0,0.0,3.8864094258907214,0.0,0.0,0.0,0.0,0.0,3.8864094258907214,0.0,0.0,0.0,0.0,0.0,-0.020804483349018504,0.0,3.8864094258907214,0.0,0.0,0.020804483349018504,0.00041735537190082644,-26.994545454545456,0.0,0.0,0.0,0,14400000.000000002,-343.62895403144324,0.0,309.26605862829894,0.0,0.0,0.0,0.0,-10681.880165289256,0.0,-10681.880165289256,0.0,0.0,0.0,0.0,0.020804483349018407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10681.880165289256,0.0
21,21,0.02628496984106201,2499.9670796700902,3.999960495604109,-0.026284969841061996,0.032920329908999485,67.00004389377321,0.0,0.0,77.0,0.0,0.0,63.00008346274187,0.0,0.0,0.0,0.0,0.0,73.00003953327497,0.0,0.0,0.0,0.0,0.026284969841062003,62.861888137407725,-16209.287000009394,-12967.42960000752,0.0,0.0,3.9999604956041086,0.0,0.0,0.0,0.0,0.0,3.9999604956041086,0.0,0.0,0.0,0.0,0.0,-0.026284969841062,0.0,3.999960495604108,0.0,0.0,0.026284969841061996,0.0,0.0,0.0,0.0,0.0,0,22224443.254241936,2173.456459511649,2414.9516216796105,0.0,0.0,0.0,0.0,0.0,-10793.973140495867,0.0,-10793.973140495867,0.0,0.0,0.0,0.0,0.026284969841062003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10793.973140495867,0.0
22,22,-7.800470952819684e-10,2499.9670768619203,3.999960492234305,7.80047127444225e-10,0.03292313807865021,67.00004389751744,0.0,0.0,77.00000000000001,0.0,0.0,63.00008364816471,0.0,0.0,0.0,0.0,0.0,73.0000395077657,0.0,0.0,0.0,0.0,0.0,63.000090613913564,0.0,0.0,0.0,0.0,3.9999604922343055,0.0,0.0,0.0,0.0,0.0,3.9999604922343055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9999604922343046,0.0,0.0,0.0,0.0,0.0,-8520.56626776108,0.0,8520.56626776108,0,14400000.000000002,-2173.456459511649,0.0,1956.1108135604845,0.0,0.0,0.0,0.0,-10694.022727272728,0.0,-10694.022727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10694.022727272728,0.0
23,23,9.145316132918083e-06,2499.9999999999995,3.999999999999999,-9.145316133124523e-06,0.0,67.0,0.0,0.0,77.00000000000001,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,73.00000000000001,0.0,0.0,0.0,0.0,9.1453161331245e-06,63.0,-5.652110183402997,-4.521688146722398,0.0,0.0,3.999999999999999,0.0,0.0,0.0,0.0,0.0,3.999999999999999,0.0,0.0,0.0,0.0,0.0,-9.145316133124523e-06,0.0,3.999999999999999,0.0,0.0,9.145316133124523e-06,0.0,0.0,-10591.168394497907,0.0,10591.168394497907,0,14400000.000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10595.690082644629,0.0,-10595.690082644629,0.0,0.0,0.0,0.0,9.145316133063315e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10595.690082644629,0.0
