,t,Reservoir0.Q,Reservoir0.W,Reservoir0.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Reservoir2.Q,Reservoir2.W,Reservoir2.z,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.Ph,Pump1.Pe,Pump1.N_on,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe01.Q,Pipe01.H,Pipe01.zlow,Pipe01.zhigh,Pipe01.H0,Pipe01.signQ,Pipe02.Q,Pipe02.H,Pipe02.zlow,Pipe02.zhigh,Pipe02.H0,Pipe02.signQ,VarSource.Qin,VarSource.Qmax,VarSource.Qout,VarSource.Q,VarSource.H,VarSource.zhigh,VarSource.zlow,Pipe01T.Q,Pipe01T.H,Pipe01T.zlow,Pipe01T.zhigh,Pipe01T.H0,Pipe01T.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EB.P_bal,HydroSwitch.Qin0,HydroSwitch.Qin1,HydroSwitch.Qout,HydroSwitch.Hout,HydroSwitch.Hin0,HydroSwitch.Hin1,HydroSwitch.alpha,Load.P,Load.Pin,Load.Pout,p1r0_expanded.Q,p1eb_expanded.P,t1r0_expanded.Q,t1eb_expanded.P,c01tr1_expanded.Q,c01r1_Q_expanded.Q,c02r2_Q_expanded.Q,c21r2_Q_expanded.Q,c21r1_Q_expanded.Q,pveb_expanded.P,grideb_expanded.P,loadeb_expanded.P
0,0,-0.01620116942104536,1441.675790084237,2.7300109481010844,1.187614815256944e-08,500.0000427541334,67.66666672367218,0.016201157544895314,308.3241671616231,78.23329666864649,-0.016201169421045356,0.016201169421045356,75.50329097010322,12000.0,15000.0,2.0,0.0,0.0,64.9366557755711,0.0,0.0,0.0,64.93665577557111,2.730010948101084,67.66666672367218,64.9366557755711,0.0,0.01620116942104535,75.50329097010322,2.730010948101084,78.23329666864649,75.5032857205454,1.0,-1.1876150034017172e-08,2.879703314721052,1.1876150034017172e-08,1.1876150034017172e-08,10.566629944974327,78.23329666864649,67.66666672367218,0.0,64.9366557755711,2.7300109481010844,67.66666672367218,64.93665577557108,1.0,0.97,-15209.6,-4835.4,0.0,4835.399999999999,0.0,0.0,0.01620116942104535,0.016201169421045356,75.50329097010322,64.93665577557111,75.50329097010322,1.0000000000000002,-5045.0,5045.0,-5045.0,-0.016201169421045356,15000.0,0.0,0.0,0.0,0.0,0.01620116942104535,-1.1876150034017172e-08,1.1876148152569438e-08,-15209.6,-4835.4,5045.0
1,1,-0.008084380592742317,1412.5720199503644,2.6950864239404377,1.9045991097705683e-11,500.00004282269896,67.6666667237636,0.008084380573697881,337.4279372269355,78.34971174890774,-0.00808438059274232,0.008084380592742321,75.65462663125295,6000.0,7500.0,1.0,0.0,0.0,64.97158029982316,0.0,0.0,0.0,64.97158029982316,2.6950864239404377,67.6666667237636,64.97158029982316,0.0,0.008084380592742321,75.65462663125257,2.695086423940438,78.34971174890774,75.6546253249673,1.0,-1.9044439395523677e-11,2.8955230504579013,1.9044439395523677e-11,1.9044439395523677e-11,10.683045025144146,78.34971174890774,67.6666667237636,0.0,64.97158029982316,2.6950864239404377,67.6666667237636,64.97158029982316,1.0,0.69575,-10909.359999999999,-3906.140000000002,0.0,3906.1400000000026,0.0,0.0,0.008084380592742321,0.008084380592742321,75.65462663125295,64.97158029982316,75.65462663125257,1.000000000000005,-7315.5,7315.5,-7315.5,-0.00808438059274232,7500.0,0.0,0.0,0.0,0.0,0.008084380592742321,-1.9044439395523677e-11,1.9045991097705686e-11,-10909.359999999999,-3906.140000000002,7315.5
2,2,-0.008068272973051247,1383.52623724738,2.660231484696857,0.0,500.000042822699,67.6666667237636,0.008068272973051127,366.4737199299196,78.46589487971968,-0.008068272973051247,0.008068272973051247,75.80566469607616,6000.0,7500.0,1.0,0.0,0.0,65.00643523906676,0.0,0.0,0.0,65.00643523906675,2.660231484696857,67.6666667237636,65.00643523906675,0.0,0.008068272973051247,75.80566469607642,2.6602314846968564,78.46589487971968,75.80566339502283,1.0,0.0,2.9112255592438445,0.0,0.0,10.799228155956074,78.46589487971968,67.66666672376361,0.0,65.00643523906676,2.660231484696857,67.6666667237636,65.00643523906675,1.0,0.50475,-7914.4800000000005,-8890.519999999999,0.0,8890.52,0.0,0.0,0.008068272973051247,0.008068272973051247,75.80566469607616,65.00643523906675,75.80566469607642,0.9999999999999966,-9305.0,9305.0,-9305.0,-0.008068272973051247,7500.0,0.0,0.0,0.0,0.0,0.008068272973051247,0.0,0.0,-7914.4800000000005,-8890.519999999999,9305.0
3,3,-0.008052261205699992,1354.5380969068601,2.6254457162882323,0.0,500.000042822699,67.66666672376361,0.008052261205700009,395.46186027043956,78.58184744108176,-0.00805226120569999,0.008052261205699992,75.95640302156994,6000.0,7500.0,1.0,0.0,0.0,65.04122100747537,0.0,0.0,0.0,65.04122100747537,2.6254457162882328,67.66666672376361,65.04122100747537,0.0,0.008052261205699993,75.95640302156991,2.6254457162882328,78.58184744108176,75.95640172479352,1.0,0.0,2.926812912871513,0.0,0.0,10.915180717318151,78.58184744108176,67.66666672376361,0.0,65.04122100747537,2.6254457162882328,67.66666672376361,65.04122100747537,1.0,0.56975,-8933.679999999998,-6788.820000000002,0.0,6788.8200000000015,0.0,0.0,0.008052261205699993,0.008052261205699992,75.95640302156994,65.04122100747537,75.95640302156991,1.0,-8222.5,8222.5,-8222.5,-0.00805226120569999,7500.0,0.0,0.0,0.0,0.0,0.008052261205699993,0.0,0.0,-8933.679999999998,-6788.820000000002,8222.5
4,4,0.0,1354.5380969068597,2.6254457162882314,0.0,500.000042822699,67.66666672376361,0.0,395.4618602704396,78.58184744108176,0.0,0.0,65.04122100747537,0.0,0.0,0.0,0.0,0.0,65.04122100747537,0.0,0.0,0.0,65.04122100747539,2.625445716288232,67.66666672376361,65.04122100747537,0.0,0.0,75.95640172479354,2.625445716288232,78.58184744108176,75.95640172479354,0.0,0.0,2.926812912871443,0.0,0.0,10.915180717318153,78.58184744108176,67.66666672376361,0.0,65.04122100747537,2.625445716288232,67.66666672376361,65.04122100747537,1.0,0.5535,-8678.88,-1381.1200000000003,0.0,1381.1200000000001,0.0,0.0,0.0,0.0,65.04122100747537,65.04122100747539,75.95640172479354,0.0,-10060.0,10060.0,-10060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8678.88,-1381.1200000000003,10060.0
5,5,0.005594124892381907,1374.6769465194345,2.6496123358233215,-0.005594124892381887,479.86119321012416,67.63981492428017,0.0,395.46186027043757,78.58184744108175,0.0,0.0,64.99020258845684,0.0,0.0,0.0,-0.005594124892381887,0.005594124892381905,64.990201962573,-3566.556215112052,-2853.244972089642,0.0,64.99020258845685,2.6496123358233215,67.63981492428017,64.99020258845684,0.0,0.0,75.93223510525843,2.6496123358233215,78.58184744108175,75.93223510525843,0.0,0.0,2.930410733754427,0.0,0.0,10.94203251680159,78.58184744108175,67.63981492428016,-0.005594124892381887,64.990201962573,2.6496123358233215,67.63981492428017,64.99020258845684,0.0,0.2565,-4021.919999999999,-2163.335027910359,0.0,2163.3350279103593,0.0,0.0,0.0,0.0,64.99020258845684,64.99020258845685,75.93223510525843,0.0,-9038.5,9038.5,-9038.5,0.0,0.0,0.005594124892381906,-2853.244972089642,-0.005594124892381887,0.0,0.0,0.0,0.0,-4021.919999999999,-2163.335027910359,9038.5
6,6,0.011535306297081575,1416.2040491889281,2.6994448590267144,-0.011535306297081573,438.3340905406305,67.58444545405419,0.0,395.46186027043757,78.58184744108175,0.0,0.0,64.88500059502748,0.0,0.0,0.0,-0.011535306297081573,0.011535306297081573,64.88499793379542,-7342.474999999998,-5873.98,0.0,64.88500059502748,2.699444859026714,67.58444545405419,64.88500059502748,0.0,0.0,75.88240258205505,2.699444859026714,78.58184744108175,75.88240258205505,0.0,0.0,2.9378156986814536,0.0,0.0,10.997401987027565,78.58184744108175,67.58444545405419,-0.011535306297081573,64.88499793379542,2.699444859026714,67.58444545405419,64.88500059502749,0.0,0.2265,-3551.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.88500059502748,64.88500059502748,75.88240258205505,0.0,-9425.5,9425.5,-9425.5,0.0,0.0,0.011535306297081573,-5873.98,-0.011535306297081573,0.0,0.0,0.0,0.0,-3551.52,0.0,9425.5
7,7,0.01817947212895795,1481.6501488531767,2.777980178623812,-0.018179472128957916,372.8879908763819,67.49718398783519,0.0,395.46186027043757,78.58184744108175,0.0,0.0,75.80386726245791,0.0,0.0,0.0,-0.018179472128957923,0.018179472128957926,64.71919719934776,-11542.062499999998,-9233.65,0.0,64.71920380921135,2.7779801786238125,67.49718398783519,64.71920380921136,0.0,0.0,75.80386726245791,2.7779801786238125,78.58184744108175,75.80386726245793,1.0,0.0,2.949448063300678,0.0,0.0,11.084663453246579,78.58184744108175,67.49718398783517,-0.018179472128957923,64.71919719934776,2.7779801786238125,67.49718398783519,64.71920380921136,0.0,0.0575,-901.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.80386726245791,64.71920380921135,75.80386726245791,1.0,-10135.25,10135.25,-10135.25,0.0,0.0,0.018179472128957947,-9233.65,-0.018179472128957923,0.0,0.0,0.0,0.0,-901.6,0.0,10135.25
