,t,Reservoir0.Q,Reservoir0.W,Reservoir0.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Reservoir2.Q,Reservoir2.W,Reservoir2.z,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe01.Q,Pipe01.H,Pipe01.zlow,Pipe01.zhigh,Pipe01.H0,Pipe01.signQ,Pipe02.Q,Pipe02.H,Pipe02.zlow,Pipe02.zhigh,Pipe02.H0,Pipe02.signQ,VarSource.Qin,VarSource.Qmax,VarSource.Qout,VarSource.Q,VarSource.H,VarSource.zhigh,VarSource.zlow,Pipe01T.Q,Pipe01T.H,Pipe01T.zlow,Pipe01T.zhigh,Pipe01T.H0,Pipe01T.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EB.P_bal,HydroSwitch.Qin0,HydroSwitch.Qin1,HydroSwitch.Qout,HydroSwitch.Hout,HydroSwitch.Hin0,HydroSwitch.Hin1,HydroSwitch.alpha,Load.P,Load.Pin,Load.Pout,p1r0_expanded.Q,p1eb_expanded.P,t1r0_expanded.Q,t1eb_expanded.P,c01tr1_expanded.Q,c01r1_Q_expanded.Q,c02r2_Q_expanded.Q,c21r2_Q_expanded.Q,c21r1_Q_expanded.Q,pveb_expanded.P,grideb_expanded.P,loadeb_expanded.P
0,0,-0.0228000797252423,1417.9197129891277,2.701503655586954,0.022800079734582753,582.0802870444979,67.77610704939265,-9.339120520677641e-12,249.9999999663792,77.99999999986552,-0.022800079725242305,0.0228000797252423,65.07461379060574,2121.994121873723,14555.15931470097,18193.949143376212,1.0,0.0,0.0,65.0746033938057,0.0,0.0,0.022800079725242308,65.07461379060571,2.701503655586954,67.77610704939265,65.0746033938057,1.0,0.0,75.29849634427856,2.701503655586954,77.99999999986552,75.29849634427856,1.0,-9.33912052067764e-12,2.8326156088553582,9.339120520677641e-12,9.339120520677641e-12,10.223892950472885,77.99999999986552,67.77610704939266,0.0,65.0746033938057,2.701503655586954,67.77610704939265,65.0746033938057,1.0000000000000002,0.97,-15209.6,-8029.349143376212,0.0,8029.349143376213,0.0,0.022800079725242308,0.0,0.0228000797252423,65.07461379060572,65.07461379060571,75.29849634427856,0.0,-5045.0,5045.0,-5045.0,-0.022800079725242305,18193.949143376212,0.0,0.0,0.0,0.022800079725242308,0.0,-9.33912052067764e-12,9.340444051453645e-12,-15209.6,-8029.349143376212,5045.0
1,1,-0.022800000000000004,1335.8397129891275,2.603007655586953,0.0,582.0802870444979,67.77610704939266,0.022800000000000507,332.0799999663811,78.32831999986553,-0.0228,0.0228,75.72532274107856,2289.0691162245375,16937.33148685156,21171.66435856445,1.0,0.0,0.0,65.17309939380573,0.0,0.0,0.0,65.1730993938057,2.603007655586954,67.77610704939266,65.1730993938057,0.0,0.0228,75.72532274107856,2.603007655586954,78.32831999986553,75.72531234427856,1.0,0.0,2.8777381161879116,0.0,0.0,10.552212950472851,78.32831999986553,67.77610704939266,0.0,65.17309939380573,2.603007655586954,67.77610704939266,65.17309939380571,1.0,0.69575,-10909.359999999999,-17577.80435856445,0.0,17577.804358564452,0.0,0.0,0.0228,0.0228,75.72532274107856,65.1730993938057,75.72532274107856,1.0,-7315.5,7315.5,-7315.5,-0.0228,21171.66435856445,0.0,0.0,0.0,0.0,0.0228,0.0,0.0,-10909.359999999999,-17577.80435856445,7315.5
2,2,0.0,1335.8397129891275,2.603007655586953,0.0,582.0802870444979,67.77610704939266,0.0,332.0799999663811,78.32831999986553,0.0,0.0,75.72531234427855,2289.0689154456154,0.0,0.0,0.0,0.0,0.0,65.17309939380571,0.0,0.0,0.0,65.17309939380573,2.6030076555869535,67.77610704939266,65.17309939380573,0.0,0.0,75.72531234427855,2.6030076555869535,78.32831999986553,75.72531234427856,1.0,0.0,2.877738126294888,0.0,0.0,10.55221295047285,78.32831999986553,67.77610704939268,0.0,65.17309939380571,2.6030076555869535,67.77610704939266,65.17309939380573,1.0000000000000002,0.50475,-7914.4800000000005,-1390.5199999999984,0.0,1390.5199999999984,0.0,0.0,0.0,0.0,75.72531234427855,65.17309939380573,75.72531234427855,1.0,-9305.0,9305.0,-9305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7914.4800000000005,-1390.5199999999984,9305.0
3,3,0.0,1335.8397129891048,2.603007655586926,0.0,582.0802870444979,67.77610704939266,0.0,332.0799999663811,78.32831999986553,0.0,0.0,75.72531234427862,2289.0691461221004,0.0,0.0,0.0,0.0,0.0,65.17309939380573,0.0,0.0,0.0,65.17309939380576,2.6030076555869264,67.77610704939266,65.17309939380574,0.0,0.0,75.72531234427862,2.6030076555869264,78.32831999986553,75.7253123442786,1.0,0.0,2.8777381262948594,0.0,0.0,10.552212950472851,78.32831999986553,67.77610704939266,0.0,65.17309939380573,2.6030076555869264,67.77610704939266,65.17309939380573,1.0000000000000002,0.56975,-8933.679999999998,711.1799999999984,711.1799999999985,0.0,0.0,0.0,0.0,0.0,75.7253123442786,65.17309939380576,75.72531234427862,1.0,-8222.5,8222.5,-8222.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8933.679999999998,711.1799999999984,8222.5
4,4,0.0,1335.8397129891048,2.603007655586926,0.0,582.080287044498,67.77610704939266,0.0,332.0799999663811,78.32831999986553,0.0,0.0,65.17309939380576,2123.59924873371,0.0,0.0,0.0,0.0,0.0,65.17309939380574,0.0,0.0,0.0,65.17309939380574,2.6030076555869264,67.77610704939266,65.17309939380574,0.0,0.0,75.7253123442786,2.6030076555869264,78.32831999986553,75.72531234427859,1.0,0.0,2.8777381262949193,0.0,0.0,10.552212950472851,78.32831999986553,67.77610704939266,0.0,65.17309939380574,2.6030076555869264,67.77610704939266,65.17309939380573,0.9999999999999999,0.5535,-8678.88,-1381.120000000001,0.0,1381.120000000001,0.0,0.0,0.0,0.0,65.17309939380574,65.17309939380574,75.7253123442786,0.0,-10060.0,10060.0,-10060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8678.88,-1381.120000000001,10060.0
5,5,0.007778678544510965,1363.8429557493441,2.6366115468992133,-0.007778678544510965,554.0770442842585,67.73876939237901,0.0,332.0799999663811,78.32831999986553,0.0,0.0,65.10215784547981,2122.4431438176384,0.0,0.0,0.0,-0.007778678544510965,0.007778678544510964,65.10215663558711,-4967.8706188500955,-3974.296495080076,0.0,65.10215784547981,2.6366115468992133,67.73876939237901,65.10215784547981,0.0,0.0,75.69170845296631,2.6366115468992133,78.32831999986553,75.6917084529663,1.0,0.0,2.8828248848577385,0.0,0.0,10.589550607486503,78.32831999986553,67.73876939237901,-0.007778678544510965,65.10215663558711,2.6366115468992133,67.73876939237901,65.10215784547981,0.0,0.2565,-4021.9199999999996,-1042.2835049199239,0.0,1042.283504919924,0.0,0.0,0.0,0.0,65.10215784547981,65.10215784547981,75.69170845296631,0.0,-9038.5,9038.5,-9038.5,0.0,0.0,0.007778678544510964,-3974.296495080076,-0.007778678544510965,0.0,0.0,0.0,0.0,-4021.9199999999996,-1042.2835049199239,9038.5
6,6,0.011515404612371499,1405.2984123538815,2.6863580948246577,-0.0115154046123715,512.6215876797211,67.68349545023962,0.0,332.07999996638097,78.32831999986553,0.0,0.0,64.99713735541498,2120.730400562906,0.0,0.0,0.0,-0.011515404612371499,0.011515404612371497,64.99713470334608,-7342.475,-5873.98,0.0,64.99713735541498,2.686358094824658,67.68349545023962,64.99713735541498,0.0,0.0,75.64196190504087,2.686358094824658,78.32831999986553,75.64196190504087,1.0,0.0,2.8903387875033806,0.0,0.0,10.644824549625913,78.32831999986553,67.68349545023962,-0.011515404612371499,64.99713470334608,2.686358094824658,67.68349545023962,64.99713735541496,0.0,0.2265,-3551.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.99713735541498,64.99713735541498,75.64196190504087,0.0,-9425.5,9425.5,-9425.5,0.0,0.0,0.011515404612371499,-5873.98,-0.011515404612371499,0.0,0.0,0.0,0.0,-3551.52,0.0,9425.5
7,7,0.01814794666756142,1470.631020357103,2.7647572244285232,-0.01814794666756399,447.28897967649067,67.59638530623532,0.0,332.0799999663838,78.32831999986554,0.0,0.0,75.56356277543702,2286.6229627842167,0.0,0.0,0.0,-0.01814794666756142,0.018147946667561424,64.83162149485234,-11542.0625,-9233.65,0.0,64.83162808180678,2.764757224428523,67.59638530623532,64.83162808180678,0.0,0.0,75.56356277543702,2.764757224428523,78.32831999986554,75.563562775437,0.0,0.0,2.902140993742538,0.0,0.0,10.731934693630226,78.32831999986554,67.59638530623532,-0.01814794666756142,64.83162149485234,2.764757224428523,67.59638530623532,64.83162808180678,0.0,0.0575,-901.6000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.56356277543702,64.83162808180678,75.56356277543702,1.0,-10135.25,10135.25,-10135.25,0.0,0.0,0.018147946667561424,-9233.65,-0.01814794666756142,0.0,0.0,0.0,0.0,-901.6000000000001,0.0,10135.25
