,t,Reservoir0.Q,Reservoir0.W,Reservoir0.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Reservoir2.Q,Reservoir2.W,Reservoir2.z,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.Ph,Pump1.Pe,Pump1.Non,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe01.Q,Pipe01.H,Pipe01.zlow,Pipe01.zhigh,Pipe01.H0,Pipe01.signQ,Pipe02.Q,Pipe02.H,Pipe02.zlow,Pipe02.zhigh,Pipe02.H0,Pipe02.signQ,VarSource.Qin,VarSource.Qmax,VarSource.Qout,VarSource.Q,VarSource.H,VarSource.zhigh,VarSource.zlow,Pipe01T.Q,Pipe01T.H,Pipe01T.zlow,Pipe01T.zhigh,Pipe01T.H0,Pipe01T.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EB.P_bal,HydroSwitch.Qin0,HydroSwitch.Qin1,HydroSwitch.Qout,HydroSwitch.Hout,HydroSwitch.Hin0,HydroSwitch.Hin1,HydroSwitch.alpha,Load.P,Load.Pin,Load.Pout,p1r0_expanded.Q,p1eb_expanded.P,t1r0_expanded.Q,t1eb_expanded.P,c01tr1_expanded.Q,c01r1_Q_expanded.Q,c02r2_Q_expanded.Q,c21r2_Q_expanded.Q,c21r1_Q_expanded.Q,pveb_expanded.P,grideb_expanded.P,loadeb_expanded.P
0,0,0.003667427880529639,1513.2027403699067,2.815843288443888,-0.0036674281337277246,486.7972587185802,67.64906301162479,2.531981175164281e-10,250.00000091151324,78.00000000364606,0.0,0.0,64.8332197231809,0.0,0.0,0.0,-0.0036674278805295833,0.0036674278805295777,64.83321945418665,-2332.5353541782283,-1866.028283342583,0.0,64.83321972318089,2.815843288443888,67.64906301162479,64.83321972318089,0.0,0.0,75.18415671520218,2.815843288443888,78.00000000364606,75.18415671520216,0.0,2.5319811751642807e-10,2.8501605758853934,-2.5319811751642807e-10,-2.5319811751642807e-10,10.350936992021264,78.00000000364606,67.64906301162479,-0.0036674278805295833,64.83321945418665,2.815843288443888,67.64906301162479,64.83321972318089,0.0,0.79,-12387.200000000003,8044.228283342585,8044.228283342585,0.0,0.0,0.0,0.0,0.0,64.8332197231809,64.83321972318089,75.18415671520218,0.0,-6209.0,6209.0,-6209.0,0.0,0.0,0.003667427880529639,-1866.028283342583,-0.0036674278805295833,0.0,0.0,2.5319811751642807e-10,-2.531981416416695e-10,-12387.200000000003,8044.228283342585,6209.0
1,1,-0.008118558353720225,1483.9759302965138,2.780771116355817,0.0,486.7972587185802,67.64906301162478,0.008118558353720245,279.2268109849061,78.11690724393964,-0.008118558353720225,0.008118558353720225,75.33613744580354,6000.0,7500.0,1.0,0.0,0.0,64.86829189526895,0.0,0.0,0.0,64.86829189526895,2.780771116355817,67.64906301162478,64.86829189526895,0.0,0.008118558353720225,75.33613744580356,2.780771116355817,78.11690724393964,75.33613612758381,1.0,0.0,2.8662107657184737,0.0,0.0,10.467844232314878,78.11690724393964,67.64906301162478,0.0,64.86829189526895,2.780771116355817,67.64906301162478,64.86829189526895,0.9999999999999999,0.90175,-14139.44,1151.9399999999994,1151.9399999999991,0.0,0.0,0.0,0.008118558353720225,0.008118558353720225,75.33613744580354,64.86829189526895,75.33613744580356,1.0,-5487.5,5487.5,-5487.5,-0.008118558353720225,7500.0,0.0,0.0,0.0,0.0,0.008118558353720225,0.0,0.0,-14139.44,1151.9399999999994,5487.5
2,2,-0.008102246012548794,1454.8078446513384,2.7457694135816064,0.0,486.79725871858017,67.64906301162478,0.008102246012548837,308.3948966300818,78.23357958652034,-0.008102246012548792,0.008102246012548837,75.48781148586656,6000.0,7500.0,1.0,0.0,0.0,64.90329359804315,0.0,0.0,0.0,64.90329359804316,2.7457694135816064,67.64906301162478,64.90329359804316,0.0,0.008102246012548837,75.48781148586654,2.7457694135816064,78.23357958652034,75.48781017293874,1.0,0.0,2.8821395885657433,0.0,0.0,10.58451657489557,78.23357958652034,67.64906301162478,0.0,64.90329359804315,2.7457694135816064,67.64906301162478,64.90329359804316,0.9999999999999998,0.97,-15209.6,2664.6000000000004,2664.6,0.0,0.0,0.0,0.008102246012548837,0.008102246012548837,75.48781148586656,64.90329359804316,75.48781148586654,1.0000000000000002,-5045.0,5045.0,-5045.0,-0.008102246012548792,7500.0,0.0,0.0,0.0,0.0,0.008102246012548837,0.0,0.0,-15209.6,2664.6000000000004,5045.0
3,3,7.25540486521144e-10,1454.8078472632842,2.745769416715941,-7.25540737367621e-10,486.79725610663365,67.64906300814218,0.0,308.39489663008186,78.23357958652034,0.0,0.0,64.90329359142625,0.0,0.0,0.0,-7.255407373676211e-10,7.25540737367621e-10,64.90329359142738,-0.00048399464679934636,-0.00038719571743947714,0.0,64.90329359142625,2.7457694167159414,67.64906300814218,64.90329359142623,1.0,0.0,75.4878101698044,2.7457694167159414,78.23357958652034,75.4878101698044,0.0,0.0,2.882139589039926,0.0,0.0,10.584516578378173,78.23357958652034,67.64906300814218,-7.255407373676211e-10,64.90329359142738,2.7457694167159414,67.64906300814218,64.90329359142623,0.9999999910318997,0.69575,-10909.359999999999,3593.8603871957152,3593.8603871957157,0.0,0.0,0.0,0.0,0.0,64.90329359142625,64.90329359142625,75.4878101698044,0.0,-7315.5,7315.5,-7315.5,0.0,0.0,7.25540486521144e-10,-0.00038719571743947714,-7.255407373676211e-10,0.0,0.0,0.0,0.0,-10909.359999999999,3593.8603871957152,7315.5
4,4,0.0027309765126414714,1464.6393627087934,2.7575672352505527,-0.0027309765126414714,476.96574066112436,67.63595432088151,0.0,308.3948966300819,78.23357958652032,0.0,0.0,75.47601235126977,0.0,0.0,0.0,-0.002730976512641471,0.0027309765126414714,64.87838693646648,-1738.1499999999976,-1390.5199999999984,0.0,64.87838708563095,2.7575672352505523,67.63595432088151,64.87838708563095,0.0,0.0,75.47601235126977,2.7575672352505523,78.23357958652032,75.47601235126977,0.0,0.0,2.883923769532256,0.0,0.0,10.597625265638834,78.23357958652032,67.6359543208815,-0.002730976512641471,64.87838693646648,2.7575672352505523,67.63595432088151,64.87838708563095,0.0,0.50475,-7914.4800000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.47601235126977,64.87838708563095,75.47601235126977,1.0,-9305.0,9305.0,-9305.0,0.0,0.0,0.0027309765126414705,-1390.5199999999984,-0.002730976512641471,0.0,0.0,0.0,0.0,-7914.4800000000005,0.0,9305.0
