,t,Reservoir0s.Q,Reservoir0s.W,Reservoir0s.z,Reservoir1s.Q,Reservoir1s.W,Reservoir1s.z,Reservoir2s.Q,Reservoir2s.W,Reservoir2s.z,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.N_on,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.N_on,Turb1s.Qin,Turb1s.Qout,Turb1s.H,Turb1s.Ph,Turb1s.Pe,Pipe01s.Q,Pipe01s.H,Pipe01s.zlow,Pipe01s.zhigh,Pipe01s.signQ,Pipe02s.Q,Pipe02s.H,Pipe02s.zlow,Pipe02s.zhigh,Pipe02s.signQ,VarSources.Qin,VarSources.Qout,Pipe01Ts.Q,Pipe01Ts.H,Pipe01Ts.zlow,Pipe01Ts.zhigh,Pipe01Ts.signQ,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBs.P_bal,Loads.P,Loads.Pin,Loads.Pout,p1r0s_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2ebs_expanded.P,t1r0s_expanded.Q,t1ebs_expanded.P,c01tr1s_expanded.Q,c01r1_Qs_expanded.Q,c02r2_Qs_expanded.Q,c21r2_Qs_expanded.Q,c21r1_Qs_expanded.Q,pvebs_expanded.P,gridebs_expanded.P,loadebs_expanded.P
10,10,0.0,2499.999999999999,3.999999999999999,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.00000000000002,0.0,0.0,0.0,0.0,0.0,73.00000000000001,0.0,0.0,0.0,0.0,0.0,63.00000000000002,0.0,0.0,0.0,63.00000000000002,3.9999999999999982,67.0,0.0,0.0,73.00000000000001,3.9999999999999982,77.0,0.0,0.0,0.0,0.0,63.00000000000002,3.9999999999999982,67.0,0.0,0.6405,-10043.039999999999,2822.7899999999995,2822.7899999999995,0.0,0.0,-7220.25,7220.25,-7220.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10043.039999999999,2822.7899999999995,7220.25
11,11,-0.0070232855001539675,2474.7161721994444,3.9696594066393334,0.007023285500153962,25.283827800543875,67.03371177040071,0.0,0.0,77.0,-0.009694074279580352,0.00969407427958035,63.092244886602494,6000.0,7500.0,1.0,0.0,0.0,73.03034059336066,0.0,0.0,0.0,-0.0026707887794263866,0.0026707887794263866,63.061912430398536,-1652.2499999999989,-1321.799999999999,0.00969407427958035,63.092244886602494,3.9696594066393325,67.03371177040071,1.0,0.0,73.03034059336066,3.9696594066393325,77.0,0.0,0.0,0.0,-0.0026707887794263866,63.061912430398536,3.9696594066393325,67.03371177040071,0.0,0.79,-12387.2,0.0,0.0,0.0,0.0,-6209.0,6209.0,-6209.0,-0.009694074279580352,7500.0,0.0,0.0,0.0026707887794263866,-1321.799999999999,-0.0026707887794263866,0.00969407427958035,0.0,0.0,0.0,-12387.2,0.0,6209.0
12,12,-0.009680539092773338,2439.8662314654607,3.9278394777585524,0.00968053909277312,60.133768534527114,67.08017835804604,0.0,0.0,77.0,-0.009680539092773338,0.009680539092773117,63.180452731412785,6000.0,7500.0,1.0,0.0,0.0,73.07216052224146,0.0,0.0,0.0,0.0,0.0,63.15233888028749,0.0,0.0,0.009680539092773117,63.180452731412785,3.9278394777585524,67.08017835804604,1.0,0.0,73.07216052224146,3.927839477758552,77.0,0.0,0.0,0.0,0.0,63.15233888028749,3.927839477758552,67.08017835804604,0.0,0.90175,-14139.44,1151.9400000000014,1151.9400000000012,0.0,0.0,-5487.5,5487.5,-5487.5,-0.009680539092773338,7500.0,0.0,0.0,0.0,0.0,0.0,0.009680539092773117,0.0,0.0,0.0,-14139.44,1151.9400000000014,5487.5
13,13,-0.019281951005411614,2370.451207845979,3.844541449415175,0.01928195100541161,129.5487921540089,67.172731722872,0.0,0.0,77.0,-0.01928195100541161,0.019281951005411607,63.43972835414758,12000.0,15000.0,2.0,0.0,0.0,73.15545855058483,0.0,0.0,0.0,0.0,0.0,63.32819027345684,0.0,0.0,0.019281951005411607,63.43972835414758,3.844541449415175,67.172731722872,1.0,0.0,73.15545855058483,3.8445414494151744,77.0,0.0,0.0,0.0,0.0,63.32819027345684,3.8445414494151744,67.172731722872,0.0,0.97,-15209.6,-4835.399999999998,0.0,4835.399999999998,0.0,-5045.0,5045.0,-5045.0,-0.01928195100541161,15000.0,0.0,0.0,0.0,0.0,0.0,0.019281951005411607,0.0,0.0,0.0,-15209.6,-4835.399999999998,5045.0
14,14,-0.00964032805937665,2335.746026832223,3.802895232198668,0.009640328059376684,164.25397316776494,67.21900529755702,0.0,0.0,77.0,-0.00964032805937665,0.009640328059376684,63.443990842872395,6000.0,7500.0,1.0,0.0,0.0,73.19710476780133,0.0,0.0,0.0,0.0,0.0,63.41611006535837,0.0,0.0,0.009640328059376684,63.443990842872395,3.802895232198667,67.21900529755702,1.0,0.0,73.19710476780133,3.8028952321986673,77.0,0.0,0.0,0.0,0.0,63.41611006535837,3.8028952321986673,67.21900529755702,0.0,0.69575,-10909.359999999999,-3906.140000000001,0.0,3906.140000000001,0.0,-7315.5,7315.5,-7315.5,-0.00964032805937665,7500.0,0.0,0.0,0.0,0.0,0.0,0.009640328059376684,0.0,0.0,0.0,-10909.359999999999,-3906.140000000001,7315.5
15,15,0.0,2335.746026832223,3.802895232198668,0.0,164.253973167765,67.21900529755702,0.0,0.0,77.0,0.0,0.0,63.41611006535837,0.0,0.0,0.0,0.0,0.0,73.19710476780133,0.0,0.0,0.0,0.0,0.0,63.41611006535837,0.0,0.0,0.0,63.41611006535837,3.8028952321986673,67.21900529755702,0.0,0.0,73.19710476780133,3.8028952321986673,77.0,0.0,0.0,0.0,0.0,63.41611006535837,3.8028952321986673,67.21900529755702,0.0,0.50475,-7914.4800000000005,-1390.5199999999993,0.0,1390.5199999999993,0.0,-9305.0,9305.0,-9305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7914.4800000000005,-1390.5199999999993,9305.0
16,16,0.0,2335.746026832223,3.802895232198668,0.0,164.253973167765,67.21900529755702,0.0,0.0,77.0,0.0,0.0,63.41611006535837,0.0,0.0,0.0,0.0,0.0,73.19710476780133,0.0,0.0,0.0,0.0,0.0,63.41611006535837,0.0,0.0,0.0,63.41611006535837,3.8028952321986673,67.21900529755702,0.0,0.0,73.19710476780133,3.8028952321986673,77.0,0.0,0.0,0.0,0.0,63.41611006535837,3.8028952321986673,67.21900529755702,0.0,0.56975,-8933.679999999998,711.1799999999996,711.1799999999996,0.0,0.0,-8222.5,8222.5,-8222.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8933.679999999998,711.1799999999996,8222.5
17,17,0.0027762263474911384,2345.740441683191,3.8148885300198296,-0.002776226347491139,154.25955831679684,67.20567941108906,0.0,0.0,77.0,0.0,0.0,63.39079088106925,0.0,0.0,0.0,0.0,0.0,73.18511146998017,0.0,0.0,0.0,-0.0027762263474911384,0.0027762263474911376,63.388478701709865,-1726.4,-1381.1200000000001,0.0,63.39079088106925,3.814888530019828,67.20567941108906,0.0,0.0,73.18511146998017,3.814888530019828,77.0,0.0,0.0,0.0,-0.0027762263474911384,63.388478701709865,3.8148885300198287,67.20567941108906,0.0,0.5535,-8678.88,0.0,0.0,0.0,0.0,-10060.0,10060.0,-10060.0,0.0,0.0,0.0,0.0,0.002776226347491138,-1381.1200000000001,-0.0027762263474911384,0.0,0.0,0.0,0.0,-8678.88,0.0,10060.0
18,18,0.010103284726265338,2382.1122666977462,3.8585347200372953,-0.010103284726265354,117.8877333022416,67.15718364440299,0.0,0.0,77.0,0.0,0.0,63.29864892436571,0.0,0.0,0.0,0.0,0.0,73.1414652799627,0.0,0.0,0.0,-0.010103284726265354,0.010103284726265354,63.26802703845597,-6270.724999999999,-5016.58,0.0,63.29864892436571,3.8585347200372953,67.15718364440299,0.0,0.0,73.1414652799627,3.8585347200372953,77.0,0.0,0.0,0.0,-0.010103284726265354,63.26802703845597,3.858534720037295,67.15718364440299,0.0,0.2565,-4021.9199999999996,0.0,0.0,0.0,0.0,-9038.5,9038.5,-9038.5,0.0,0.0,0.0,0.0,0.010103284726265352,-5016.58,-0.010103284726265354,0.0,0.0,0.0,0.0,-4021.9199999999996,0.0,9038.5
19,19,0.011852483751794315,2424.781208204206,3.9097374498450472,-0.011852483751794384,75.21879179578181,67.10029172239439,0.0,0.0,77.0,0.0,0.0,63.19055427254935,0.0,0.0,0.0,0.0,0.0,73.09026255015496,0.0,0.0,0.0,-0.011852483751794384,0.011852483751794384,63.148411165840216,-7342.474999999998,-5873.979999999999,0.0,63.19055427254935,3.909737449845047,67.10029172239439,0.0,0.0,73.09026255015496,3.909737449845047,77.0,0.0,0.0,0.0,-0.011852483751794384,63.148411165840216,3.909737449845047,67.10029172239439,0.0,0.2265,-3551.52,0.0,0.0,0.0,0.0,-9425.5,9425.5,-9425.5,0.0,0.0,0.0,0.0,0.011852483751794382,-5873.979999999999,-0.011852483751794384,0.0,0.0,0.0,0.0,-3551.52,0.0,9425.5
20,20,0.01870071582939509,2492.103785190028,3.9905245422280347,-0.018700715829395288,7.896214809958789,67.01052828641328,0.0,0.0,77.0,0.0,0.0,63.02000374418525,0.0,0.0,0.0,0.0,0.0,73.00947545777197,0.0,0.0,0.0,-0.01870071582939528,0.01870071582939528,62.91509116781171,-11542.062499999998,-9233.65,0.0,63.02000374418525,3.9905245422280333,67.01052828641328,0.0,0.0,73.00947545777197,3.9905245422280333,77.0,0.0,0.0,0.0,-0.01870071582939528,62.91509116781171,3.990524542228034,67.01052828641328,0.0,0.0575,-901.6,0.0,0.0,0.0,0.0,-10135.25,10135.25,-10135.25,0.0,0.0,0.0,0.0,0.01870071582939528,-9233.65,-0.01870071582939528,0.0,0.0,0.0,0.0,-901.6,0.0,10135.25
21,21,0.002193393002769821,2499.999999999999,3.999999999999999,-0.0021933930027698213,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.000000000000014,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,-0.0021933930027698213,0.0021933930027698213,62.9985567084849,-1355.552772034752,-1084.442217627802,0.0,63.000000000000014,3.9999999999999982,67.0,0.0,0.0,73.0,3.9999999999999982,77.0,0.0,0.0,0.0,-0.0021933930027698213,62.9985567084849,3.9999999999999982,67.0,0.0,0.01,-156.79999999999998,-9187.257782372199,0.0,9187.257782372197,0.0,-10428.5,10428.5,-10428.5,0.0,0.0,0.0,0.0,0.002193393002769821,-1084.442217627802,-0.0021933930027698213,0.0,0.0,0.0,0.0,-156.79999999999998,-9187.257782372199,10428.5
22,22,0.0,2499.999999999999,3.999999999999999,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,63.00000000000002,0.0,0.0,0.0,63.0,3.9999999999999987,67.0,0.0,0.0,73.0,3.9999999999999987,77.0,0.0,0.0,0.0,0.0,63.00000000000002,3.9999999999999987,67.0,0.0,0.0,0.0,-10219.75,0.0,10219.75,0.0,-10219.75,10219.75,-10219.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10219.75,10219.75
23,23,0.0,2499.999999999999,3.999999999999999,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,63.00000000000002,0.0,0.0,0.0,63.0,3.9999999999999982,67.0,0.0,0.0,73.0,3.9999999999999982,77.0,0.0,0.0,0.0,0.0,63.00000000000002,3.9999999999999982,67.0,0.0,0.0,0.0,-10729.75,0.0,10729.749999999998,0.0,-10729.75,10729.75,-10729.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10729.75,10729.75
