,t,Reservoir0s.Q,Reservoir0s.W,Reservoir0s.z,Reservoir1s.Q,Reservoir1s.W,Reservoir1s.z,Reservoir2s.Q,Reservoir2s.W,Reservoir2s.z,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.N_on,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.N_on,Turb1s.Qin,Turb1s.Qout,Turb1s.H,Turb1s.Ph,Turb1s.Pe,Pipe01s.Q,Pipe01s.H,Pipe01s.zlow,Pipe01s.zhigh,Pipe01s.signQ,Pipe02s.Q,Pipe02s.H,Pipe02s.zlow,Pipe02s.zhigh,Pipe02s.signQ,VarSources.Qin,VarSources.Qout,Pipe01Ts.Q,Pipe01Ts.H,Pipe01Ts.zlow,Pipe01Ts.zhigh,Pipe01Ts.signQ,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBs.P_bal,Bats.E,Bats.P,Bats.Pch,Bats.Pdc,Loads.P,Loads.Pin,Loads.Pout,p1r0s_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2ebs_expanded.P,t1r0s_expanded.Q,t1ebs_expanded.P,c01tr1s_expanded.Q,c01r1_Qs_expanded.Q,c02r2_Qs_expanded.Q,c21r2_Qs_expanded.Q,c21r1_Qs_expanded.Q,pvebs_expanded.P,gridebs_expanded.P,loadebs_expanded.P
10,10,0.0,2499.9999999999995,3.9999999999999987,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.000000000000014,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,63.000000000000014,0.0,0.0,0.0,63.000000000000014,3.9999999999999996,67.0,0.0,0.0,73.0,3.9999999999999996,77.0,0.0,0.0,0.0,0.0,63.000000000000014,3.9999999999999996,67.0,0.0,0.4947892561983471,-32002.969090909093,23489.038763040237,23489.038763040244,0.0,0.0,0.0,0.0,0.0,0.0,-8513.930327868853,8513.930327868853,-8513.930327868853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32002.969090909093,23489.038763040237,8513.930327868853
11,11,0.0,2499.9999999999995,3.9999999999999987,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.00000000000001,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,63.00000000000001,3.9999999999999996,67.0,0.0,0.0,73.0,3.9999999999999996,77.0,0.0,0.0,0.0,0.0,63.0,3.9999999999999996,67.0,0.0,0.6409132231404959,-41454.26727272727,34242.103338301036,34242.103338301036,0.0,0.0,0.0,0.0,0.0,0.0,-7212.163934426229,7212.163934426229,-7212.163934426229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41454.26727272727,34242.103338301036,7212.163934426229
12,12,-0.019328072731060988,2430.41893816818,3.9165027258018155,0.019328072731060936,69.58106183181937,67.0927747491091,0.0,0.0,77.0,-0.019328072731060943,0.019328072731060932,63.288342001123134,12000.0,15000.0,2.0,0.0,0.0,73.08349727419818,0.0,0.0,0.0,0.0,0.0,63.17627202330726,0.0,0.0,0.019328072731060932,63.288342001123134,3.9165027258018164,67.0927747491091,1.0,0.0,73.08349727419818,3.916502725801816,77.0,0.0,0.0,0.0,0.0,63.17627202330726,3.916502725801816,67.0927747491091,0.0,0.7208243801652893,-46622.92090909091,25160.36763040239,25160.367630402387,0.0,0.0,0.0,0.0,0.0,0.0,-6462.553278688524,6462.553278688524,-6462.553278688524,-0.019328072731060943,15000.0,0.0,0.0,0.0,0.0,0.0,0.019328072731060932,0.0,0.0,0.0,-46622.92090909091,25160.36763040239,6462.553278688524
13,13,-0.02881016192334503,2326.702355244138,3.7920428262929655,0.028810161923345307,173.29764475586245,67.23106352634115,0.0,0.0,77.0,-0.028810161923345026,0.028810161923345304,63.688027549277244,18000.0,22500.0,3.0,0.0,0.0,73.20795717370704,0.0,0.0,0.0,0.0,0.0,63.43902070004818,0.0,0.0,0.028810161923345304,63.688027549277244,3.7920428262929655,67.23106352634115,1.0,0.0,73.20795717370704,3.7920428262929655,77.0,0.0,0.0,0.0,0.0,63.43902070004818,3.7920428262929655,67.23106352634115,0.0,0.7740681818181818,-50066.729999999996,21420.76483606557,21420.76483606557,0.0,0.0,0.0,0.0,0.0,0.0,-6145.9651639344265,6145.9651639344265,-6145.9651639344265,-0.028810161923345026,22500.0,0.0,0.0,0.0,0.0,0.0,0.028810161923345304,0.0,0.0,0.0,-50066.729999999996,21420.76483606557,6145.9651639344265
14,14,-0.038094283499359206,2189.562934646445,3.627475521575734,0.03809428349935936,310.43706535355614,67.41391608713808,0.0,0.0,77.0,-0.03809428349935921,0.03809428349935935,64.22179280936562,24000.0,30000.0,4.0,0.0,0.0,73.37252447842427,0.0,0.0,0.0,0.0,0.0,63.78644056556234,0.0,0.0,0.03809428349935935,64.22179280936562,3.627475521575734,67.41391608713808,1.0,0.0,73.37252447842427,3.6274755215757337,77.0,0.0,0.0,0.0,0.0,63.78644056556234,3.6274755215757337,67.41391608713808,0.0,0.7646280991735537,-49456.14545454545,13006.309388971682,13006.30938897168,0.0,0.0,0.0,0.0,0.0,0.0,-6449.836065573771,6449.836065573771,-6449.836065573771,-0.03809428349935921,30000.0,0.0,0.0,0.0,0.0,0.0,0.03809428349935935,0.0,0.0,0.0,-49456.14545454545,13006.309388971682,6449.836065573771
15,15,0.0,2189.562934646445,3.627475521575734,0.0,310.43706535355614,67.41391608713808,0.0,0.0,77.0,0.0,0.0,63.78644056556234,0.0,0.0,0.0,0.0,0.0,73.37252447842427,0.0,0.0,0.0,0.0,0.0,63.78644056556234,0.0,0.0,0.0,63.78644056556234,3.6274755215757337,67.41391608713808,0.0,0.0,73.37252447842427,3.6274755215757337,77.0,0.0,0.0,0.0,0.0,63.78644056556234,3.6274755215757337,67.41391608713808,0.0,0.6864651639344261,-44400.56680327868,37192.87622950819,37192.87622950819,0.0,0.0,0.0,0.0,0.0,0.0,-7207.690573770492,7207.690573770492,-7207.690573770492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44400.56680327868,37192.87622950819,7207.690573770492
16,16,0.0,2189.562934646445,3.627475521575734,0.0,310.43706535355614,67.41391608713808,0.0,0.0,77.0,0.0,0.0,63.78644056556233,0.0,0.0,0.0,0.0,0.0,73.37252447842427,0.0,0.0,0.0,0.0,0.0,63.78644056556234,0.0,0.0,0.0,63.78644056556233,3.6274755215757333,67.41391608713808,0.0,0.0,73.37252447842427,3.6274755215757333,77.0,0.0,0.0,0.0,0.0,63.78644056556234,3.6274755215757333,67.41391608713808,0.0,0.6104897540983607,-39486.47729508197,32687.34204918033,32687.34204918033,0.0,0.0,0.0,0.0,0.0,0.0,-6799.13524590164,6799.13524590164,-6799.13524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39486.47729508197,32687.34204918033,6799.13524590164
17,17,0.0,2189.562934646445,3.627475521575734,0.0,310.43706535355614,67.41391608713808,0.0,0.0,77.0,0.0,0.0,63.78644056556233,0.0,0.0,0.0,0.0,0.0,73.37252447842427,0.0,0.0,0.0,0.0,0.0,63.78644056556234,0.0,0.0,0.0,63.78644056556233,3.6274755215757333,67.41391608713808,0.0,0.0,73.37252447842427,3.6274755215757333,77.0,0.0,0.0,0.0,0.0,63.78644056556234,3.6274755215757333,67.41391608713808,0.0,0.49282377049180326,-31875.84147540983,23483.532049180325,23483.53204918032,0.0,0.0,0.0,0.0,0.0,0.0,-8392.309426229509,8392.309426229509,-8392.309426229509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31875.84147540983,23483.532049180325,8392.309426229509
18,18,0.0,2189.562934646445,3.627475521575734,0.0,310.43706535355665,67.41391608713808,0.0,0.0,77.0,0.0,0.0,63.78644056556233,0.0,0.0,0.0,0.0,0.0,73.37252447842425,0.0,0.0,0.0,0.0,0.0,63.78644056556234,0.0,0.0,0.0,63.78644056556233,3.6274755215757333,67.41391608713808,0.0,0.0,73.37252447842425,3.6274755215757333,77.0,0.0,0.0,0.0,0.0,63.78644056556234,3.6274755215757333,67.41391608713808,0.0,0.3590081967213115,-23220.650163934424,14498.242377049184,14498.242377049184,0.0,0.0,0.0,0.0,0.0,0.0,-8722.407786885246,8722.407786885246,-8722.407786885246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23220.650163934424,14498.242377049184,8722.407786885246
19,19,0.005708334569745597,2210.112939097529,3.6521355269170344,-0.005708334569745598,289.8870609024725,67.3865160812033,0.0,0.0,77.0,0.0,0.0,63.73438055428626,0.0,0.0,0.0,0.0,0.0,73.34786447308295,0.0,0.0,0.0,-0.005708334569745597,0.005708334569745597,63.72460502922225,-3568.499099556676,-2854.799279645341,0.0,63.73438055428626,3.6521355269170344,67.3865160812033,0.0,0.0,73.34786447308295,3.6521355269170344,77.0,0.0,0.0,0.0,-0.005708334569745597,63.72460502922225,3.6521355269170344,67.3865160812033,0.0,0.19441803278688524,-12574.958360655737,5525.542476366651,5525.54247636665,0.0,0.0,0.0,0.0,0.0,0.0,-9904.215163934427,9904.215163934427,-9904.215163934427,0.0,0.0,0.0,0.0,0.005708334569745597,-2854.799279645341,-0.005708334569745597,0.0,0.0,0.0,0.0,-12574.958360655737,5525.542476366651,9904.215163934427
20,20,0.012538886586938804,2255.2529308105086,3.70630351697261,-0.012538886586938804,244.7470691894928,67.326329425586,0.0,0.0,77.0,0.0,0.0,63.62002590861338,0.0,0.0,0.0,0.0,0.0,73.29369648302739,0.0,0.0,0.0,-0.012538886586938806,0.012538886586938804,63.57285910837534,-7819.874282786887,-6255.89942622951,0.0,63.62002590861338,3.70630351697261,67.326329425586,0.0,0.0,73.29369648302739,3.70630351697261,77.0,0.0,0.0,0.0,-0.012538886586938806,63.57285910837534,3.7063035169726106,67.326329425586,0.0,0.07040163934426229,-4553.578032786884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10809.477459016394,10809.477459016394,-10809.477459016394,0.0,0.0,0.0,0.0,0.012538886586938804,-6255.89942622951,-0.012538886586938806,0.0,0.0,0.0,0.0,-4553.578032786884,0.0,10809.477459016394
21,21,0.021731559296710144,2333.486544278665,3.800183853134398,-0.021731559296710137,166.51345572133627,67.22201794096179,0.0,0.0,77.0,0.0,0.0,63.42183408782738,0.0,0.0,0.0,0.0,0.0,73.19981614686559,0.0,0.0,0.0,-0.02173155929671014,0.021731559296710144,63.28015606240741,-13490.482069672129,-10792.385655737704,0.0,63.42183408782738,3.800183853134398,67.22201794096179,0.0,0.0,73.19981614686559,3.800183853134398,77.0,0.0,0.0,0.0,-0.02173155929671014,63.28015606240741,3.800183853134398,67.22201794096179,0.0,0.006782786885245902,-438.7106557377049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11231.09631147541,11231.09631147541,-11231.09631147541,0.0,0.0,0.0,0.0,0.021731559296710144,-10792.385655737704,-0.02173155929671014,0.0,0.0,0.0,0.0,-438.7106557377049,0.0,11231.09631147541
22,22,0.023078769270622662,2416.5701136529065,3.8998841363834873,-0.023078769270622662,83.42988634709468,67.11123984846279,0.0,0.0,77.0,0.0,0.0,63.21135571207929,0.0,0.0,0.0,0.0,0.0,73.10011586361651,0.0,0.0,0.0,-0.023078769270622662,0.023078769270622666,63.05157260507695,-14275.048360655737,-11420.038688524588,0.0,63.21135571207929,3.899884136383488,67.11123984846279,0.0,0.0,73.10011586361651,3.899884136383488,77.0,0.0,0.0,0.0,-0.023078769270622662,63.05157260507695,3.899884136383489,67.11123984846279,0.0,1.8442622950819673e-05,-1.1928688524590163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11421.231557377048,11421.231557377048,-11421.231557377048,0.0,0.0,0.0,0.0,0.023078769270622662,-11420.038688524588,-0.023078769270622662,0.0,0.0,0.0,0.0,-1.1928688524590163,0.0,11421.231557377048
23,23,0.0231749684297479,2499.999999999999,3.999999999999999,-0.023174968429747856,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.00000000000001,0.0,0.0,0.0,0.0,0.0,72.99999999999999,0.0,0.0,0.0,-0.02317496842974786,0.023174968429747856,62.838876818781166,-14286.195081967211,-11428.95606557377,0.0,63.00000000000001,3.999999999999999,67.0,0.0,0.0,72.99999999999999,3.999999999999999,77.0,0.0,0.0,0.0,-0.02317496842974786,62.838876818781166,3.999999999999999,67.0,0.0,1.639344262295082e-05,-1.060327868852459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11430.016393442624,11430.016393442624,-11430.016393442624,0.0,0.0,0.0,0.0,0.023174968429747856,-11428.95606557377,-0.02317496842974786,0.0,0.0,0.0,0.0,-1.060327868852459,0.0,11430.016393442624
