,t,B1w.Q,B1w.W,B1w.z,B1s.Q,B1s.W,B1s.z,B4w.Q,B4w.W,B4w.z,B4s.Q,B4s.W,B4s.z,B5w.Q,B5w.W,B5w.z,B5s.Q,B5s.W,B5s.z,Irrigation4w.Qin,Irrigation4w.Qout,Irrigation4s.Qin,Irrigation4s.Qout,Irrigation5w.Qin,Irrigation5w.Qout,Irrigation5s.Qin,Irrigation5s.Qout,Pump24gw.Qin,Pump24gw.Qout,Pump24gw.H,Pump24gw.Hfix,Pump24gw.Ph,Pump24gw.Pe,Pump24gw.PumpOn,Pump24gs.Qin,Pump24gs.Qout,Pump24gs.H,Pump24gs.Hfix,Pump24gs.Ph,Pump24gs.Pe,Pump24gs.PumpOn,Pump24sw.Qin,Pump24sw.Qout,Pump24sw.H,Pump24sw.Hfix,Pump24sw.Ph,Pump24sw.Pe,Pump24sw.PumpOn,Pump24ss.Qin,Pump24ss.Qout,Pump24ss.H,Pump24ss.Hfix,Pump24ss.Ph,Pump24ss.Pe,Pump24ss.PumpOn,Pump3gw.Qin,Pump3gw.Qout,Pump3gw.H,Pump3gw.Hfix,Pump3gw.Ph,Pump3gw.Pe,Pump3gw.PumpOn,Pump3gs.Qin,Pump3gs.Qout,Pump3gs.H,Pump3gs.Hfix,Pump3gs.Ph,Pump3gs.Pe,Pump3gs.PumpOn,Pump3sw.Qin,Pump3sw.Qout,Pump3sw.H,Pump3sw.Hfix,Pump3sw.Ph,Pump3sw.Pe,Pump3sw.PumpOn,Pump3ss.Qin,Pump3ss.Qout,Pump3ss.H,Pump3ss.Hfix,Pump3ss.Ph,Pump3ss.Pe,Pump3ss.PumpOn,Pipe14w.Q,Pipe14w.H,Pipe14w.zlow,Pipe14w.zhigh,Pipe14w.Qp,Pipe14w.Qn,Pipe14s.Q,Pipe14s.H,Pipe14s.zlow,Pipe14s.zhigh,Pipe14s.Qp,Pipe14s.Qn,Pipe45w.Q,Pipe45w.H,Pipe45w.zlow,Pipe45w.zhigh,Pipe45w.Qp,Pipe45w.Qn,Pipe45s.Q,Pipe45s.H,Pipe45s.zlow,Pipe45s.zhigh,Pipe45s.Qp,Pipe45s.Qn,PV24w.forecast,PV24w.P,PV24s.forecast,PV24s.P,PV3w.forecast,PV3w.P,PV3s.forecast,PV3s.P,Gridw.P,Gridw.Psell,Gridw.Pbuy,Grids.P,Grids.Psell,Grids.Pbuy,EBgw.P_bal,EBgs.P_bal,Turb1w.Qin,Turb1w.Qout,Turb1w.H,Turb1w.Ph,Turb1w.Pe,Turb1s.Qin,Turb1s.Qout,Turb1s.H,Turb1s.Ph,Turb1s.Pe,p1r4w_expanded.Q,p1c1_Qw_expanded.Q,p1ebw_expanded.P,p2r4w_expanded.Q,p2c1_Qw_expanded.Q,p2ebw_expanded.P,p3r1w_expanded.Q,p3c2_Qw_expanded.Q,p3ebw_expanded.P,p4r1w_expanded.Q,p4c2_Qw_expanded.Q,p4ebw_expanded.P,t1r0w_expanded.Q,t1c1_Qw_expanded.Q,t1ebw_expanded.P,c1r1_Qw_expanded.Q,c2r4_Qw_expanded.Q,r5i5w_expanded.Q,r4i4w_expanded.Q,gridebw_expanded.P,pv2ebw_expanded.P,pv3ebw_expanded.P,p1r4s_expanded.Q,p1c1_Qs_expanded.Q,p1ebs_expanded.P,p2r4s_expanded.Q,p2c1_Qs_expanded.Q,p2ebs_expanded.P,p3r1s_expanded.Q,p3c2_Qs_expanded.Q,p3ebs_expanded.P,p4r1s_expanded.Q,p4c2_Qs_expanded.Q,p4ebs_expanded.P,t1r0s_expanded.Q,t1c1_Qs_expanded.Q,t1ebs_expanded.P,c1r1_Qs_expanded.Q,c2r4_Qs_expanded.Q,r5i5s_expanded.Q,r4i4s_expanded.Q,gridebs_expanded.P,pv2ebs_expanded.P,pv3ebs_expanded.P
0,0,2.0000411264826872e-08,120000000.000072,337.0000000000006,2.0000414188888387e-08,120000000.000072,337.0000000000006,-0.01653286097543182,229940.48170048845,429.4472334669789,-0.06743340531950337,229757.2397408498,429.4398562814187,-0.016532884506320667,159940.48161577727,449.6088372369196,-0.06743351883536373,159757.23933219266,449.6025258146643,-0.01653286273646497,0.01653286273646497,-0.0674334520776611,0.0674334520776611,-0.01653286273646497,0.01653286273646497,-0.0674334520776611,0.0674334520776611,0.0,0.0,92.44723346697828,92,0.0,0.0,0.0,0.0,0.0,92.43985628141803,92,0.0,0.0,0.0,0.0,0.0,92.44723346697828,92,0.0,0.0,0.0,0.0,0.0,92.43985628141803,92,0.0,0.0,0.0,0.0,0.0,20.161603769940662,19,0.0,0.0,0.0,0.0,0.0,20.16266953324551,19,0.0,0.0,0.0,0.0,0.0,20.161603769940662,19,0.0,0.0,0.0,0.0,0.0,20.16266953324551,19,0.0,0.0,0.0,-2.000203101972924e-08,92.44723346697828,337.0000000000006,429.4472334669789,1.3223925065275336e-08,3.32259954366379e-08,-2.0000002104104863e-08,92.43985628141803,337.0000000000006,429.4398562814187,1.3199966453141545e-08,3.3200008584026195e-08,-2.1772509335862948e-08,20.161603769940662,429.4472334669789,449.6088372369196,0.0,1.818077836986718e-08,-6.675787594314143e-08,20.162669533245516,429.4398562814187,449.6025258146643,0.0,5.762032366311378e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021946045613932742,500000.0051097252,500000.00489026477,0.0057795936407513595,500000.0078897918,500000.0021101982,0,0,-1.7753290883232135e-09,1.771800188607871e-09,20.161603769940662,-0.0003134877179657648,-0.00021944140258730013,-4.6758042636044466e-08,4.6758032739655975e-08,20.162669533245516,-0.008256535170949316,-0.00577957461967605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.769039802730961e-09,-1.7735351010072385e-09,-0.00021944140260955625,-2.177162478787683e-08,-2.000402284085956e-08,-0.016532862735580425,-0.016532862738456795,0.00021946045612267434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.675804668207145e-08,-4.675794744324462e-08,-0.0057795746196988755,-6.675781817470094e-08,-1.999996432197069e-08,-0.06743345207760333,-0.06743345207762333,0.0057795936407342725,0.0,0.0
1,1,2.0000240613998938e-08,120000000.000144,337.0000000000012,2.0000247772219142e-08,120000000.000144,337.0000000000012,-0.0166900773638951,229880.39742197844,429.44481451843296,-0.06569923692731586,229520.72248791147,429.43033427201334,-0.016690101120399682,159880.39725174382,449.60676774845365,-0.06569933571041627,159520.7217236352,449.59437942798314,-0.016690079238006278,0.016690079238006278,-0.06569927631890306,0.06569927631890306,-0.016690079238006278,0.016690079238006278,-0.06569927631890306,0.06569927631890306,0.0,0.0,92.44481451843177,92,0.0,0.0,0.0,0.0,0.0,92.43033427201212,92,0.0,0.0,0.0,0.0,0.0,92.44481451843177,92,0.0,0.0,0.0,0.0,0.0,92.43033427201212,92,0.0,0.0,0.0,0.0,0.0,20.161953230020654,19,0.0,0.0,0.0,0.0,0.0,20.164045155969767,19,0.0,0.0,0.0,0.0,0.0,20.161953230020654,19,0.0,0.0,0.0,0.0,0.0,20.164045155969767,19,0.0,0.0,0.0,-2.0001912668632206e-08,92.44481451843177,337.0000000000012,429.44481451843296,1.3219999260012994e-08,3.3221951316824745e-08,-2.0000036786305577e-08,92.43033427201212,337.0000000000012,429.43033427201334,1.3195901106655715e-08,3.319597795710064e-08,-2.188491554896717e-08,20.161953230020654,429.44481451843296,449.60676774845365,0.0,1.8123896796664944e-08,-5.939158813226025e-08,20.164045155969774,429.43033427201334,449.59437942798314,0.0,5.0393208190172343e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023333937910332176,500000.0051166647,500000.0048833253,0.004869072346955863,500000.0074345312,500000.0025654588,0,0,-1.887612685571103e-09,1.884258262658149e-09,20.161953230020654,-0.0003333147506620476,-0.00023332032547470068,-3.939172308236061e-08,3.939164982665771e-08,20.16404515596977,-0.006955790465378571,-0.004869053325776525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8816443131485597e-09,-1.8858940229359292e-09,-0.0002333203254969641,-2.188407483292858e-08,-2.0003786102165004e-08,-0.016690079237165565,-0.016690079239879713,0.00023333937908665545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.939161476649723e-08,-3.9391636583813935e-08,-0.004869053325799343,-5.939156315574718e-08,-2.000003364908356e-08,-0.06569927631887808,-0.06569927631889992,0.004869072346938786,0.0,0.0
2,2,2.000007071875787e-08,120000000.000216,337.0000000000018,2.000009246344565e-08,120000000.000216,337.0000000000018,-0.016732423878345327,229820.1606960164,429.4423894324656,-0.0763499114473123,229245.86280670113,429.4192686248476,-0.016732447754229593,159820.16043982859,449.6046930092184,-0.07634997847912386,159245.86180111032,449.5849124152491,-0.01673242581230939,0.01673242581230939,-0.07634993496292167,0.07634993496292167,-0.01673242581230939,0.01673242581230939,-0.07634993496292167,0.07634993496292167,0.0,0.0,92.44238943246373,92,0.0,0.0,0.0,0.0,0.0,92.41926862484576,92,0.0,0.0,0.0,0.0,0.0,92.44238943246373,92,0.0,0.0,0.0,0.0,0.0,92.41926862484576,92,0.0,0.0,0.0,0.0,0.0,20.162303576752834,19,0.0,0.0,0.0,0.0,0.0,20.165643790401433,19,0.0,0.0,0.0,0.0,0.0,20.162303576752834,19,0.0,0.0,0.0,0.0,0.0,20.165643790401433,19,0.0,0.0,0.0,-2.0001839766694464e-08,92.44238943246373,337.0000000000018,429.4423894324656,1.321669504791448e-08,3.321857423480039e-08,-2.0000054268262403e-08,92.41926862484576,337.0000000000018,429.4192686248476,1.3193783597180184e-08,3.3193877950786314e-08,-2.1944360256380594e-08,20.162303576752834,429.4423894324656,449.6046930092184,0.0,1.809796614880298e-08,-4.351581382993314e-08,20.165643790401447,429.41926862484763,449.5849124152491,0.0,3.517665211745808e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024067802663813032,500000.00512033404,500000.00487965596,0.0029066972952551846,500000.00645334367,500000.00354664633,0,0,-1.946983990196787e-09,1.943731839020662e-09,20.162303576752834,-0.0003437985327906029,-0.00024065897296469106,-2.3515672990515595e-08,2.3515700293476532e-08,20.165643790401443,-0.004152397534387056,-0.002906678274082453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9412054941844434e-09,-1.945309360615189e-09,-0.000240658972986959,-2.1943546904616784e-08,-2.0003640266336966e-08,-0.01673242581149604,-0.01673242581410989,0.00024067802662145588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3515706782790543e-08,-2.3515753889166723e-08,-0.002906678274105251,-4.3515943285778066e-08,-2.0000068591620643e-08,-0.07634993496305112,-0.07634993496293599,0.002906697295238137,0.0,0.0
3,3,1.9999519358991558e-08,120000000.00028801,337.0000000000024,1.9999586856824904e-08,120000000.00028801,337.0000000000024,-0.015123018418610083,229765.71782970938,429.4401976029961,-0.07287762931493254,228983.50334116738,429.4087062271063,-0.0151230423018949,159765.71748754178,449.6028178281522,-0.07287854969866962,158983.49902219512,449.5758758421966,-0.01512302035631564,0.01512302035631564,-0.07287807950653112,0.07287807950653112,-0.01512302035631564,0.01512302035631564,-0.07287807950653112,0.07287807950653112,0.0,0.0,92.44019760299365,92,0.0,0.0,0.0,0.0,0.0,92.40870622710389,92,0.0,0.0,0.0,0.0,0.0,92.44019760299365,92,0.0,0.0,0.0,0.0,0.0,92.40870622710389,92,0.0,0.0,0.0,0.0,0.0,20.162620225156108,19,0.0,0.0,0.0,0.0,0.0,20.167169615086408,19,0.0,0.0,0.0,0.0,0.0,20.162620225156108,19,0.0,0.0,0.0,0.0,0.0,20.167169615086408,19,0.0,0.0,0.0,-2.0001821315725415e-08,92.44019760299365,337.0000000000024,429.4401976029961,1.3213692178463161e-08,3.3215552944294604e-08,-2.000001318293163e-08,92.40870622710389,337.0000000000024,429.4087062271063,1.3193398105597452e-08,3.319345138313658e-08,-2.194800133704228e-08,20.162620225156108,429.4401976029961,449.6028178281522,0.0,1.8096746604216737e-08,-4.701917541521827e-07,20.16716961508671,429.4087062271071,449.57587584219584,0.0,4.6028427623722247e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024112646455241008,500000.0051205583,500000.0048794318,0.055646388981347855,500000.03282318945,499999.9771768004,0,0,-1.9506119552389016e-09,1.9473800660203547e-09,20.162620225156108,-0.0003444391583605887,-0.0002411074108636703,-4.5019149525107794e-07,4.501915105815882e-07,20.167169615086635,-0.07949481422902901,-0.055646369960331836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9448730924689617e-09,-1.9489443284830402e-09,-0.00024110741088591712,-2.1947193976947042e-08,-2.0003603334564082e-08,-0.015123020355508282,-0.01512302035809766,0.0002411264645357668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5019153163221113e-07,-4.5019162191418507e-07,-0.05564636996035465,-4.701918822686281e-07,-1.9999986411523e-08,-0.07287807950665924,-0.07287807950650435,0.05564638898133078,0.0,0.0
4,4,2.000029985325444e-08,120000000.00036,337.000000000003,2.000050880886584e-08,120000000.00036001,337.000000000003,-0.01531885743446836,229710.5699429453,429.43797738992527,0.43080415528453214,230534.39830019168,429.4711441093502,-0.01531888141260125,159710.5695144564,449.60091836402273,-0.5701842550806312,156930.83570390486,449.5051758667484,-0.015318859419694611,0.015318859419694611,-0.06969003989854111,0.06969003989854111,-0.015318859419694611,0.015318859419694611,-0.06969003989854111,0.06969003989854111,0.0,0.0,92.43797738992222,92,0.0,0.0,0.0,0.0,0.0,92.47114410934714,92,0.0,0.0,0.0,0.0,0.0,92.43797738992222,92,0.0,0.0,0.0,0.0,0.0,92.47114410934714,92,0.0,0.0,0.0,0.0,0.0,20.16294097409748,19,0.0,0.0,0.0,0.0,0.0,18.50496353877589,19,0.0,0.0,0.0,0.0,0.0,20.16294097409748,19,0.0,0.0,0.0,0.0,0.0,18.50496353877589,19,0.0,0.0,0.0,-2.0001778618110185e-08,92.43797738992222,337.000000000003,429.43797738992527,1.3210582621703354e-08,3.3212400722426706e-08,-1.999999759217208e-08,92.47114410934714,337.000000000003,429.4711441093502,1.3194034096987843e-08,3.3194071789629967e-08,-2.199527908668163e-08,20.16294097409748,429.43797738992527,449.60091836402273,0.0,1.8078530733069153e-08,-0.500494215222389,18.504963538778064,429.47114410935563,449.50517586674295,0.0,0.500494205255587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024696434669711233,500000.00512347714,500000.0048765128,61864.08548979127,530932.0477448907,469067.9622550994,0,0,-1.9978417294641973e-09,1.9946756169799986e-09,20.16294097409748,-0.0003527789900032254,-0.0002469452930135193,-0.5004941951828592,0.5004941951829016,18.50496353877752,-88377.26498538893,-61864.08548977225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.992222898192963e-09,-1.996203850209373e-09,-0.00024694529303577353,-2.199448826919568e-08,-2.0003517906930177e-08,-0.015318859418903796,-0.015318859421433902,0.00024696434668045763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5004941951829439,-0.5004941952026242,-61864.08548977225,-0.5004942152089561,-1.999995522401419e-08,-0.06969003988510815,-0.06969003989849874,61864.08548979127,0.0,0.0
5,5,1.9999559934502958e-08,120000000.000432,337.0000000000036,2.000020217120654e-08,120000000.000432,337.0000000000036,-0.015081989503565298,229656.27478073246,429.43579150691323,-0.09035739845616368,230209.1116657495,429.4580483103952,-0.015082013478688747,159656.27426593314,449.5990482703239,-0.09035755802883835,156605.54849500104,449.4939719847159,-0.015081991487263306,0.015081991487263306,-0.09035746824284528,0.09035746824284528,-0.015081991487263306,0.015081991487263306,-0.09035746824284528,0.09035746824284528,0.0,0.0,92.43579150690961,92,0.0,0.0,0.0,0.0,0.0,92.45804831039159,92,0.0,0.0,0.0,0.0,0.0,92.43579150690961,92,0.0,0.0,0.0,0.0,0.0,92.45804831039159,92,0.0,0.0,0.0,0.0,0.0,20.163256763410708,19,0.0,0.0,0.0,0.0,0.0,20.03592367432048,19,0.0,0.0,0.0,0.0,0.0,20.163256763410708,19,0.0,0.0,0.0,0.0,0.0,20.03592367432048,19,0.0,0.0,0.0,-2.0001794686687238e-08,92.43579150690961,337.0000000000036,429.43579150691323,1.3206849503678066e-08,3.3208683711907586e-08,-2.0000014560872837e-08,92.45804831039159,337.0000000000036,429.4580483103952,1.3193964652355891e-08,3.319401933881937e-08,-2.199382775748572e-08,20.163256763410708,429.43579150691323,449.5990482703239,0.0,1.807953851300987e-08,-8.978629736674015e-08,20.035923674320497,429.45804831039527,449.49397198471587,0.0,8.03805302937371e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024678747110404433,500000.0051233887,500000.0048766013,0.008626062868973444,500000.00931302644,500000.0006869636,0,0,-1.99641076394117e-09,1.993227916033934e-09,20.163256763410708,-0.00035252631059582356,-0.00024676841742833877,-6.978661105935326e-08,6.978660859512732e-08,20.035923674320493,-0.012322919784041752,-0.008626043848840756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.990758814424872e-09,-1.994762526542413e-09,-0.00024676841745059413,-2.1993026984194278e-08,-2.0003550005293232e-08,-0.015081991486462535,-0.015081991489018625,0.0002467874710873881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.978662007506125e-08,-6.978644731354078e-08,-0.008626043848863587,-8.978619593794163e-08,-1.9999989136364946e-08,-0.09035746824274385,-0.09035746824281986,0.008626062868956362,0.0,0.0
6,6,2.0000195054945925e-08,120000000.000504,337.0000000000042,2.0002148654525963e-08,120000000.00050402,337.0000000000042,-0.014584292026059114,229603.77132943866,429.43367775685556,-0.14270898742924548,229695.3593110042,429.4373650211504,-0.014584315716654004,159603.7707293532,449.5972398886406,-0.1427090337581417,156091.79597347172,449.4762767833975,-0.014584293867166278,0.014584293867166278,-0.14270900059709665,0.14270900059709665,-0.014584293867166278,0.014584293867166278,-0.14270900059709665,0.14270900059709665,0.0,0.0,92.43367775685131,92,0.0,0.0,0.0,0.0,0.0,92.43736502114619,92,0.0,0.0,0.0,0.0,0.0,92.43367775685131,92,0.0,0.0,0.0,0.0,0.0,92.43736502114619,92,0.0,0.0,0.0,0.0,0.0,20.16356213178498,19,0.0,0.0,0.0,0.0,0.0,20.038911762247047,19,0.0,0.0,0.0,0.0,0.0,20.16356213178498,19,0.0,0.0,0.0,0.0,0.0,20.038911762247047,19,0.0,0.0,0.0,-2.0001967657270408e-08,92.43367775685131,337.0000000000042,429.43367775685556,1.3201808619225534e-08,3.3203815849629654e-08,-2.0000693531862423e-08,92.43736502114619,337.0000000000042,429.4373650211504,1.3095396989042851e-08,3.309613009560264e-08,-2.1852156757193373e-08,20.16356213178498,429.43367775685556,449.5972398886406,0.0,1.8141545173623737e-08,-3.316766523650303e-08,20.038911762247047,429.4373650211504,449.4762767833975,0.0,2.547510417314892e-08,0.0,0.0,0.07357298277434086,-38033.553785279066,0.0,0.0,0.07357298277434086,-19804.846528081383,0.00022930357093664744,500000.0051146468,500000.0048853432,57838.401941565484,528919.2059669619,471080.8040253965,0,0,-1.854962086699371e-09,1.8515365893324993e-09,20.16356213178498,-0.0003275493103389234,-0.00022928451724851183,-1.3172224664849052e-08,1.3171297687379326e-08,20.038911762247047,-0.0023259514915543273,-0.0016281660440936104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8488596984350837e-09,-1.853185260956617e-09,-0.00022928451727077033,-2.1851267078867983e-08,-2.0003895895057126e-08,-0.014584293866276602,-0.014584293869094517,0.00022930357091998808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3170507143911876e-08,-1.3169876818376276e-08,-0.0016281660441046343,-3.316545850891192e-08,-2.000134762419679e-08,-0.14270900059488992,-0.14270900059775074,57838.401941565484,-38033.553785279066,-19804.846528081383
7,7,2.000054559675589e-08,120000000.000576,337.0000000000048,2.0006410130516914e-08,120000000.00057603,337.0000000000048,-0.014103526437745985,229552.99863426277,429.43163368575716,-0.15535051418524995,229136.0974599373,429.4148495532945,-0.014103549833869725,159552.99794995124,449.5954911195049,-0.1553505410628239,155532.53402564555,449.45701409885226,-0.014103528131426695,0.014103528131426695,-0.1553505176520675,0.1553505176520675,-0.014103528131426695,0.014103528131426695,-0.1553505176520675,0.1553505176520675,0.0,0.0,92.43163368575236,92,0.0,0.0,0.0,0.0,0.0,92.4148495532897,92,0.0,0.0,0.0,0.0,0.0,92.43163368575236,92,0.0,0.0,0.0,0.0,0.0,92.4148495532897,92,0.0,0.0,0.0,0.0,0.0,20.16385743374776,19,0.0,0.0,0.0,0.0,0.0,20.042164545557736,19,0.0,0.0,0.0,0.0,0.0,20.16385743374776,19,0.0,0.0,0.0,0.0,0.0,20.042164545557736,19,0.0,0.0,0.0,-2.0002280451323092e-08,92.43163368575236,337.0000000000048,429.43163368575716,1.3202812686013846e-08,3.32051327280607e-08,-2.0006442047773587e-08,92.4148495532897,337.0000000000048,429.4148495532945,1.3157989563562212e-08,3.316447227848723e-08,-2.1706048683003754e-08,20.16385743374776,429.43163368575716,449.5954911195049,0.0,1.823379991513313e-08,-2.3467915489412224e-08,20.042164545557736,429.4148495532945,449.45701409885226,0.0,1.8237063987801105e-08,0.07477177315670108,-38653.268472592295,0.27945187048193765,-144462.64583641093,0.07477177315670108,-20127.54459164482,0.27945187048193765,-75224.64368669163,58780.81327558351,529390.4116339406,470609.5983583571,219687.28995658222,609843.649944043,390156.35998746083,0,0,-1.7095226680540365e-09,1.7057108231029022e-09,20.16385743374776,-0.00030186763149370096,-0.000211307342050928,-3.5066283340296626e-09,3.499319531090662e-09,20.042164545557736,-0.0006192009140826427,-0.00043344063986344527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7026843655384303e-09,-1.7073931310536421e-09,-0.00021130734206144266,-2.1704846797364515e-08,-2.000452146572158e-08,-0.01410352813022481,-0.014103528133667711,58780.81327558351,-38653.268472592295,-20127.54459164482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.492464314194336e-09,-3.4870452961712907e-09,-0.0004334406398743075,-2.3448862458930603e-08,-2.0012843570640834e-08,-0.15535051763301447,-0.15535051765846902,219687.28995658222,-144462.64583641093,-75224.64368669163
8,8,2.000076691053312e-08,120000000.000648,337.0000000000054,-0.3607756230197433,119998701.20833316,336.9999891767359,-0.014800254823584201,229499.71771689787,429.4294886354914,-0.36216879826115256,227832.28978619716,429.36235922213774,-0.01480027793699115,159499.71694937808,449.5936559595941,0.39295064686645775,156947.15635436488,449.50573799965093,-0.014800256376937444,0.014800256376937444,-0.16499688741661278,0.16499688741661278,-0.014800256376937444,0.014800256376937444,-0.16499688741661278,0.16499688741661278,0.0,0.0,92.42948863548598,92,0.0,0.0,0.0,-0.3607756330562303,0.3607756330744739,95.98209302920888,92,339700.68369274394,368438.9194064468,1.0,0.0,0.0,92.42948863548598,92,0.0,0.0,0.0,0.0,0.0,95.98209302920864,92,0.0,0.0,0.0,0.0,0.0,20.16416732410271,19,0.0,0.0,0.0,-0.27897376178856537,0.2789737617383487,22.043649440210945,19,60327.57410448024,70066.86887860655,1.0,0.0,0.0,20.16416732410271,19,0.0,0.0,0.0,-0.27897376178856537,0.2789737617383487,22.043649440210945,19,60327.57410448024,70066.86887860655,1.0,-2.0003556663266075e-08,92.42948863548598,337.0000000000054,429.4294886354914,1.3189867895519212e-08,3.319346430151612e-08,0.36077562298367427,95.98209302920864,336.99998917673565,429.36235922213797,0.36077561298849126,0.0,-2.1569526019542312e-08,20.16416732410271,429.4294886354914,449.5936559595941,0.0,1.83185550971167e-08,0.5579475338362492,22.04364944021308,429.362359222142,449.50573799964667,0.5579475238071594,0.0,0.2358591708815945,-121927.39955709846,0.4971078908988494,-256979.92669747715,0.2358591708815945,-63490.08170208554,0.4971078908988494,-133814.68482831854,185417.48145414368,592708.7457011959,407291.26424705226,-117778.04563786127,441110.98218104197,558889.0278189032,0,0,-1.5769502437254712e-09,1.571796656450582e-09,20.16416732410271,-0.0002784580522441485,-0.00019492063657627434,0.0,0.0,22.04364944021308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.567461293848924e-09,-1.5728291757860482e-09,-0.0001949206365868278,-2.156636858099048e-08,-2.000707373805098e-08,-0.014800256373780008,-0.014800256380454522,185417.48145414368,-121927.39955709846,-63490.08170208554,-0.3607756330379867,0.36077563302907406,368438.9194064468,0.0,0.0,0.0,-0.27897376183878203,0.27897376185819933,70066.86887860655,-0.27897376183878203,0.27897376185819933,70066.86887860655,0.0,0.0,0.0,0.5579475339851896,0.3607756229334576,-0.1649968872676723,-0.16499688746682944,-117778.04563786127,-256979.92669747715,-133814.68482831854
9,9,2.0001002764835754e-08,120000000.00072001,337.000000000006,-0.5232341167852037,119996817.56551273,336.99997347971004,-0.017085461587239878,229438.2100551838,429.427012382592,-0.19175682208226033,227141.96522670082,429.3345672667543,-0.01708548388663833,159438.2092073862,449.5915374456568,0.40090415603855445,158390.41131610403,449.55544809549906,-0.017085462739009863,0.017085462739009863,-0.15704339210013943,0.15704339210013943,-0.017085462739009863,0.017085462739009863,-0.15704339210013943,0.15704339210013943,0.0,0.0,92.42701238258599,92,0.0,0.0,0.0,-0.5232341269290512,0.523234127000975,99.94824677864469,92,513027.0330918544,556428.4523772825,1.0,0.0,0.0,92.42701238258599,92,0.0,0.0,0.0,0.0,0.0,99.94824677864213,92,0.0,0.0,0.0,0.0,0.0,20.164525063064797,19,0.0,0.0,0.0,-0.2789737668540183,0.278973766364947,22.12115156679877,19,60539.67770507858,70313.2145239008,1.0,0.0,0.0,20.164525063064797,19,0.0,0.0,0.0,-0.2789737668540183,0.278973766364947,22.12115156679877,19,60539.67770507858,70313.2145239008,1.0,-2.0011986671239997e-08,92.42701238258599,337.000000000006,429.427012382592,1.3160876361827542e-08,3.31729031397422e-08,0.5232341161712727,99.94824677864213,336.9999734797075,429.33456726675684,0.5232341062454928,0.0,-2.1194043141736956e-08,20.164525063064797,429.427012382592,449.5915374456568,0.0,1.8568664934403593e-08,0.5579475451043663,22.121151566814916,429.33456726678656,449.5554480954668,0.5579475348844147,0.0,0.3846877203897489,-198864.31898777178,0.6902159686444646,-356807.1484779395,0.3846877203897489,-103552.70355509772,0.6902159686444646,-185796.75359899682,302417.02269447275,651208.5162791298,348791.49358465703,-154450.97934814493,422774.5153338527,577225.4946819976,0,0,-1.2261853039991703e-09,1.2124420179029668e-09,20.164525063064797,-0.00021652035121646237,-0.00015156424585699972,0.0,0.0,22.121151566814916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1995969796668167e-09,-1.2096652925672085e-09,-0.00015156424586759527,-2.1178571582410186e-08,-2.002393339064084e-08,-0.017085462723538305,-0.017085462750956584,302417.02269447275,-198864.31898777178,-103552.70355509772,-0.5232341268571273,0.5232341265861238,556428.4523772825,0.0,0.0,0.0,-0.2789737673430897,0.2789737671564378,70313.2145239008,-0.2789737673430897,0.2789737671564378,70313.2145239008,0.0,0.0,0.0,0.5579475461158088,0.5232341156822012,-0.1570433910886969,-0.15704339258921082,-154450.97934814493,-356807.1484779395,-185796.75359899682
