Time_hour,Power,SOC,SOH
1,-9.997332803602855e-09,2.083335674080406e-05,0.9999988584474886
2,-9.99199523053097e-09,2.083338014852839e-05,0.9999977168949772
3,4.80000004798002,0.00020083402217073145,0.9999965753424658
4,-9.991995230531161e-09,0.00020083425105965917,0.9999954337899544
5,2.0000000100012096,0.0002758349087834941,0.999994292237443
6,4.000000030001085,0.00042583625219502937,0.9999931506849316
7,6.000000050003631,0.0006508385381480808,0.9999920091324201
8,12.800000127979523,0.0011308436695221865,0.9999908675799086
9,9.000000080003444,0.0014683484309544188,0.9999897260273972
10,10.000000090000713,0.001843354391416244,0.9999885844748858
11,9.500000085000742,0.0021996109724311493,0.9999874429223744
12,9.000000080003444,0.0025371181097881513,0.999986301369863
13,12.800000127979523,0.0030171281342773696,0.9999851598173516
14,6.000000050003631,0.003242135176365661,0.9999840182648402
15,4.000000030001085,0.0033921414471587813,0.9999828767123288
16,2.0000000100012096,0.003467146689800185,0.9999817351598174
17,1.0000000000039404,0.0035046513755610034,0.999980593607306
18,4.80000004798002,0.0036846590768922173,0.9999794520547945
19,-9.991995230531223e-09,0.003684663282840565,0.9999783105022831
20,-4.8000000479845575,0.0034646624640281526,0.9999771689497717
21,-4.8000000479845575,0.0032446611429187244,0.9999760273972603
22,-9.991995230531226e-09,0.0032446648465881156,0.9999748858447488
23,4.80000004798002,0.0034246732785914564,0.9999737442922374
24,-9.991995230531228e-09,0.003424677187768239,0.999972602739726
25,-9.997332803602903e-09,0.003424681096953747,0.9999714611872146
26,-4.8000000479845575,0.0032046784744495594,0.9999703196347032
27,-9.991995230531231e-09,0.0032046821324963684,0.9999691780821918
28,4.80000004798002,0.003384691546334112,0.9999680365296804
29,9.964117527898724e-09,0.0033846954107218667,0.999966894977169
30,-9.99599761526561e-09,0.003384699274286877,0.9999657534246575
31,-9.995997615265562e-09,0.0033847031378607087,0.9999646118721461
32,1.4348103696100099,0.0034385143562440596,0.9999634703196347
33,8.00000008999451,0.0037385295868071692,0.9999623287671233
34,4.624084965713274,0.003911943771436787,0.9999611872146119
35,5.200000052011401,0.004106956030662152,0.9999600456621005
36,4.7000000470114385,0.004283217964372163,0.999958904109589
37,5.422774178616269,0.004486585475312133,0.9999577625570776
38,8.000000089994534,0.0047866036148453495,0.9999566210045662
39,3.946712457704152,0.00493461738582282,0.9999554794520548
40,-9.995952400714837e-09,0.004934623018830057,0.9999543378995434
41,-9.995932770258302e-09,0.004934628651850156,0.999953196347032
42,1.0000000198121388,0.004972136084032384,0.9999520547945205
43,9.99241047516436e-09,0.004972141760723454,0.9999509132420091
44,9.969220601415649e-09,0.004972147437426422,0.9999497716894977
45,-4.800000047983657,0.004752141809535598,0.9999486301369863
46,-4.800000047983526,0.004532135679322448,0.9999474885844749
47,9.971161104651278e-09,0.004532140853727949,0.9999463470319635
48,9.992614699333278e-09,0.004532146028146247,0.9999452054794521
49,9.972324322978648e-09,0.004532151202575429,0.9999440639269407
50,-4.800000047982982,0.004312143816565596,0.9999429223744293
51,-4.80000004798284,0.004092135928226556,0.9999417808219178
52,9.97390324397376e-09,0.00409214060034908,0.9999406392694064
53,2.0000000299952982,0.004167149811095787,0.9999394977168949
54,4.00000004994882,0.004317163817427946,0.9999383561643835
55,1.2000000120127183,0.0043621715719769595,0.9999372146118721
56,3.200000032012663,0.004482184224867084,0.9999360730593607
57,9.000000099956358,0.00481971130764278,0.9999349315068493
58,14.800000147982178,0.005374753564518831,0.9999337899543379
59,9.50000010496034,0.0057310337000548,0.9999326484018265
60,4.200000042012881,0.005888551032764601,0.9999315068493151
61,3.2000000320130164,0.00600856611326982,0.9999303652968037
62,6.000000069965351,0.00623358890125764,0.9999292237442923
63,4.000000049995411,0.006383606808060584,0.9999280821917809
64,2.000000029968189,0.006458619576791704,0.9999269406392695
65,-9.995396990916981e-09,0.00645862694981736,0.9999257990867579
66,-4.8000000479803875,0.0062386177444440525,0.9999246575342465
67,9.979695258217252e-09,0.006238624867155983,0.9999235159817351
68,9.993332368267126e-09,0.006238631989884801,0.9999223744292237
69,9.980278856395958e-09,0.006238639112629284,0.9999212328767123
70,-4.80000004797961,0.006018628651419749,0.9999200913242009
71,-4.800000047979406,0.005798617687862517,0.9999189497716895
72,9.98109395185839e-09,0.005798624308290712,0.9999178082191781
73,9.993490508736478e-09,0.005798630928734593,0.9999166666666667
74,9.981600920636113e-09,0.005798637549193044,0.9999155251141553
75,-4.800000047978547,0.005578625329780663,0.9999143835616439
76,-4.800000047978322,0.005358612608013706,0.9999132420091325
77,9.982312365846692e-09,0.00535861872614669,0.999912100456621
78,2.000000029995848,0.005433631523637893,0.9999109589041096
79,4.000000049979527,0.005583651257464748,0.9999098173515981
80,1.2000000120146757,0.0056286617424929925,0.9999086757990867
81,3.2000000320146422,0.005748679266617282,0.9999075342465753
82,9.00000009998058,0.006086217428823823,0.9999063926940639
83,10.000000109995446,0.006461259915532928,0.9999052511415525
84,9.50000010498136,0.00681755146027986,0.9999041095890411
85,4.2000000420149535,0.006975074529221083,0.9999029680365297
86,3.200000032015112,0.007095094275595985,0.9999018264840183
87,6.000000069982675,0.007320124726557676,0.9999006849315069
88,4.000000049995909,0.00747014815558604,0.9998995433789954
89,2.000000029983581,0.007545164305780656,0.999898401826484
90,-9.994664912559262e-09,0.0075451729194920885,0.9998972602739726
91,-4.800000047974255,0.007325158675143365,0.9998961187214612
92,9.985178007940385e-09,0.007325167038532647,0.9998949771689498
93,9.994054556244595e-09,0.007325175401941434,0.9998938356164384
94,9.985491420101052e-09,0.007325183765368925,0.9998926940639269
95,-4.800000047972898,0.0071051682651236394,0.9998915525114155
96,-4.800000047972537,0.006885152262504823,0.9998904109589041
97,9.985937450631008e-09,0.006885160123595832,0.9998892694063927
98,9.994180618614014e-09,0.006885167984705167,0.9998881278538813
99,9.986219874625025e-09,0.00688517584583209,0.9998869863013699
100,-4.800000047970989,0.006665158587297794,0.9998858447488584
101,-9.994263475695878e-09,0.006665166196428842,0.999884703196347
102,4.000000049986743,0.006815191275614158,0.9998835616438356
103,6.000000069996032,0.0070402255176433524,0.9998824200913242
104,8.000000089986887,0.007340269179426928,0.9998812785388128
105,4.200000042017135,0.007497796441997718,0.9998801369863014
106,5.200000052017199,0.007692828602858744,0.99987899543379
107,9.500000104987336,0.00804913090950743,0.9998778538812786
108,9.000000099995919,0.008386681717615935,0.9998767123287671
109,8.00000008998777,0.008686728629432379,0.9998755707762557
110,1.2000000120179664,0.008731744198879935,0.9998744292237443
111,-9.99384226018185e-09,0.008731754167512833,0.9998732876712328
112,2.0000000299886143,0.008806773727935277,0.9998721461187214
113,1.0000000199964896,0.008844288621329759,0.99987100456621
114,9.988023797350864e-09,0.008844298719321554,0.9998698630136986
115,-4.800000047963211,0.008624279929609428,0.9998687214611872
116,-4.800000047962541,0.008404260637504806,0.9998675799086758
117,9.988329352569729e-09,0.00840427023314905,0.9998664383561644
118,9.994635589093729e-09,0.008404279828815496,0.999865296803653
119,9.988524538925151e-09,0.008404289424503572,0.9998641552511416
120,-4.800000047959601,0.00818426887644202,0.9998630136986302
121,-4.800000047967522,0.007964247825980689,0.9998618721461188
122,9.988805376526805e-09,0.007964256919312039,0.9998607305936074
123,9.994738429039473e-09,0.007964266012664426,0.9998595890410958
124,9.98898508762533e-09,0.007964275106037312,0.9998584474885844
125,-4.800000047955204,0.007744252799600554,0.999857305936073
126,-9.993080099325204e-09,0.00774426164096875,0.9998561643835616
127,4.000000049990378,0.007894292234335396,0.9998550228310502
128,6.00000006999638,0.008119334131543683,0.9998538812785388
129,8.000000089990335,0.008419387589519016,0.9998527397260274
130,4.20000004202091,0.008576920580451433,0.999851598173516
131,5.200000052021032,0.008771959540192525,0.9998504566210046
132,9.500000104990532,0.009128273248888904,0.9998493150684932
133,9.000000099996255,0.009465834923844264,0.9998481735159818
134,8.000000089990811,0.00976589163205205,0.9998470319634704
135,1.2000000120220529,0.0098109097184998,0.999845890410959
136,-9.992457748832663e-09,0.009810920919532683,0.9998447488584475
137,2.000000029991445,0.00988594385337752,0.999843607305936
138,1.000000019996811,0.009923461049694687,0.9998424657534246
139,9.990168768411573e-09,0.009923472380102315,0.9998413242009132
140,-4.800000047933495,0.00970344854244316,0.9998401826484018
141,-4.800000047931275,0.009483424202365707,0.9998390410958904
142,9.990375618810489e-09,0.009483435030405543,0.999837899543379
143,9.995113166681402e-09,0.009483445858470324,0.9998367579908676
144,9.990508750235065e-09,0.00948345668655962,0.9998356164383562
145,-4.8000000479206815,0.009263431090465141,0.9998344748858448
146,-4.800000047917503,0.009043404991945527,0.9998333333333334
147,9.990701681860848e-09,0.009043415317657854,0.9998321917808219
148,9.995198656553847e-09,0.009043425643393966,0.9998310502283105
149,2.0000000299923526,0.00911844872883988,0.9998299086757991
150,-9.991371301990404e-09,0.009118459139435889,0.9998287671232877
151,1.200000012025783,0.009163477309068082,0.9998276255707762
152,8.000000089992177,0.009463539838677731,0.9998264840182648
153,9.000000099996479,0.00980110960465823,0.9998253424657534
154,10.000000109992179,0.010176186735481284,0.999824200913242
155,4.700000047026699,0.010352479547259125,0.9998230593607306
156,4.200000042027031,0.010510019421780311,0.9998219178082192
157,8.000000089992485,0.010810085201806725,0.9998207762557078
158,6.000000069996719,0.011035138136450866,0.9998196347031963
159,4.000000049992848,0.011185177968772487,0.9998184931506849
160,-9.990381656275845e-09,0.011185190739198348,0.9998173515981735
161,-9.990270061315551e-09,0.011185203509653373,0.9998162100456621
162,9.991559541194468e-09,0.011185216280970297,0.9998150684931507
163,9.995438074439916e-09,0.011185229052316562,0.9998139269406393
164,9.991662107965469e-09,0.011185241823691815,0.9998127853881279
165,-4.800000047654131,0.010965213146290833,0.9998116438356165
166,-4.8000000475842795,0.010745183966449265,0.999810502283105
167,9.991811367900162e-09,0.010745196235437916,0.9998093607305936
168,9.995512661146356e-09,0.010745208504454753,0.9998082191780822
169,1.000000019993559,0.01078272800977632,0.9998070776255708
170,-3.636285728928548,0.010616044875733787,0.9998059360730593
171,-2.6916701337708315,0.010492664695554753,0.9998047945205479
172,9.991980285265228e-09,0.010492676676292837,0.9998036529680365
173,9.995550998816008e-09,0.010492688657058442,0.9998025114155251
174,9.991990156744485e-09,0.010492700637851243,0.9998013698630137
175,-3.0431696947106315,0.010353206137760479,0.9998002283105023
176,-3.9665636140308993,0.010171380593019521,0.9997990867579909
177,9.991997178942033e-09,0.010171392206989207,0.9997979452054795
178,9.995554730912189e-09,0.010171403820985575,0.9997968036529681
179,9.991997476570098e-09,0.010171415435008303,0.9997956621004567
180,-9.989007339413255e-09,0.010171427048224829,0.9997945205479452
181,-9.989006879921443e-09,0.010171438661467871,0.9997933789954337
182,6.000000069993341,0.010396497034026946,0.9997922374429223
183,8.00000008999672,0.01069657159235754,0.9997910958904109
184,9.000000099993153,0.011034154714675889,0.9997899543378995
185,5.200000052032364,0.011229208505560927,0.9997888127853881
186,4.700000047032396,0.01140550875967141,0.9997876712328767
187,9.000000099993153,0.011743093847804989,0.9997865296803653
188,8.00000008999672,0.012043171656798518,0.9997853881278539
189,6.000000069993342,0.01226823396529994,0.9997842465753425
190,-9.989002742769147e-09,0.012268247972796801,0.9997831050228311
191,-9.989002282893695e-09,0.01226826198032565,0.9997819634703197
192,1.0000000199936516,0.012305784209991023,0.9997808219178083
193,9.995555419554827e-09,0.012305798261243788,0.9997796803652969
194,9.991999708075133e-09,0.01230581231252848,0.9997785388127853
195,-3.900415795511471,0.01212701750275065,0.9997773972602739
196,-2.96067177247404,0.011991303524911625,0.9997762557077625
197,9.991999931879906e-09,0.011991317217151435,0.9997751141552511
198,9.99555553854362e-09,0.011991330909422677,0.9997739726027397
199,9.991999957882368e-09,0.011991344601725025,0.9997728310502283
200,-9.989000090078087e-09,0.011991358293225896,0.9997716894977169
201,-1.7893587986275674,0.011909340884657714,0.9997705479452055
202,9.99199998713595e-09,0.011909354483389457,0.9997694063926941
203,9.995555552588656e-09,0.011909368082152417,0.9997682648401827
