,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,t1r0_expanded.Q,t1c1_Q_expanded.Q,t1eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
10,10,-0.13018910975646267,199261.243735052,29.83210207289175,0.08393784883423301,8980.546074917906,139.14486741919288,0.04625126092222222,-0.04625126092222223,0.04625126092222222,-0.1301891097564627,0.13018910975645523,109.31310432875095,2750.2645623827307,139609.78497487892,174512.23121859867,1.0,0.0,0.0,109.30855532792566,-5.1325570870237445e-11,-2.5662785435118722e-11,0.13018910975645523,109.30855532792566,29.832102072891747,139.14010554360135,109.31276534630113,1.0,0.8271725442451721,-174512.2312185986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13047295510164586,0.13047295510164586,174512.23121859902,0.0,0.0,0.0,0.13047295510164586,-0.04625126092222222,0.0,-174512.23121859902,0.0
11,11,-0.14261499550663098,198747.82975122813,29.831246382918717,0.08999011383441767,9304.51048472181,139.29438945448697,0.05262488167222223,-0.052624881672222075,0.05262488167222223,-0.14261499550663098,0.14261499550663972,109.4635498521475,2752.1565673229557,153145.31905221855,191431.6488152732,1.0,0.0,0.0,109.45856982926733,0.0,0.0,0.14261499550663978,109.45856982926733,29.831246382918714,139.29031066549624,109.4631430715683,1.0,0.9073690875066988,-191431.64881527325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14302611244283317,0.14302611244283317,191431.648815273,0.0,0.0,0.0,0.14302611244283372,-0.05262488167222223,0.0,-191431.648815273,0.0
12,12,-0.14246243627116448,198234.96498065192,29.83039160830109,0.08600763709338705,9614.137978258004,139.43729445150367,0.05645479917777778,-0.056454799177777716,0.05645479917777778,-0.1424624362711645,0.14246243627116453,109.60730875395565,2753.9632072466875,153182.40602841965,191478.00753552458,1.0,0.0,0.0,109.6029699232156,-5.132557087023743e-11,-8.232967644641319e-11,0.14246243627116453,109.6029699232156,29.830391608301085,139.43385414093876,109.60690284320263,1.0,0.9075888237412905,-191478.00753552452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14284670569363575,0.14284670569363575,191478.00753552452,0.0,0.0,0.0,0.14284670569363575,-0.05645479917777778,0.0,-191478.00753552452,0.0
13,13,-0.13124435398320242,197762.4853063124,29.829604142177185,0.0781055248054247,9895.317867557533,139.56706978502652,0.05313882917777778,-0.05313882917777777,0.05313882917777778,-0.13124435398320244,0.13124435398320244,109.73781014321065,2755.6021736588764,141288.21092650227,176610.26365812783,1.0,0.0,0.0,109.73439510978895,0.0,0.0,0.13124435398320244,109.73439510978895,29.829604142177185,139.56451714122562,109.73746564284937,1.0,0.8371170424435377,-176610.26575929992,0.0021011720897491258,0.0021011720897491266,0.0,0.0,0.0,0.0,0.0,0.0,-0.13177859786915055,0.13177859786915055,176610.26575930062,0.0,0.0,0.0,0.13177859786915055,-0.05313882917777778,0.0,-176610.26575930062,0.0
14,14,-0.11005644513301205,197366.28210383354,29.82894380350639,0.05854927022191077,10106.09524035641,139.66435164939526,0.051507174911111106,-0.05150717491111129,0.051507174911111106,-0.11005644513301203,0.110056445133005,109.83565009322189,2756.8303092834713,118584.4688837475,148230.58610468442,1.0,0.0,0.0,109.83364958636331,0.0,0.0,0.11005644513302187,109.83364958636331,29.82894380350639,139.66316016044078,109.83540784588888,1.0,0.7025998704330214,-148230.58610468442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11087565869811553,0.11087565869811553,148230.5861046844,0.0,0.0,0.0,0.11087565869811553,-0.051507174911111106,0.0,-148230.5861046844,0.0
15,15,-0.08120236992265632,197073.953572112,29.82845658928685,0.028947123678223455,10210.304885598012,139.71244840873752,0.05225524624444444,-0.05225524624444457,0.05225524624444444,-0.08120236992265632,0.0812023699226683,109.88412369594708,2757.4386396945556,87533.17078838912,109416.46348548643,1.0,0.0,0.0,109.88460261056308,0.0,0.0,0.0812023699226683,109.88460261056308,29.828456589286848,139.71244840873783,109.88399181945069,1.0,0.5186243614651183,-109416.46348548644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08191946975615841,0.08191946975615841,109416.4634854865,0.0,0.0,0.0,0.08191946975615841,-0.05225524624444444,0.0,-109416.4634854865,0.0
16,16,0.0,197073.953572112,29.82845658928685,-0.0553390817388891,10011.084191338012,139.62050039600211,0.055339081738888886,-0.055339081738889156,0.055339081738888886,0.0,0.0,109.7920438067153,2756.2830648967156,0.0,0.0,0.0,0.0,0.0,109.79251481880156,0.0,0.0,0.0,109.79251481880156,29.828456589286848,139.62050039600203,109.7920438067153,1.0,0.32243077805000214,-68024.63994063236,68024.63994063238,68024.63994063238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055339081738888886,68024.6399406326,-68024.6399406326,0.0
17,17,0.0,197073.953572112,29.82845658928685,-0.06053968577222223,9793.141322558013,139.51991137964217,0.060539685772222226,-0.060539685772222275,0.060539685772222226,0.0,0.0,109.6914547903553,2755.0201531010316,0.0,0.0,0.0,-3.081294103874331e-18,0.0,109.69192580244173,0.0,0.0,0.0,109.69192580244173,29.828456589286848,139.51991137964174,109.69145479035532,0.0,0.11917990763987955,-25143.909506379005,25143.909506379005,25143.909506378997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.060539685772222226,25143.909506378975,-25143.909506378975,0.0
18,18,0.0,197073.953572112,29.82845658928685,-0.006790106403888889,9768.696939504012,139.50862935669414,0.006790106403888889,-0.006790106403888869,0.006790106403888889,0.0,0.0,109.68017276740733,2754.878469321245,0.0,0.0,0.0,0.0,0.0,109.68064377949344,0.0,0.0,0.0,109.68064377949344,29.828456589286848,139.50862935669423,109.68017276740733,1.0,0.006622110122458065,-1397.0957098195167,1397.0957098195167,1397.0957098195167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006790106403888889,1397.0957098195206,-1397.0957098195206,0.0
19,19,0.0,197073.953572112,29.82845658928685,-0.022238088677777778,9688.639820264014,139.47167991704492,0.022238088677777778,-0.02223808867777784,0.022238088677777778,0.0,0.0,109.64322332775808,2754.4143936931514,0.0,0.0,0.0,0.0,0.0,109.64369433984437,0.0,0.0,0.0,109.64369433984437,29.828456589286848,139.47167991704492,109.64322332775808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022238088677777778,0.0,0.0,0.0
20,20,0.0,197073.953572112,29.82845658928685,-0.024667756384444444,9599.835897280012,139.43069349105232,0.024667756384444444,-0.024667756384444416,0.024667756384444444,0.0,0.0,109.6022369017655,2753.899523049015,0.0,0.0,0.0,-1.2221840670678984e-18,0.0,109.60291515877122,0.0,0.0,0.0,109.60291515877122,29.828456589286848,139.43069349105232,109.6022369017655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024667756384444444,0.0,0.0,0.0
21,21,0.0,197073.953572112,29.82845658928685,-0.01427362919111111,9548.450832192013,139.40697730716556,0.014273629191111109,-0.01427362919111114,0.014273629191111109,0.0,0.0,109.5785207178787,2753.6015568630946,0.0,0.0,0.0,-5.0017295535366435e-19,0.0,109.57919897488422,0.0,0.0,0.0,109.57919897488422,29.828456589286848,139.4069773071662,109.57852071787872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014273629191111109,0.0,0.0,0.0
22,22,0.0,197073.953572112,29.82845658928685,0.0,9548.450832192013,139.40697730716556,0.0,0.0,0.0,0.0,0.0,109.57852071787877,2753.6015568630946,0.0,0.0,0.0,0.0,0.0,109.57919634998437,0.0,0.0,0.0,109.57919634998437,29.828456589286848,139.4069773071662,109.57852071787876,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,0.0,197073.953572112,29.82845658928685,-0.013458564497777874,9500.000000000015,139.38461538461542,0.013458564497777777,-0.013458564497777816,0.013458564497777777,0.0,0.0,109.55615879532853,2753.320575854484,0.0,0.0,0.0,-8.142104205481962e-19,0.0,109.5568313405897,0.0,0.0,0.0,109.5568313405897,29.828456589286848,139.38461538461567,109.55615879532853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013458564497777777,0.0,0.0,0.0
24,24,0.0,197073.953572112,29.82845658928685,-0.0038888888888844496,9486.00000000003,139.37815384615385,0.0038888888888888888,-0.0038888888888888775,0.0038888888888888888,0.0,0.0,109.549697256867,2753.2393802756797,0.0,0.0,0.0,-5.933172146398918e-19,0.0,109.55037410455716,0.0,0.0,0.0,109.55037410455716,29.82845658928686,139.37815384615354,109.54969725686702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038888888888888888,0.0,0.0,0.0
25,25,0.0,197073.953572112,29.82845658928685,-0.006300561886111111,9463.317977210027,139.36768522025076,0.006300561886111111,-0.006300561886111112,0.006300561886111111,0.0,0.0,109.53922863096392,2753.107826630371,0.0,0.0,0.0,-3.2526065174565133e-19,0.0,109.53990688796999,0.0,0.0,0.0,109.53990688796999,29.828456589286848,139.3676852202503,109.53922863096389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006300561886111111,0.0,0.0,0.0
26,26,0.0,197073.953572112,29.82845658928685,-0.004898605666111111,9445.682996812031,139.3595459985286,0.004898605666111111,-0.004898605666111101,0.004898605666111111,0.0,0.0,109.53108940924174,2753.0055410204113,0.0,0.0,0.0,-2.168404344971009e-19,0.0,109.53176766624765,0.0,0.0,0.0,109.53176766624765,29.828456589286848,139.35954599852866,109.53108940924174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004898605666111111,0.0,0.0,0.0
27,27,0.0,197073.953572112,29.828456589286848,-0.005808921101666666,9424.770880846028,139.34989425269816,0.005808921101666666,-0.005808921101666657,0.005808921101666666,0.0,0.0,109.52143766341129,2752.884242594472,0.0,0.0,0.0,0.0,0.0,109.52211592041724,0.0,0.0,0.0,109.52211592041724,29.828456589286844,139.3498942526987,109.5214376634113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005808921101666666,0.0,0.0,0.0
28,28,0.0,197073.953572112,29.82845658928685,-0.006556711727222222,9401.166718628027,139.33900002398218,0.006556711727222222,-0.006556711727222225,0.006556711727222222,0.0,0.0,109.51054343469531,2752.747322830713,0.0,0.0,0.0,-4.242594886123759e-19,0.0,109.51101444678159,0.0,0.0,0.0,109.51101444678159,29.828456589286855,139.3390000239824,109.51054343469531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006556711727222222,0.0,0.0,0.0
29,29,0.0,197073.953572112,29.82845658928685,-0.007012048015,9375.923345774027,139.32734923651108,0.007012048015,-0.007012048014999997,0.007012048015,0.0,0.0,109.49889264722421,2752.600887024523,0.0,0.0,0.0,-4.242594886123759e-19,0.0,109.49936365931082,0.0,0.0,0.0,109.49936365931082,29.82845658928686,139.32734923651114,109.49889264722421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007012048015,0.0,0.0,0.0
30,30,0.0,197073.953572112,29.82845658928685,-0.006066417089444445,9354.084244252028,139.31726965119324,0.006066417089444444,-0.006066417089444458,0.006066417089444444,0.0,0.0,109.4888130619064,2752.4741929729134,0.0,0.0,0.0,0.0,0.0,109.4892840739923,0.0,0.0,0.0,109.4892840739923,29.82845658928685,139.31726965119339,109.48881306190638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006066417089444444,0.0,0.0,0.0
31,31,0.0,197073.953572112,29.82845658928685,-0.005193655942222222,9335.387082860027,139.30864019208926,0.005193655942222221,-0.005193655942222227,0.005193655942222221,0.0,0.0,109.4801836028024,2752.3657214570035,0.0,0.0,0.0,-2.1425698400797527e-18,0.0,109.48065461488882,0.0,0.0,0.0,109.48065461488882,29.82845658928685,139.30864019208917,109.48018360280238,0.0,0.07477177315670108,-15774.929978671116,15774.929978671116,15774.929978671118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005193655942222221,15774.929978671122,-15774.929978671122,0.0
32,32,0.0,197073.953572112,29.82845658928685,-0.002183373211444444,9327.526939298827,139.30501243352253,0.002183373211444444,-0.0021833732114444385,0.002183373211444444,0.0,0.0,109.47655584423568,2752.3201195775455,0.0,0.0,0.0,-1.7534336810472972e-19,0.0,109.47702685632221,0.0,0.0,0.0,109.47702685632221,29.82845658928685,139.3050124335225,109.47655584423568,0.0,0.2358591708815945,-49760.24706124187,49760.24706124188,49760.24706124188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002183373211444444,49760.247061241935,-49760.247061241935,0.0
33,33,0.0,197073.953572112,29.82845658928685,-0.018940665461666666,9259.340543636827,139.27354178937085,0.018940665461666666,-0.0189406654616666,0.018940665461666666,0.0,0.0,109.44508520008401,2751.9244937064423,0.0,0.0,0.0,-8.673617379884035e-19,0.0,109.4455562121699,0.0,0.0,0.0,109.4455562121699,29.828456589286844,139.27354178937117,109.445085200084,0.0,0.3846877203897489,-81159.26099659504,81159.26099659505,81159.26099659505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018940665461666666,81159.26099659501,-81159.26099659501,0.0
34,34,0.0,197073.953572112,29.82845658928685,-0.01654799571833333,9199.767759050828,139.24604665802343,0.01654799571833333,-0.0165479957183333,0.01654799571833333,0.0,0.0,109.4175900687366,2751.578798509046,0.0,0.0,0.0,0.0,0.0,109.41806108082291,0.0,0.0,0.0,109.41806108082291,29.828456589286848,139.24604665802383,109.41759006873659,0.0,0.5137134929205837,-108380.39594082437,108380.39594082435,108380.39594082437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01654799571833333,108380.39594082416,-108380.39594082416,0.0
35,35,0.0,197073.953572112,29.828456589286855,-0.025676938462777778,9107.330780584827,139.203383437193,0.025676938462777774,-0.025676938462777726,0.025676938462777774,0.0,0.0,109.3749268479061,2751.0423095334586,0.0,0.0,0.0,-7.730333696553066e-20,0.0,109.3753978599922,0.0,0.0,0.0,109.3753978599922,29.828456589286855,139.20338343719305,109.3749268479061,0.0,0.6112149495870927,-128950.70726016712,128950.70726016714,128950.70726016714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025676938462777774,128950.70726016807,-128950.70726016807,0.0
