,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,EBpv.P_bal,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P
0,0,0.0,200000.0,29.833333333333332,-0.0125,9955.0,135.78,-0.0125,0.0125,0.0,0.0,105.94666666666667,2707.5845705298343,2.4079565383613518e-20,4.847452651726442e-20,0.0,0.0,0.0,105.94666666666667,2707.5845705298343,0.0,0.0,0.0,0.0,105.94666666666667,29.833333333333332,135.78,105.94666666666667,1.0,0.0,1.7050007424969581e-15,3.7689233971016436e-06,3.7689233936915737e-06,0.0,0.0,0.0,0.0,6.143621230871799e-20,0.0,0.0,0.0,0.0,-0.0125,-6.808067821297343e-20,0.0
1,1,-0.07688001416553134,199723.23194900408,29.83287205324834,0.06060388431136466,10173.173983520914,136.15401254317868,-0.016276129854166668,0.016276129854166668,-0.07688001416553134,0.07688001416553134,106.32125870066191,2712.3669271349077,80186.74257378934,100233.42821723667,1.0,0.0,0.0,106.32125870066191,2712.3669045173087,0.0,0.0,0.0,0.07688001416553134,106.32125870066191,29.83287205324834,136.15401254317868,106.32114048993036,1.0,0.0,-100233.42821723667,2.1543241806070198e-22,100233.42821723667,0.0,0.0,-0.07688001416553134,0.07688001416553134,100233.42821723667,0.0,0.0,0.0,0.07688001416553134,-0.016276129854166668,-100233.42821723667,0.0
2,2,-0.08406875614991345,199420.5844268644,29.83236764071144,0.061866810774913454,10395.8945023106,136.53581914681817,-0.022201945375,0.022201945375,-0.08406875614991345,0.08406875614991345,106.70359285722195,2717.2394278537004,87999.99999997004,109999.99999996254,1.0,0.0,0.0,106.70359285722195,2717.2394008570823,0.0,0.0,0.0,0.08406875614991345,106.70359285722195,29.83236764071144,136.53581914681817,106.70345150610673,1.0,0.0,-109999.99999996254,1.963048169150412e-22,109999.99999996254,0.0,0.0,-0.08406875614991345,0.08406875614991345,109999.99999996254,0.0,0.0,0.0,0.08406875614991345,-0.022201945375,-109999.99999996254,0.0
3,3,-0.027800000000013016,199320.50442686435,29.83220084071144,-0.010965341483320314,10356.419272970648,136.46814732509253,-0.03876534148333333,0.03876534148333333,-0.027800000000013016,0.027800000000013016,106.63596194118111,2716.3781464086924,29081.546268688646,36351.9328358608,1.0,0.0,0.0,106.63596194118111,2716.378143455666,0.0,0.0,0.0,0.027800000000013016,106.63596194118111,29.83220084071144,136.46814732509253,106.63594648438111,1.0,0.0,-36351.9328358608,5.94013250546515e-22,36351.9328358608,0.0,0.0,-0.027800000000013016,0.027800000000013016,36351.9328358608,0.0,0.0,0.0,0.027800000000013016,-0.03876534148333333,-36351.9328358608,0.0
4,4,0.0,199320.50442686435,29.83220084071144,-0.03494217785,10230.627432710648,136.2525041703611,-0.03494217785,0.03494217785,0.0,0.0,106.42030332964967,2713.629976650408,2.4079565382890696e-20,4.8474526515391604e-20,0.0,0.0,0.0,106.42030332964967,2713.629976650408,0.0,0.0,0.0,0.0,106.42030332964967,29.83220084071144,136.2525041703611,106.42030332964967,1.0,0.0,1.7050009888485257e-15,3.768813434073506e-06,3.768813430663551e-06,0.0,0.0,0.0,0.0,6.14362123053811e-20,0.0,0.0,0.0,0.0,-0.03494217785,-6.808067820729188e-20,0.0
5,5,0.0,199320.50442686435,29.83220084071144,-0.07533961891666666,9959.404804610647,135.78755109361825,-0.07533961891666666,0.07533961891666666,0.0,0.0,105.95535025290681,2707.69552759492,2.407956538222641e-20,4.847452651370529e-20,0.0,0.0,0.0,105.95535025290681,2707.69552759492,0.0,0.0,0.0,0.0,105.95535025290681,29.83220084071144,135.78755109361825,105.95535025290681,1.0,0.0,1.7050011800283805e-15,3.7687280904087367e-06,3.7687280869986858e-06,0.0,0.0,0.0,0.0,6.143621230245305e-20,0.0,0.0,0.0,0.0,-0.07533961891666666,-6.808067820250569e-20,0.0
6,6,0.0,199320.50442686435,29.83220084071144,-0.10303168916666666,9588.490723610648,135.15169838333253,-0.10303168916666666,0.10303168916666666,0.0,0.0,105.31949754262111,2699.558673963852,2.4079565317261293e-20,4.8474526351639074e-20,0.0,0.0,0.0,105.31949754262111,2699.558673963852,1.9250432443251147e-20,2.4063040554063935e-20,0.0,0.0,105.31949754262111,29.83220084071144,135.15169838333253,105.31949754262111,1.0,-2.4063040554063935e-20,1.7050143474681851e-15,3.7628361984847625e-06,3.7628361950746515e-06,0.0,0.0,0.0,0.0,6.143621203506955e-20,0.0,0.0,2.4063040554063935e-20,0.0,-0.10303168916666666,-6.808067779408204e-20,-2.4063040554063935e-20
7,7,-0.045716573274820406,199155.924763075,29.83192654127179,-0.02458075655851293,9500.000000000002,135.00000000000003,-0.07029732983333334,0.07029732983333334,0.0,0.0,105.16811525882966,2697.6178542556386,2.4079565322002992e-20,4.847452636355446e-20,0.0,-0.045716573274820406,0.045716573274820406,105.16811525882966,2697.6178622970992,47165.75256304348,58957.19070380436,1.0,0.045716573274820406,105.16811525882966,29.83192654127179,135.00000000000003,105.16807345872822,1.0,-58957.19070380436,1.7050132661104303e-15,3.7633211149688814e-06,3.763321111558798e-06,0.0,0.0,0.0,0.0,6.143621205504015e-20,-0.045716573274820406,0.045716573274820406,58957.19070380436,0.045716573274820406,-0.07029732983333334,-6.808067782527668e-20,-58957.19070380436
8,8,-0.08118756556293734,198863.64952704843,29.831439415878414,0.028487803354604012,9602.556092076577,135.17581044355984,-0.052699762208333334,0.052699762208333334,0.0,0.0,105.34450285609746,2699.879124147457,2.4079565203051528e-20,4.847452606690537e-20,0.0,-0.08118756556293734,0.08118756556293734,105.34450285609746,2699.8791494872307,83901.63121410289,104877.03901762862,1.0,0.08118756556293734,105.34450285609746,29.831439415878414,135.17581044355984,105.34437102768142,1.0,-104877.03901762862,1.7050370418047007e-15,3.752615379352089e-06,3.75261537594195e-06,0.0,0.0,0.0,0.0,6.143621156592807e-20,-0.08118756556293734,0.08118756556293734,104877.03901762862,0.08118756556293734,-0.052699762208333334,-6.808067707889126e-20,-104877.03901762862
9,9,-0.08496727462514206,198557.7673383979,29.830929612230662,0.03729934945847539,9736.833750127087,135.40600071450356,-0.047667925166666666,0.047667925166666666,0.0,0.0,105.57521549102806,2702.8339795743223,2.4079565208371203e-20,4.847452608021495e-20,0.0,-0.08496727462514206,0.08496727462514206,105.57521549102806,2702.834007298076,87999.99999998273,109999.9999999784,1.0,0.08496727462514206,105.57521549102806,29.830929612230662,135.40600071450356,105.57507110227291,1.0,-109999.9999999784,1.7050359235586069e-15,3.753120996919974e-06,3.7531209935098223e-06,0.0,0.0,0.0,0.0,6.143621158802838e-20,-0.08496727462514206,0.08496727462514206,109999.9999999784,0.08496727462514206,-0.047667925166666666,-6.808067711296907e-20,-109999.9999999784
