Hour,Qirr
0,5
1,24.11403841
2,23.97444444
3,37.87040216
4,85.8891486
5,83.15302139
6,71.41053128
7,38.80558051
8,137.1908791
9,76.98204899
10,60.53247363
11,69.08727131
12,74.7142133
13,69.61600622
14,60.80998435
15,71.70546718
16,45.83573206
17,37.63790965
18,12.4043832
19,15.60296389
20,18.85438259
21,18.99539442
22,13.38145876
23,5.129782557
