Hour,Qirr
0,20
1,58.6970827
2,52.07400666
3,58.84281543
4,57.07400645
5,103.0476078
6,53.36162609
7,10.39270521
8,64.29028935
9,63.8634538
10,33.37016148
11,29.71280114
12,22.66137051
13,48.77396305
14,55.68279458
15,39.98514545
16,59.75659788
17,20.24320233
18,7.404524851
19,17.2392129
20,29.73488168
21,23.36257036
22,29.14739623
23,20
