Hour,Qirr
0,0
1,5.7456085
2,4.920927211
3,4.684438092
4,5.177282927
5,10.84825584
6,5.400625141
7,7.980812931
8,6.239902608
9,7.776173052
10,10.30653778
11,11.86207322
12,8.789036749
13,7.082200368
14,8.765943473
15,9.382068289
16,10.28890393
17,9.187083376
18,2.692643362
19,6.824525349
20,3.262673213
21,3.95546426
22,1.59406081
23,0
