,Qirr
0,360.88374830555557
1,344.30993855089287
2,341.03307639385963
3,322.5957317410714
4,375.0847933579365
5,473.4202986397727
6,627.7485679125
7,696.5049153241757
8,923.4735355934731
9,979.9994982083333
10,844.4456446125
11,765.3724254334415
12,657.036932228022
13,536.9015392216118
14,494.9666626520833
15,574.9588670628204
16,590.891709310084
17,628.5277530058823
18,655.259029719973
19,556.0054935333333
20,606.8114133760822
21,452.11942136324785
22,349.0054051827651
23,300.84899254861114
