,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Qin,Irrigation1.Qout,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EB.P_bal,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,t1r0_expanded.Q,t1c1_Q_expanded.Q,t1eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P
0,0,3.5264277793546253,212695.14000567666,29.854491900009464,-3.5418435723629447,249.3631394933997,135.1150906797662,-0.01541579300833331,0.015415793008333333,0.0,0.0,105.01188493171388,2695.6132865881364,0.0,0.0,0.0,-3.526427779354611,3.5264277793546106,105.275591626782,-3632808.08482294,-1816404.0424114703,-3.5264277793546115,105.275591626782,29.854491900009467,135.1151338655215,105.26059877975675,0.0,0.0,1816404.0424114703,1816404.0424114703,0.0,0.0,0.0,0.0,0.0,3.526427779354618,-3.5264017879277842,-1821247.8414331495,-3.5264017879277842,-0.015415793008333333,1821247.8414331495,0.0
1,1,-0.0851380033558125,212388.64319359575,29.85398107198932,0.06154170821969098,470.91328908428716,135.217344594962,-0.02359629513611108,0.023596295136111108,-0.08513800335580209,0.08513800335580209,105.36350849231874,2700.1225718865103,88000.0,109999.99999999999,1.0,0.0,0.0,105.36327073196448,0.0,0.0,0.0851380033558021,105.36327073196448,29.85398107198932,135.21742465050878,105.36336352297269,1.0,0.0,-109999.99999999999,0.0,110000.00000000001,0.0,-0.08516019350808812,0.08516019350808812,109999.99999999987,0.0,0.0,0.0,0.08516019350808812,-0.023596295136111108,-109999.99999999987,0.0
2,2,-0.08505764265231724,212082.43568004738,29.853470726133413,0.059605582677317616,685.4933867226305,135.3163815631028,-0.02545205997500001,0.025452059975,-0.08505764265231723,0.08505764265231756,105.46305553301666,2701.3977989344708,88000.0,110000.0,1.0,0.0,0.0,105.46285657575928,0.0,0.0,0.0850576426523176,105.46285657575928,29.853470726133413,135.31650656078816,105.46291083696937,1.0,0.0,-110000.0,0.0,110000.0,0.0,-0.08508469116160282,0.08508469116160282,109999.99999999987,0.0,0.0,0.0,0.08508469116160282,-0.025452059975,-109999.99999999987,0.0
3,3,-0.08499695529262717,211776.44664099393,29.85296074440166,0.04501292109817709,847.5399026760679,135.3911722627736,-0.03998403419444446,0.03998403419444444,-0.08499695529262717,0.08499695529262152,105.53835600801372,2702.362021080995,88000.0,109999.99999999999,1.0,0.0,0.0,105.53820347586407,0.0,0.0,0.08499695529262152,105.53820347586407,29.852960744401656,135.3913483160088,105.53821151837194,1.0,0.0,-109999.99999999999,0.0,110000.0,0.0,-0.08502768316982999,0.08502768316982999,109999.99999999987,0.0,0.0,0.0,0.08502768316982999,-0.03998403419444444,-109999.99999999987,0.0
4,4,-0.08496325483881163,211470.5789235742,29.852450964872627,0.024887947144355813,937.1365123957489,135.43252454418268,-0.060075307694444476,0.06007530769444444,-0.08496325483881165,0.08496325483880028,105.58021795439659,2702.897912988708,88000.0,109999.99999999999,1.0,0.0,0.0,105.58011754544934,0.0,0.0,0.08496325483880025,105.58011754544934,29.85245096487262,135.43275548873035,105.58007357931005,1.0,0.0,-109999.99999999999,0.0,110000.0,0.0,-0.08499629127695785,0.08499629127695785,109999.99999999987,0.0,0.0,0.0,0.08499629127695785,-0.06007530769444444,-109999.99999999987,0.0
5,5,-0.08493280092266878,211164.82084025262,29.851941368067088,0.02247813797821863,1018.0578091173361,135.46987283497722,-0.0624546629444444,0.06245466294444445,-0.08493280092266876,0.08493280092266309,105.61807573851448,2703.3824513071304,88000.0,110000.0,1.0,0.0,0.0,105.61803106424279,0.0,0.0,0.08493280092266307,105.61803106424279,29.851941368067088,135.47016239893688,105.61793146691015,1.0,0.0,-110000.0,0.0,110000.00000000001,0.0,-0.08496808112424317,0.08496808112424317,109999.99999999987,0.0,0.0,0.0,0.08496808112424317,-0.06245466294444445,-109999.99999999987,0.0
6,6,0.0,211164.8208402526,29.851941368067088,-0.06305825783333334,791.048080917336,135.36509911426955,-0.06305825783333333,0.06305825783333334,0.0,0.0,105.5131577460885,2702.039357001098,0.0,0.0,0.0,-6.410345344820546e-18,0.0,105.52010792360483,0.0,0.0,0.0,105.52010792360483,29.851941368067084,135.3775726593567,105.5131577462025,0.0,0.0,0.0,0.0,0.0,0.0,-0.007332951604440002,0.007332951604440002,9420.176033139736,0.0,0.0,0.0,0.007332951604439988,-0.06305825783333334,-9420.176033139755,0.0
7,7,0.0,211164.8208402526,29.851941368067088,-0.05495390947222222,593.214006817336,135.27379108006957,-0.05495390947222223,0.05495390947222222,0.0,0.0,105.42184971200254,2700.8699704982732,9.837524900372998e-10,1.2296906125466248e-09,0.0,0.0,0.0,105.43263087215895,0.0,0.0,0.0,105.43263087215895,29.851941368067084,135.29042910567279,105.42184971200251,1.0,-3219.373465034922,3219.373465033692,3219.373465033693,0.0,0.0,-0.002506400310718069,0.002506400310718069,3219.373465034924,0.0,0.0,0.0,0.002506400310718069,-0.05495390947222222,0.0,-3219.373465034924
8,8,0.0,211164.8208402526,29.851941368067088,-0.05385924808333333,399.32071371733605,135.18430186786955,-0.053859248083333276,0.05385924808333333,0.0,0.0,105.33236049980248,2699.7234070173363,0.0,0.0,0.0,0.0,0.0,105.3566985922496,0.0,0.0,0.0,105.3566985922496,29.851941368067084,135.21407629964074,105.33236049980248,1.0,-10155.152461477932,10155.152461477932,10155.152461477934,0.0,0.0,-0.007906170378824465,0.007906170378824465,10155.15246147793,0.0,0.0,0.0,0.007906170378824472,-0.05385924808333333,0.0,-10155.15246147793
9,9,-0.027799999999999995,211064.7408402526,29.851774568067086,-0.00022081736111111244,398.52577121733606,135.1839349713311,-0.028020817361111127,0.028020817361111113,-0.0278,0.027799999999999995,105.33217586004186,2699.720938083079,28725.980336198885,35907.4754202486,1.0,0.0,0.0,105.33195322056847,0.0,0.0,0.027799999999999995,105.33195322056847,29.851774568067086,135.18894494579357,105.332160403264,1.0,-16563.114489101026,-19344.360931147574,0.0,19344.360931147578,0.0,-0.012895465508699898,0.012895465508699898,16563.11448910103,0.0,0.0,0.0,0.012895465508699898,-0.028020817361111113,0.0,-16563.11448910103
