,t,Reservoir1.Q,Reservoir1.W,Reservoir0.Q,Reservoir0.W,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pipe1.Q,Pipe1.H,Pipe1.signQ,PV.forecast,PV.P,PV.Pdim,Grid.P,Grid.Psell,Grid.Pbuy,EB.P_bal,Battery.E,Battery.P,Battery.Pch,Battery.Pdisc,Battery.SOC,Battery.Pdim,Battery.Edim,p1r0_expanded.Q,p1c1_Q_expanded.Q,p2r0_expanded.Q,p2c1_Q_expanded.Q,c1r1_expanded.Q,r1i1_expanded.Q,ebp1_expanded.P,ebp2_expanded.P,grideb_expanded.P,pveb_expanded.P,bat_eb_expanded.P
0,0.0,-0.7172265883826512,0.28277341161734876,-1.2827734116173488,13.717226588382651,2.0,-2.0,2.0,-0.6413867838938616,0.6413867838938616,19.99999999935865,918.0031809779254,125840.08699594026,139822.31888437807,-0.6413866277234873,0.6413866277234873,19.99999999935865,918.0031805191076,125840.05635531283,139822.28483923647,1.2827734116173488,19.99999999935865,0.4999999961024133,1.0,-98000.00098033535,,-215820.53550446208,8.937849017650542e-85,215820.53550446208,0.0,34275.932761182914,34175.932761182914,37973.258623536574,1.3354722858620767e-36,0.3808436939612367,,,-0.6413867838938616,0.6413867838938616,-0.6413866277234873,0.6413866277234873,1.2827734116173488,-2.0,139822.31888437807,139822.28483923647,-215820.53550446208,-98000.00098033535,34175.932761182914
1,1.0,0.40255492454451,0.6853283361618587,-0.40255492454451,13.31467166383814,0.0,0.0,0.0,-0.20127743401467912,0.20127743401467912,19.99999999979884,917.1533980188,39490.63255328284,43878.480614758715,-0.20127749052983085,0.20127749052983085,19.99999999979884,917.1533980709536,39490.64364155561,43878.49293506179,0.40255492454451,19.99999999979884,0.4999999875863831,1.0,-98000.00098033535,,0.00787017785791286,0.00787017785791286,4.228368407694488e-27,0.0,44518.952321519886,10243.019560336978,11381.132844818863,0.0,0.49465502139778017,,,-0.20127743401467912,0.20127743401467912,-0.20127749052983085,0.20127749052983085,0.40255492454451,0.0,43878.480614758715,43878.49293506179,0.00787017785791286,-98000.00098033535,10243.019560336978
2,2.0,0.7115747571569792,1.396903093318838,-0.7115747571569792,12.603096906681161,0.0,0.0,0.0,-0.35578749156666617,0.35578749156666617,19.999999999644277,917.3506902015118,69805.50584413833,77561.6731601537,-0.35578726559031304,0.35578726559031304,19.999999999644277,917.3506898329721,69805.46150757784,77561.62389730872,0.7115747571569792,19.999999999644277,0.49999999297460757,1.7,-100000.0,,-72791.26388042535,0.0,72791.26388042535,0.0,62186.92014448182,17667.967822961935,19631.075358846596,0.0,0.6909657732412807,,,-0.35578749156666617,0.35578749156666617,-0.35578726559031304,0.35578726559031304,0.7115747571569792,0.0,77561.6731601537,77561.62389730872,-72791.26388042535,-100000.0,17667.967822961935
3,3.0,0.6030968966812499,1.9999999900000878,-0.6030968966812499,12.000000009999912,0.0,0.0,0.0,-0.30154825698606963,0.30154825698606963,19.999999999698527,917.2689716323687,59163.76801977504,65737.52002197228,-0.3015486396951803,0.3015486396951803,19.999999999698527,917.2689721614169,59163.84310730256,65737.60345255841,0.6030968966812499,19.999999999698527,0.49999999171155435,0.5,-49000.00049016742,,-110288.20373987142,0.0,110288.20373987142,0.0,90000.00089998997,27813.080755508145,30903.423061675716,0.0,1.0,,,-0.30154825698606963,0.30154825698606963,-0.3015486396951803,0.3015486396951803,0.6030968966812499,0.0,65737.52002197228,65737.60345255841,-110288.20373987142,-49000.00049016742,27813.080755508145
4,4.0,-2.0000000000000857,0.0,8.551243767258248e-14,12.000000009999997,2.0,-2.0,2.0,0.0,0.0,20.0,917.0605214488301,0.0,0.0,0.0,0.0,20.0,917.0605214488301,0.0,0.0,-8.551243727187051e-14,20.0,0.6436710082390422,0.0,-9.983002102858948e-09,,90000.00090002788,90000.00090002788,0.0,0.0,0.0,-90000.00089999926,0.0,100000.00099999917,0.0,,,0.0,0.0,0.0,0.0,-8.551243236822752e-14,-2.0,0.0,0.0,90000.00090002788,-9.983002102858948e-09,-90000.00089999926
,,,,,,,,,,,,,,,,,,,,,,,,,,50000.0,,,,,,,,,,90000.0,80000.00079999122,,,,,,,,,,,
