years,SOH
0.0,1.0
0.08333333333333333,0.9913397459621556
0.16666666666666666,0.9877525512860841
0.25,0.985
0.3333333333333333,0.9826794919243113
0.41666666666666663,0.9806350832689629
0.5,0.9787867965644036
0.5833333333333333,0.9770871215252208
0.6666666666666666,0.9755051025721683
0.75,0.9740192378864668
0.8333333333333333,0.9726138721247417
0.9166666666666666,0.9712771867673099
1.0,0.97
1.0833333333333333,0.968775010008008
1.1666666666666665,0.9675962965079608
1.25,0.9664589803375031
1.3333333333333333,0.9653589838486225
1.4166666666666665,0.9642928578572858
1.5,0.9632576538582523
1.5833333333333333,0.9622508278236462
1.6666666666666665,0.9612701665379259
1.75,0.9603137303340311
1.8333333333333333,0.9593798079768202
1.9166666666666665,0.9584668806854096
2.0,0.9575735931288072
2.083333333333333,0.9566987298107781
2.1666666666666665,0.9558411956683608
2.25,0.955
2.333333333333333,0.9541742430504416
2.4166666666666665,0.9533631047345559
2.5,0.9525658350974743
2.583333333333333,0.9517817461950352
2.6666666666666665,0.9510102051443364
2.75,0.950250628144669
2.833333333333333,0.9495024753081897
2.9166666666666665,0.948765246170202
3.0,0.9480384757729337
3.083333333333333,0.9473217312357363
3.1666666666666665,0.9466146087398435
3.25,0.9459167308680402
3.333333333333333,0.9452277442494834
3.4166666666666665,0.944547317467953
3.5,0.9438751391983908
3.583333333333333,0.9432109165419973
3.6666666666666665,0.9425543735346197
3.75,0.9419052498068887
3.833333333333333,0.9412632993776463
3.9166666666666665,0.9406282895648104
4.0,0.94
4.083333333333333,0.9393782217350893
4.166666666666666,0.9387627564304205
4.25,0.9381534156157351
4.333333333333333,0.9375500200160161
4.416666666666666,0.9369523989354076
4.5,0.9363603896932107
4.583333333333333,0.9357738371066744
4.666666666666666,0.9351925930159214
4.75,0.9346165158468899
4.833333333333333,0.9340454702086354
4.916666666666666,0.9334793265217496
5.0,0.9329179606750063
5.083333333333333,0.9323612537076565
5.166666666666666,0.9318090915150707
5.25,0.9312613645756624
5.333333333333333,0.9307179676972449
5.416666666666666,0.9301787997811553
5.5,0.9296437636026486
5.583333333333333,0.9291127656062109
5.666666666666666,0.9285857157145715
5.75,0.9280625271503092
5.833333333333333,0.9275431162690528
5.916666666666666,0.9270274024033679
6.0,0.9265153077165047
6.083333333333333,0.9260067570652563
6.166666666666666,0.9255016778712433
6.25,0.925
6.333333333333333,0.9245016556472925
6.416666666666666,0.9240065792321467
6.5,0.9235147072961083
6.583333333333333,0.9230259784082967
6.666666666666666,0.9225403330758517
6.75,0.9220577136594005
6.833333333333333,0.9215780642932094
6.916666666666666,0.9211013308097025
7.0,0.9206274606680622
7.083333333333333,0.9201564028866435
7.166666666666666,0.919688107978955
7.25,0.9192225278929824
7.333333333333333,0.9187596159536404
7.416666666666666,0.9182993268081591
7.5,0.9178416163742251
7.583333333333333,0.9173864417907085
7.666666666666666,0.9169337613708193
7.75,0.9164835345575497
7.833333333333333,0.9160357218812667
7.916666666666666,0.9155902849193294
8.0,0.9151471862576143
8.083333333333332,0.9147063894538401
8.166666666666666,0.9142678590025888
8.25,0.9138315603019296
8.333333333333332,0.9133974596215562
8.416666666666666,0.912965524072354
8.5,0.9125357215773204
8.583333333333332,0.9121080208437653
8.666666666666666,0.9116823913367216
8.75,0.9112588032535057
8.833333333333332,0.910837227499365
8.916666666666666,0.9104176356641555
9.0,0.91
9.083333333333332,0.9095842933998743
9.166666666666666,0.9091704893770752
9.25,0.9087585620455267
9.333333333333332,0.9083484861008833
9.416666666666666,0.9079402368023901
9.5,0.9075337899554654
9.583333333333332,0.9071291218949664
9.666666666666666,0.9067262094691119
9.75,0.906325030024024
9.833333333333332,0.9059255613888662
9.916666666666666,0.9055277818615441
10.0,0.9051316701949486
