month,hour,Qreg
1,0,40.54153996285398
1,1,16.20144485102719
1,2,12.596414572937647
1,3,14.937225687974811
1,4,16.860115873729228
1,5,18.030980608391474
1,6,15.599358234346559
1,7,13.355115280455115
1,8,5.6143882576780015
1,9,48.70456833309618
1,10,42.551988990217666
1,11,66.02641318972836
1,12,41.987387997752194
1,13,22.044914279686054
1,14,16.84147092727926
1,15,16.499591757094095
1,16,14.738638793082828
1,17,21.77443730900268
1,18,24.94563831823598
1,19,22.2075598637266
1,20,20.563661605733365
1,21,18.500541345590136
1,22,18.7970812373469
1,23,159.53496813581114
2,0,73.37687332148683
2,1,3.4856169465248668
2,2,2.967017013044824
2,3,2.7566431173530264
2,4,2.773173724249621
2,5,2.8478848557518477
2,6,2.1570011809890275
2,7,2.6514983943100865
2,8,5.440748481322922
2,9,2.8079008457643795
2,10,6.841195281765673
2,11,10.911340277849073
2,12,0.0
2,13,6.861598039182809
2,14,5.588822727886205
2,15,5.10782065084004
2,16,3.348403065637285
2,17,1.410062634903928
2,18,2.38947244485189
2,19,1.8465976007967886
2,20,2.319054844407977
2,21,2.9487073509111115
2,22,2.685153175645913
2,23,0.0
3,0,81.39152918921718
3,1,58.69708269613693
3,2,52.07400666342831
3,3,58.84281543449228
3,4,57.074006451499685
3,5,103.04760784573139
3,6,53.361626087033684
3,7,10.392705210705117
3,8,64.29028935020067
3,9,63.86345379746142
3,10,33.3701614846497
3,11,29.71280113580042
3,12,22.661370514583574
3,13,48.77396304898532
3,14,55.68279457733843
3,15,39.98514544749863
3,16,59.756597878686385
3,17,20.243202333167744
3,18,7.404524850763077
3,19,17.239212899881743
3,20,29.734881684320804
3,21,23.362570362959254
3,22,29.147396233967207
3,23,127.36828444925746
4,0,102.11125032583186
4,1,53.013718648089096
4,2,67.63712196383281
4,3,59.52614878676801
4,4,114.54125721476794
4,5,156.92312194682773
4,6,220.70858481319374
4,7,153.17033137650074
4,8,164.87949705468782
4,9,118.8863989902587
4,10,67.07651333772932
4,11,84.21755193780976
4,12,95.88089489867828
4,13,93.88537741052185
4,14,121.87074959843933
4,15,110.36604774218934
4,16,121.09814141221675
4,17,82.28302439902806
4,18,0.0
4,19,21.368866608512384
4,20,40.09788491839087
4,21,38.747022480807274
4,22,42.45930960243368
4,23,52.11428236016309
5,0,55.496854825565
5,1,84.94666248973772
5,2,91.62741590746434
5,3,143.94252308402793
5,4,216.2711076510174
5,5,224.83678659493367
5,6,227.0097281844537
5,7,197.8340740557063
5,8,193.8932930697447
5,9,100.87494251269831
5,10,62.71601356400666
5,11,119.97353514918663
5,12,116.20404455396965
5,13,136.92039592177878
5,14,131.05035859567155
5,15,144.12759004064114
5,16,145.71755423369117
5,17,104.51457722981894
5,18,13.81599474560062
5,19,39.78080608116337
5,20,45.56089385681662
5,21,67.06680127122854
5,22,108.61909774194162
5,23,69.90437488699415
6,0,30.837118115828467
6,1,81.62680333645798
6,2,110.05875435740714
6,3,77.46671688411818
6,4,142.49997629611426
6,5,175.86352786311468
6,6,186.42823318695505
6,7,172.59687459027316
6,8,150.07256210444
6,9,135.79818246251534
6,10,79.084151844183
6,11,131.3329600563472
6,12,106.20717057406515
6,13,111.82398833831121
6,14,107.27894767346045
6,15,130.82048089001938
6,16,145.4558139174456
6,17,134.87505933573357
6,18,63.75715745599125
6,19,70.44563653733985
6,20,61.05167782720582
6,21,60.713051762294825
6,22,94.58643362077964
6,23,78.24284454186639
7,0,44.38794512991202
7,1,59.858441139813294
7,2,80.45521064075062
7,3,154.2740838535968
7,4,183.26468181858456
7,5,181.48085681155862
7,6,210.72636880160098
7,7,205.3679709964314
7,8,139.0615137496755
7,9,134.00103872131302
7,10,163.93101827800456
7,11,140.36043793625444
7,12,117.68954920768618
7,13,114.40082498584889
7,14,84.83339780789541
7,15,98.92166028889187
7,16,129.34034823364226
7,17,134.57581185853053
7,18,19.068380594805298
7,19,53.44514109249515
7,20,72.82131965638018
7,21,51.125805076761935
7,22,86.92804559678855
7,23,79.72662949451963
8,0,113.65424265560765
8,1,39.06271165126509
8,2,53.28466889572853
8,3,93.03681955679652
8,4,83.86122683980616
8,5,180.81508539872328
8,6,247.27605402910862
8,7,168.71359164557484
8,8,126.47942928031685
8,9,114.40302041724861
8,10,118.93181384451479
8,11,135.3211243240906
8,12,145.1694836263332
8,13,136.64270355083227
8,14,132.4470212371255
8,15,134.3706331606263
8,16,142.30049587179047
8,17,155.67347768500866
8,18,17.46027361449554
8,19,57.18365659702552
8,20,63.43137355935232
8,21,36.70361792213407
8,22,0.0
8,23,34.607737282361995
9,0,35.78192144039016
9,1,15.36987363885055
9,2,27.760774355175272
9,3,55.70355582347747
9,4,66.70799881571597
9,5,80.401631874481
9,6,163.47541301987167
9,7,109.59892280013507
9,8,100.79559919569272
9,9,97.49412541036146
9,10,87.19309254832206
9,11,67.04381985134509
9,12,73.50642875388895
9,13,22.2509220613653
9,14,32.18566532101886
9,15,30.459841261859157
9,16,27.286957792111327
9,17,21.931012837148348
9,18,16.33521794472684
9,19,13.723730609993556
9,20,17.130882357970222
9,21,14.841070687191253
9,22,23.654946340937993
9,23,17.280582498136937
10,0,35.544354985711834
10,1,24.114038407527914
10,2,23.97444444370255
10,3,37.870402162135484
10,4,85.88914859984713
10,5,83.15302138789654
10,6,71.41053127608211
10,7,38.805580506310434
10,8,137.19087906637168
10,9,76.98204898834592
10,10,60.5324736347884
10,11,69.08727131066675
10,12,74.71421330063461
10,13,69.61600621541342
10,14,60.809984348440906
10,15,71.70546718010822
10,16,45.8357320637612
10,17,37.6379096463855
10,18,12.404383203913312
10,19,15.602963885498562
10,20,18.85438259070118
10,21,18.99539441780932
10,22,13.381458762620241
10,23,5.129782556933908
11,0,86.31373238818682
11,1,5.745608500445391
11,2,4.920927211090808
11,3,4.684438091804623
11,4,5.177282926937551
11,5,10.848255840578833
11,6,5.400625141406939
11,7,7.980812930605984
11,8,6.239902607614871
11,9,7.776173052207014
11,10,10.306537783048043
11,11,11.862073223900552
11,12,8.789036748791963
11,13,7.082200368452504
11,14,8.765943472654424
11,15,9.382068289375031
11,16,10.288903928463697
11,17,9.187083376229264
11,18,2.6926433624084893
11,19,6.824525348979478
11,20,3.262673213317612
11,21,3.9554642596858685
11,22,1.5940608101445832
11,23,0.0
12,0,41.389626917739704
12,1,3.3941514284391205
12,2,1.959988593228142
12,3,3.1448029639814195
12,4,3.111029530912674
12,5,3.506594241458212
12,6,3.9504965701723145
12,7,0.9215361743945323
12,8,3.680337495273913
12,9,2.3486901193655285
12,10,3.8682116795732027
12,11,2.2765221589576563
12,12,3.1296706185163807
12,13,2.4241366655439074
12,14,1.7714617998790345
12,15,0.0
12,16,4.837533255694628
12,17,4.859008356237609
12,18,1.2837758785917686
12,19,0.8365510953250728
12,20,0.7169536877809151
12,21,2.5194688255857423
12,22,1.8760568266376745
12,23,0.0
