,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Qin,Irrigation1.Qout,Pump1.K,Pump1.Qin,Pump1.Qout,Pump1.Qoutp,Pump1.Qoutt,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.ModePump,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EB.P_bal,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P
0,0,0.0,199999.99999999997,29.833333333333336,-0.015415793008333333,9944.503145170002,139.58977068238616,-0.015415793008333333,0.015415793008333333,1e-06,0.0,0.0,0.0,0.0002481725844315857,109.75643734905282,2755.836086084929,0.0,0.0,1.0,0.0,0.0,109.7564373490528,2755.8360860849293,0.0,0.0,0.0,0.0,109.75643734905282,29.833333333333332,139.58977068238616,109.7564373490528,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015415793008333333,0.0,0.0
1,1,0.0,200000.0,29.833333333333332,-0.023596295136111108,9859.556482679998,139.55056453046768,-0.023596295136111108,0.023596295136111108,1e-06,0.0,0.0,0.0,0.0,109.71723119713432,2755.3438353279157,0.0,0.0,1.0,0.0,0.0,109.71723119713432,2755.3438353279153,0.0,0.0,0.0,0.0,109.71723119713432,29.833333333333332,139.55056453046768,109.71723119713435,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023596295136111108,0.0,0.0
2,2,0.0,200000.0,29.83333333333333,-0.025452059975,9767.929066769997,139.50827495389385,-0.025452059975,0.025452059975,1e-06,0.0,0.0,0.0,0.0,109.6749416205605,2754.812772188882,0.0,0.0,1.0,0.0,0.0,109.6749416205605,2754.8127721888823,0.0,0.0,0.0,0.0,109.6749416205605,29.833333333333325,139.50827495389385,109.67494162056053,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025452059975,0.0,0.0
3,3,-0.088089264063894,199682.87864937,29.832804797748953,0.04810522986944958,9941.107894300018,139.5882036435231,-0.03998403419444444,0.03998403419444444,1e-06,-0.03862894314830878,0.03862894314830878,0.03862894314830879,0.0,109.75555403935742,2755.8247905346716,41591.85977133295,51989.82471416619,1.0,-0.049460320915585214,0.04946032091558523,109.7555540393574,2755.824799569287,53254.0257014536,66567.532126817,1.0,0.088089264063894,109.75555403935742,29.83280479774895,139.5882036435231,109.75539884577412,1.0,0.0,-118557.35684098318,0.0,118557.35684098316,0.0,-0.03862894314830878,0.03862894314830878,51989.82471416619,-0.04946032091558522,0.04946032091558523,66567.532126817,0.088089264063894,-0.03998403419444444,-118557.35684098318,0.0
4,4,0.0,199682.87864937,29.83280479774895,-0.06007530769444444,9724.836786600017,139.48838620920003,-0.06007530769444444,0.06007530769444444,1e-06,0.0,0.0,0.0,0.0002481725844315857,109.65558141145108,2754.569577898868,0.0,0.0,1.0,0.0,0.0,109.65558141145108,2754.569577898868,0.0,0.0,0.0,0.0,109.65558141145108,29.832804797748942,139.48838620920003,109.65558141145111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06007530769444444,0.0,0.0
5,5,0.0,199682.87864937,29.83280479774895,-0.06245466294444445,9500.000000000018,139.38461538461542,-0.06245466294444445,0.06245466294444445,1e-06,0.0,0.0,0.0,0.01613376588341548,109.55181058686644,2753.2659366139756,0.0,0.0,1.0,0.0,0.0,109.55181058686645,2753.2658709592138,0.0,0.0,0.0,0.0,109.55181058686644,29.832804797748942,139.38461538461542,109.55181058686644,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06245466294444445,0.0,0.0
