Time_hour,Power,SOC,Q_cal_pct,Q_cyc_pct,SOH
1,-9.474056274096896e-09,2.1258533597164425e-05,1.000140871263708,0.9999999999999404,0.9799985912873634
2,-1.976306918840535e-10,2.1258546248563925e-05,1.0001992278639102,0.9999999999999392,0.9799980077213616
3,4.800000045391512,0.00020493254765700556,1.0002440725098674,1.0000301792110398,0.9799972574827909
4,-9.384597551859774e-09,0.00020493262626493998,1.0002818359789152,1.0000301781442087,0.9799968798587688
5,-9.692298775983004e-09,0.00020493269546990493,1.0003151074444068,1.0000301781441476,0.9799965471441144
6,-9.692298775931581e-09,0.00020493275800242917,1.000345188100985,1.0000301781440868,0.9799962463375493
7,4.800000048220959,0.00038860716251720587,1.0003729483250134,1.0000603593327617,0.9799956669234222
8,11.200000122609188,0.0008171812948002332,1.0003989467511076,1.0001307893238067,0.9799947026392508
9,7.200000077177587,0.0010926937676263657,1.000423317886917,1.0001760613500095,0.9799940062076307
10,3.200000049445199,0.0012151440324288884,1.0004462990570449,1.0001961788414764,0.9799935752210148
11,2.8000000446190936,0.001322288126220131,1.0004681588318425,1.000213785887053,0.979993180552811
12,7.200000077177587,0.0015978013314148982,1.000489172684942,1.0002590724518217,0.9799925175486324
13,11.200000122609188,0.002026377913159898,1.0005094626045987,1.00032952122474,0.9799916101617066
14,4.800000048220959,0.0022100540742534475,1.0005288375480639,1.0003596948473326,0.979991114676046
15,-9.692298776120754e-09,0.002210054492301151,1.000547403947293,1.0003596821307164,0.9799909291392199
16,-9.692298776251859e-09,0.002210054896903858,1.0005653614399241,1.0003596821306555,0.9799907495642942
17,0.7999999999599109,0.0022406679443754958,1.000582791677399,1.0003647157162001,0.9799905249260641
18,4.800000045391512,0.0024243443604613493,1.00059984944273,1.0003949166798842,0.9799900523387739
19,-9.384597552583044e-09,0.0024243447665150382,1.0006162917818147,1.000394902717801,0.9799898880550038
20,-9.771426094763118e-09,0.0024243451623353098,1.0006323070877083,1.0003949027177395,0.9799897279019454
21,-9.771426094764872e-09,0.0024243455483747072,1.000647927017597,1.000394902717678,0.9799895717026473
22,-9.38459755262114e-09,0.002424345925338946,1.000663179500443,1.000394902717619,0.9799894191778195
23,4.800000045391512,0.002608022584910688,1.0006782665034828,1.0004251078090174,0.979988966256875
24,-9.384597552645877e-09,0.0026080229725144967,1.0006928596017826,1.0004250927793197,0.9799888204761891
25,-9.771426094771658e-09,0.0026080233524990205,1.0007071519207364,1.0004250927792582,0.9799886775530001
26,-9.771426094773324e-09,0.002608023724954836,1.0007211613374667,1.0004250927791967,0.9799885374588334
27,-9.384597552681995e-09,0.002608024090327158,1.000734904025375,1.0004250927791378,0.9799884000319549
28,4.800000045391512,0.002791700985957037,1.0007485902298112,1.0004552998492953,0.9799879610992089
