,t,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Reservoir0.Q,Reservoir0.W,Reservoir0.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EB.P_bal,Battery.E,Battery.P,Battery.Pch,Battery.Pdisc,Battery.SOC,p1r0_expanded.Q,p1c1_Q_expanded.Q,ebp1_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,ebp2_expanded.P,c1r1_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,bat_eb_expanded.P
0,0,-0.1,0.9,0.7545,0.0,5.0,0.025000000000000005,0.1,-0.1,0.1,0.0,0.0,0.7294999999999999,0.8541077215433659,4.069186756274221e-38,5.093038968669112e-38,0.0,0.0,0.0,0.7294999999999999,0.854107721543366,4.069186756274221e-38,5.093038968669112e-38,0.0,0.0,0.7294999999999999,0.025000000000000005,0.7545,0.7294999999999999,1.0,0.0,0.0,-1653.4947978306939,4.42906685259087e-16,1653.4947978306939,0.0,2653.494797830694,1653.4947978306939,1837.2164420341041,3.986178247945821e-16,0.20000000000001933,0.0,0.0,3.342263533498892e-38,0.0,0.0,3.342263533498892e-38,0.0,-0.1,-1653.4947978306939,0.0,1653.4947978306939
1,1,-0.8,0.09999999999999998,0.7505,0.0,5.0,0.025000000000000005,0.8,-0.8,0.8,0.0,0.0,0.7254999999999999,0.8517628778010932,4.069195537995481e-38,5.093051732048586e-38,0.0,0.0,0.0,0.7254999999999999,0.8517628778010932,4.069195537995481e-38,5.093051732048586e-38,0.0,0.0,0.7254999999999999,0.025000000000000005,0.7505,0.7254999999999999,1.0,0.1,-1922.7599999997933,1922.759999999793,1922.759999999793,3.808813440419999e-16,0.0,2653.494797830694,1.2051712221297803e-13,3.1577228931753767e-06,3.1577227592674646e-06,0.20000000000001933,0.0,0.0,2.512951571000161e-38,0.0,0.0,2.512951571000161e-38,0.0,-0.8,1922.759999999793,-1922.7599999997933,1.2051712221297803e-13
2,2,0.42647058823455325,0.5264705882345533,0.7526323529411728,-1.2264705882345532,3.7735294117654465,0.018867647058827257,0.8,-0.8,0.8,-0.6132352941172369,0.6132352941172369,0.7488070069203897,0.8761334848172067,4504.701823084814,5005.224247872016,1.0,-0.6132352941173165,0.6132352941173165,0.7488070069203897,0.8761334848172093,4504.701823085398,5005.224247872666,1.0,1.2264705882345532,0.7488070069203897,0.018867647058827257,0.7526323529411728,0.7337647058823455,1.0,0.6,-11536.559999999507,-7.293673889354186e-08,2.9409975138462225e-10,7.32308386449265e-08,0.0,4179.606302158456,1526.1115043277623,1695.6794492530692,4.3189013240429123e-16,0.3150265307153272,-0.6132352941172369,0.6132352941172369,5005.224247872016,-0.6132352941173165,0.6132352941173165,5005.224247872666,1.2264705882345532,-0.8,-7.293673889354186e-08,-11536.559999999507,1526.1115043277623
3,3,0.47352941176548635,1.0000000000000395,0.7550000000000002,-1.2735294117654865,2.49999999999996,0.012499999999999798,0.8,-0.8,0.8,-0.6367647069430727,0.6367647069430727,0.7587187716263178,0.8826053683423314,4739.459548777704,5266.066165308561,1.0,-0.6367647048224138,0.6367647048224138,0.7587187716263178,0.8826053682658328,4739.459532993573,5266.066147770636,1.0,1.2735294117654865,0.7587187716263178,0.012499999999999798,0.7550000000000002,0.7425000000000004,1.0,1.2,-19619.999999999705,-7.295598719887125e-08,2.9417737112015804e-10,7.32501645699913e-08,0.0,13267.47398915192,9087.867686993464,10097.630763326071,7.25266390694456e-17,0.9999999999999799,-0.6367647069430727,0.6367647069430727,5266.066165308561,-0.6367647048224138,0.6367647048224138,5266.066147770636,1.2735294117654865,-0.8,-7.295598719887125e-08,-19619.999999999705,9087.867686993464
4,4,-0.1,0.9000000000000395,0.7545000000000003,0.0,2.49999999999996,0.012499999999999805,0.1,-0.1,0.1,0.0,0.0,0.7420000000000004,0.8613942186943214,4.069185434004064e-38,5.093050365508893e-38,0.0,0.0,0.0,0.7420000000000004,0.8613942186943214,4.069185434004064e-38,5.093050365508893e-38,0.0,0.0,0.7420000000000004,0.012499999999999805,0.7545000000000003,0.7420000000000004,1.0,0.2,-3845.5199999997835,14459.499191321147,14459.499191321147,5.064813833965808e-17,0.0,2653.494797830557,-10613.979191321365,6.20985285735843e-17,11793.310212579294,0.200000000000009,0.0,0.0,2.5129503130474136e-38,0.0,0.0,2.5129503130474136e-38,0.0,-0.1,14459.499191321147,-3845.5199999997835,-10613.979191321365
