,t,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Reservoir0.Q,Reservoir0.W,Reservoir0.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EB.P_bal,Battery.E,Battery.P,Battery.Pch,Battery.Pdc,Battery.SOC,p1r0_expanded.Q,p1c1_Q_expanded.Q,ebp1_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,ebp2_expanded.P,t1r0_expanded.Q,t1c1_Q_expanded.Q,t1eb_expanded.P,c1r1_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,bat_eb_expanded.P
0,0,-0.10000000000000002,0.9,0.7545000000000001,0.0,5.0,0.02500000000000001,0.1,-0.1,0.1,0.0,0.0,0.7295000000000001,0.854107721543366,0.0,0.0,0.0,0.0,0.0,0.7294999999999999,0.8541077215433661,0.0,0.0,0.0,0.0,0.0,0.7295000000000001,0.0,0.0,0.0,0.7295000000000001,0.025000000000000012,0.7545000000000001,0.7294999999999999,0.0,0.0,0.0,7411.999999999998,7411.999999999997,0.0,0.0,4360.0,-7411.999999999999,0.0,8235.555555555553,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,7411.999999999998,0.0,-7411.999999999999
1,1,-0.8999999999999895,1.0658141036401503e-14,0.7500000000000001,0.09999999999998938,5.09999999999999,0.02549999999999996,0.8,-0.8,0.8,0.0,0.0,0.7244000000000049,0.8511169132381284,0.0,0.0,0.0,0.0,0.0,0.724400000000005,0.8511169132381287,0.0,0.0,0.0,-0.09999999999998939,0.09999999999998938,0.7244000000000049,-710.6364000000422,-604.0409400000357,-0.0999999999999894,0.7244000000000049,0.025499999999999964,0.7500000000000001,0.7245000000000001,0.0,0.1,-1922.7600000000002,2962.8009400000356,2962.8009400000356,0.0,0.0,3924.000000000001,-435.9999999999998,0.0,484.4444444444442,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999998938,-0.09999999999998939,-604.0409400000357,-0.0999999999999894,-0.8,2962.8009400000356,-1922.7600000000002,-435.9999999999998
2,2,1.4656151092348992,1.465615109234899,0.7573280755461747,-2.2656151092348997,2.83438489076509,0.014171924453825452,0.8,-0.8,0.8,-1.132807554609383,1.132807554609383,0.7944862693158476,0.9934657104985865,8829.0,9810.0,1.0,-1.132807554625517,1.1328075546255167,0.7944862693158478,0.9934656701271832,8829.0,9810.0,1.0,0.0,0.0,0.7944862693158476,0.0,0.0,2.265615109234899,0.7944862693158476,0.014171924453825454,0.7573280755461747,0.7431561510923492,1.0,0.6,-11536.559999999998,-21963.42648586251,0.0,21963.42648586251,0.0,17803.986485862508,13879.986485862508,15422.207206513896,0.0,0.907440697546509,-1.132807554609383,1.132807554609383,9810.0,-1.132807554625517,1.1328075546255167,9810.0,0.0,0.0,0.0,2.265615109234899,-0.8,-21963.42648586251,-11536.559999999998,13879.98648586251
3,3,1.4204069523900313,2.8860220616249306,0.7644301103081246,-2.2204069523900314,0.6139779383750591,0.003069889691874825,0.8,-0.8,0.8,-1.1102034761910966,1.1102034761910968,0.810662290614304,0.9977699855686258,8829.0,9810.0,1.0,-1.110203476198935,1.1102034761989348,0.810662290614304,0.9977699948000434,8829.0,9810.0,1.0,0.0,0.0,0.810662290614304,0.0,0.0,2.2204069523900314,0.810662290614304,0.003069889691874825,0.7644301103081246,0.7613602206162497,1.0,1.2,-19620.0,-1816.0135141374863,0.0,1816.013514137486,0.0,19620.0,1816.0135141374863,2017.792793486096,0.0,0.9999999999999998,-1.1102034761910966,1.1102034761910968,9810.0,-1.110203476198935,1.1102034761989348,9810.0,0.0,0.0,0.0,2.2204069523900314,-0.8,-1816.0135141374863,-19620.0,1816.0135141374863
4,4,-1.9860220616249304,0.9,0.7545000000000001,1.8860220616249308,2.4999999999999902,0.012499999999999956,0.1,-0.1,0.1,0.0,0.0,0.7064292082616277,0.8404933770267186,0.0,0.0,0.0,0.0,0.0,0.7064292082616277,0.8404933770267186,0.0,0.0,0.0,-1.8860220616249304,1.8860220616249308,0.7064292082616277,-13070.266393534885,-11109.726434504651,-1.8860220616249306,0.7064292082616277,0.012499999999999957,0.7545000000000001,0.742,0.0,0.2,-3845.52,30651.246434504646,30651.246434504646,0.0,0.0,3924.000000000001,-15696.0,0.0,17440.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.8860220616249308,-1.8860220616249304,-11109.726434504651,-1.8860220616249306,-0.1,30651.246434504646,-3845.52,-15695.999999999998
