,t,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Reservoir0.Q,Reservoir0.W,Reservoir0.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EB.P_bal,Battery.E,Battery.P,Battery.Pch,Battery.Pdisc,Battery.SOC,p1r0_expanded.Q,p1c1_Q_expanded.Q,ebp1_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,ebp2_expanded.P,t1r0_expanded.Q,t1c1_Q_expanded.Q,t1eb_expanded.P,c1r1_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,bat_eb_expanded.P
0,0,-0.1999999999991895,0.8000000000008105,0.7540000000000041,0.09999999999918946,5.09999999999919,0.02549999999999595,0.1,-0.1,0.1,0.0,0.0,0.7284000000000144,0.853463531734077,0.0,0.0,0.0,0.0,0.0,0.7284000000000144,0.853463531734077,0.0,0.0,0.0,-0.09999999999918947,0.09999999999918949,0.7284000000000144,-714.5603999945353,-607.376339995355,-0.09999999999918949,0.7284000000000144,0.02549999999999595,0.7540000000000041,0.7285000000000081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1607.3763399953543,607.376339995355,674.8625999948389,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999918946,-0.09999999999918947,-607.376339995355,-0.09999999999918949,-0.1,0.0,0.0,607.376339995355
1,1,-0.8,8.10440619101278e-13,0.750000000000004,0.0,5.09999999999919,0.02549999999999595,0.8,-0.8,0.8,0.0,0.0,0.7245000000000081,0.8511756575466711,0.0,0.0,0.0,0.0,0.0,0.724500000000008,0.8511756575466708,0.0,0.0,0.0,0.0,0.0,0.7245000000000081,0.0,0.0,0.0,0.7245000000000081,0.02549999999999595,0.750000000000004,0.7245000000000081,1.0,0.1,-1922.7599999999998,1922.7599999999998,1922.76,0.0,0.0,1607.3763399953548,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1922.7599999999998,-1922.7599999999998,0.0
2,2,1.3999999999999972,1.400000000000808,0.7570000000000041,-2.1999999999999975,2.8999999999991917,0.014499999999995962,0.8,-0.8,0.8,-1.0999999999999974,1.0999999999999974,0.7909000000000079,0.9227133825365325,8534.601900000063,9482.89100000007,1.0,-1.1,1.0999999999999999,0.7909000000000078,0.9227133825365326,8534.601900000085,9482.891000000096,1.0,0.0,0.0,0.7909000000000079,0.0,0.0,2.1999999999999975,0.7909000000000079,0.014499999999995962,0.7570000000000041,0.742500000000008,1.0,0.6,-11536.559999999998,-13185.224155012125,0.0,13185.224155012123,0.0,7363.37849500731,5756.0021550119545,6395.557950013283,0.0,0.9161984382029604,-1.0999999999999974,1.0999999999999974,9482.89100000007,-1.1,1.0999999999999999,9482.891000000096,0.0,0.0,0.0,2.1999999999999975,-0.8,-13185.224155012125,-11536.559999999998,5756.002155011954
3,3,1.3999999999999972,2.800000000000805,0.764000000000004,-2.1999999999999975,0.699999999999194,0.0034999999999959707,0.8,-0.8,0.8,-1.1,1.1,0.8089000000000082,0.9324161921881202,8728.83990000009,9698.711000000098,1.0,-1.0999999999999974,1.0999999999999976,0.8089000000000081,0.9324161770603503,8728.83990000007,9698.711000000078,1.0,0.0,0.0,0.8089000000000082,0.0,0.0,2.1999999999999975,0.8089000000000082,0.0034999999999959703,0.764000000000004,0.7605000000000082,1.0,1.2,-19620.0,-450.92520496964346,0.0,450.92520496964346,0.0,8036.881699976774,673.5032049694654,748.3368944105171,0.0,1.0000000000000002,-1.1,1.1,9698.711000000098,-1.0999999999999974,1.0999999999999976,9698.711000000078,0.0,0.0,0.0,2.1999999999999975,-0.8,-450.92520496964346,-19620.0,673.5032049694653
4,4,-1.9000000000008048,0.9,0.7544999999999998,1.8000000000008036,2.499999999999998,0.01249999999999999,0.1,-0.1,0.1,0.0,0.0,0.7096000000460668,0.8423775136515097,0.0,0.0,0.0,0.0,0.0,0.7096000000460668,0.8423775136515097,0.0,0.0,0.0,-1.8000000000008047,1.8000000000008043,0.7096000000460668,-12530.116801521292,-10650.599281293096,-1.800000000000805,0.7096000000460668,0.012499999999999989,0.7544999999999998,0.742,0.0,0.2,-3845.52,20925.624641274517,20925.62464127452,0.0,0.0,1607.3763399953548,-6429.505359981421,0.0,7143.894844423802,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.800000000000804,-1.8000000000008047,-10650.599281293096,-1.800000000000805,-0.1,20925.624641274517,-3845.52,-6429.505359981421
