,t,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Reservoir0.Q,Reservoir0.W,Reservoir0.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EB.P_bal,Battery.E,Battery.P,Battery.Pch,Battery.Pdc,p1r0_expanded.Q,p1c1_Q_expanded.Q,ebp1_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,ebp2_expanded.P,t1r0_expanded.Q,t1c1_Q_expanded.Q,t1eb_expanded.P,c1r1_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,bat_eb_expanded.P
0,0,-0.2000000012708461,0.7999999987291538,0.7539999999936458,0.10000000127084609,5.100000001270845,0.025500000006354235,0.1,-0.1,0.1,0.0,0.0,0.72839999998475,0.8534635317255955,0.0,0.0,0.0,0.0,0.0,0.72839999998475,0.8534635317255955,0.0,0.0,0.0,-0.10000000127084609,0.10000000127084609,0.72839999998475,-714.5604090660025,-607.3763477061021,-0.10000000127084609,0.72839999998475,0.025500000006354235,0.7539999999936458,0.7284999999872914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13612.88888888889,607.376347706102,674.8626085623356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000127084609,-0.10000000127084609,-607.3763477061021,-0.10000000127084609,-0.1,0.0,0.0,607.376347706102
1,1,-0.7999999987291427,1.1020156141794414e-14,0.75,-1.2708573111171493e-09,5.099999999999989,0.025499999999999953,0.8,-0.8,0.8,0.0,0.0,0.7245,0.8511756570536552,0.0,0.0,0.0,0.0,0.0,0.7244999999999999,0.8511756570536552,0.0,0.0,0.0,1.2708573111171493e-09,-1.2708573111171493e-09,0.7245,0.0,0.0,1.2708573111171493e-09,0.7245,0.025499999999999953,0.75,0.7244999999999999,1.0,0.1,-1922.76,11611.648888888885,11611.648888888887,0.0,0.0,3924.0,-9688.888888888887,0.0,8719.999999999998,0.0,0.0,0.0,0.0,0.0,0.0,-1.2708573111171493e-09,1.2708573111171493e-09,0.0,1.2708573111171493e-09,-0.8,11611.648888888885,-1922.76,-9688.888888888887
2,2,1.4656150266078973,1.465615026607897,0.7573280751330396,-2.2656150266078967,2.8343849733920923,0.014171924866960802,0.8,-0.8,0.8,-1.132807512994623,1.1328075129946227,0.7944862646723616,0.9606307240871498,8828.999999999998,9810.0,1.0,-1.1328075136132745,1.1328075136132745,0.7944862646723616,0.9606307135433062,8828.999999999998,9810.0,1.0,0.0,0.0,0.7944862646723616,0.0,0.0,2.2656150266078976,0.7944862646723616,0.014171924866960802,0.7573280751330396,0.7431561502660787,1.0,0.6,-11536.56,-15931.439999999999,0.0,15931.440000000004,0.0,11772.000000000002,7848.0,8719.999999999998,0.0,-1.132807512994623,1.1328075129946227,9810.0,-1.1328075136132745,1.1328075136132745,9810.0,0.0,0.0,0.0,2.2656150266078976,-0.8,-15931.439999999999,-11536.56,7848.0
3,3,1.4204063879577458,2.8860214145656427,0.7644301070728281,-2.220406387957745,0.6139785854343471,0.003069892927172131,0.8,-0.8,0.8,-1.1102034158109653,1.1102034158109653,0.8106622594224757,0.9663939605304621,8829.0,9810.000000000002,1.0,-1.1102029721467803,1.11020297214678,0.8106622594224756,0.9663939251670044,8828.996468895535,9809.996076550595,1.0,0.0,0.0,0.8106622594224757,0.0,0.0,2.2204063879577456,0.8106622594224757,0.003069892927172131,0.7644301070728281,0.7613602141456561,1.0,1.2,-19620.000000000004,-7847.996076550593,0.0,7847.996076550593,0.0,19620.0,7847.999999999999,8719.999999999998,0.0,-1.1102034158109653,1.1102034158109653,9810.000000000002,-1.1102029721467803,1.11020297214678,9809.996076550595,0.0,0.0,0.0,2.2204063879577456,-0.8,-7847.996076550593,-19620.000000000004,7848.0
4,4,-1.9860214145656432,0.9,0.7545000000000001,1.8860214145656424,2.499999999999989,0.01249999999999995,0.1,-0.1,0.1,0.0,0.0,0.7064292322380463,0.840493346110441,0.0,0.0,0.0,0.0,0.0,0.7064292322380463,0.840493346110441,0.0,0.0,0.0,-1.8860214145656427,1.8860214145656424,0.7064292322380463,-13070.261874023276,-11109.722592919785,-1.8860214145656429,0.7064292322380463,0.01249999999999995,0.7545000000000001,0.7420000000000001,0.0,0.2,-3845.52,21569.730051737,21569.730051737002,0.0,0.0,13005.512541182787,-6614.487458817214,0.0,5953.038712935492,0.0,0.0,0.0,0.0,0.0,0.0,1.8860214145656424,-1.8860214145656427,-11109.722592919785,-1.8860214145656429,-0.1,21569.730051737,-3845.52,-6614.487458817215
