Hour,PVPC,Excedentes
0,98.55409090909092,55.82909090909091
1,95.00545454545454,51.193636363636365
2,95.08818181818182,49.36454545454546
3,93.73772727272727,48.067727272727275
4,98.59136363636365,52.98909090909091
5,112.33863636363635,67.15090909090908
6,128.92954545454543,86.00818181818182
7,175.53045454545455,107.38909090909091
8,167.38363636363636,100.83227272727272
9,193.02818181818182,86.5059090909091
10,182.835,78.11181818181818
11,178.86363636363637,74.85454545454546
12,175.16681818181817,71.81272727272727
13,126.9159090909091,68.02727272727272
14,125.81,66.56
15,136.62863636363636,74.0909090909091
16,160.5240909090909,95.25636363636363
17,229.26000000000002,116.36409090909092
18,259.03,140.68
19,253.57863636363635,136.17681818181816
20,232.18818181818185,118.32409090909091
21,158.53,92.48409090909091
22,140.03772727272727,75.52727272727272
23,111.71619047619048,69.34714285714286
