Hour,PVPC,Excedentes
0,133.9704761904762,95.53333333333333
1,133.09952380952382,94.14857142857143
2,131.78047619047618,93.09714285714286
3,135.67333333333332,97.02428571428571
4,145.42666666666668,106.90238095238094
5,152.82857142857142,114.05761904761906
6,175.08523809523808,113.5904761904762
7,162.8242857142857,102.78666666666666
8,199.3519047619048,93.58238095238096
9,193.37285714285713,88.60238095238095
10,192.42761904761906,87.39666666666666
11,188.4790476190476,84.16666666666667
12,138.13095238095238,80.17380952380952
13,135.6,77.7852380952381
14,135.5209523809524,77.70476190476191
15,140.5404761904762,81.48380952380953
16,193.59952380952382,85.85333333333334
17,207.7904761904762,98.56761904761905
18,225.48571428571427,114.42238095238095
19,234.00619047619048,121.06857142857143
20,188.91619047619048,121.26190476190476
21,179.58809523809524,112.77952380952381
22,147.24095238095236,108.22142857142858
23,139.89857142857142,101.2057142857143
