Hour,PVPC,Excedentes
0,133.97086956521738,98.0113043478261
1,132.3473913043478,96.06695652173913
2,130.15608695652173,93.94130434782609
3,134.46,98.25173913043479
4,145.69521739130434,109.29478260869564
5,152.4791304347826,115.73652173913044
6,177.03130434782608,116.64565217391304
7,161.09695652173914,102.65869565217392
8,191.11565217391305,89.6204347826087
9,182.6930434782609,83.23434782608696
10,181.0204347826087,81.61869565217391
11,179.37956521739127,80.39
12,132.77260869565217,77.52565217391304
13,129.69608695652175,74.48347826086957
14,131.64652173913043,75.94304347826088
15,140.67217391304348,83.37521739130435
16,197.19391304347826,93.15304347826087
17,218.44739130434783,112.33130434782608
18,233.5191304347826,125.48304347826088
19,239.9026086956522,130.47565217391303
20,188.49347826086958,123.19521739130434
21,180.05521739130435,115.58260869565218
22,149.53391304347824,113.40478260869565
23,144.41782608695652,108.30391304347825
