Hour,PVPC,Excedentes
0,120.96478260869566,80.59217391304348
1,120.21391304347826,78.43695652173913
2,118.0486956521739,76.52608695652174
3,122.0186956521739,80.86478260869566
4,129.55565217391305,90.1017391304348
5,139.2386956521739,101.01782608695652
6,162.2808695652174,98.8708695652174
7,142.92521739130436,83.3517391304348
8,173.05695652173912,70.50739130434783
9,161.61478260869563,60.95217391304348
10,157.71260869565216,57.506956521739134
11,153.63000000000002,54.17304347826087
12,105.87173913043479,49.47869565217391
13,100.9491304347826,44.477391304347826
14,101.04608695652173,44.40130434782609
15,108.95173913043477,51.17434782608696
16,160.4008695652174,57.09478260869565
17,182.29217391304348,77.62173913043478
18,206.25608695652176,100.46217391304349
19,220.04999999999998,112.85739130434781
20,173.4591304347826,107.22304347826088
21,161.7391304347826,95.69521739130434
22,129.535,91.78
23,122.4090909090909,84.26318181818182
