Hour,PVPC,Excedentes
0,129.33777777777777,82.9588888888889
1,138.6275,81.06888888888889
2,125.92333333333333,79.06333333333333
3,125.98222222222222,78.88777777777779
4,128.26444444444445,81.54777777777777
5,130.46222222222224,85.03555555555555
6,128.77333333333334,85.0511111111111
7,119.16666666666667,78.52888888888889
8,102.0888888888889,63.958888888888886
9,91.22222222222223,56.467777777777776
10,85.67888888888889,52.04666666666667
11,83.8488888888889,50.980000000000004
12,82.1288888888889,49.18333333333334
13,78.64444444444445,44.89666666666667
14,92.42444444444443,55.605555555555554
15,111.48333333333333,71.16666666666667
16,129.24,89.46222222222222
17,148.94555555555556,106.1711111111111
18,163.46777777777777,120.48444444444443
19,158.79333333333335,117.2688888888889
20,148.26555555555555,107.49888888888889
21,138.17666666666665,98.45666666666666
22,147.612,102.375
23,143.371,96.341
